TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=10,b_m=200, lr=1.000000, lambda=0.000000, n=51, n0=3, n1=10, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=306, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.601200e-02, 2.601200e-02, 0, 8.630000e-04, 0, 2.363400e-02, 1.499000e-03, 1.600000e-05, 1.270541e-01, 7.961997e-04, 1.027919e-02, -1.352019, 5.000000e-01, 1, 0.127054, 7.961997e-04 
4.887900e-02, 2.286700e-02, 0, 7.530000e-04, 0, 2.060000e-02, 1.498000e-03, 1.600000e-05, 1.270541e-01, 7.961997e-04, 3.147325e-02, -0.369815, 2.500000e-01, 1, 0.127054, 7.961997e-04 
7.149700e-02, 2.261800e-02, 0, 6.400000e-04, 0, 2.050300e-02, 1.460000e-03, 1.500000e-05, 1.270541e-01, 7.961997e-04, 1.225105e-01, -0.111345, 1.250000e-01, 1, 0.127054, 7.961997e-04 
9.426300e-02, 2.276600e-02, 0, 6.910000e-04, 0, 2.057000e-02, 1.447000e-03, 5.800000e-05, 1.270541e-01, 7.961997e-04, 3.283364e-01, -0.039391, 1.250000e-01, 1, 0.127054, 7.961997e-04 
1.181290e-01, 2.386600e-02, 0, 6.650000e-04, 0, 2.040600e-02, 2.735000e-03, 6.000000e-05, 1.141207e-01, 4.369454e-04, 8.894172e-01, -0.012856, 2.500000e-01, 1, 0.114121, 4.369454e-04 
1.516270e-01, 3.349800e-02, 0, 6.780000e-04, 0, 2.962000e-02, 3.141000e-03, 5.900000e-05, 1.026859e-01, 2.250706e-04, 9.484801e-01, -0.005681, 5.000000e-01, 1, 0.102686, 2.250706e-04 
1.747640e-01, 2.313700e-02, 0, 7.320000e-04, 0, 2.050100e-02, 1.889000e-03, 1.500000e-05, 9.729801e-02, 1.217892e-04, -2.476170e-02, -0.058293, 2.500000e-01, 1, 0.097298, 1.217892e-04 
1.978850e-01, 2.312100e-02, 0, 7.250000e-04, 0, 2.048600e-02, 1.895000e-03, 1.500000e-05, 9.729801e-02, 1.217892e-04, -2.457201e-02, -0.017593, 1.250000e-01, 1, 0.097298, 1.217892e-04 
2.209710e-01, 2.308600e-02, 0, 7.330000e-04, 0, 2.043800e-02, 1.899000e-03, 1.600000e-05, 9.729801e-02, 1.217892e-04, -1.466943e-02, -0.006044, 6.250000e-02, 1, 0.097298, 1.217892e-04 
2.440990e-01, 2.312800e-02, 0, 6.810000e-04, 0, 2.053300e-02, 1.898000e-03, 1.600000e-05, 9.729801e-02, 1.217892e-04, 1.721295e-01, -0.002435, 3.125000e-02, 1, 0.097298, 1.217892e-04 
2.672570e-01, 2.315800e-02, 0, 6.750000e-04, 0, 2.055000e-02, 1.881000e-03, 5.200000e-05, 9.729801e-02, 1.217892e-04, 6.454223e-01, -0.001128, 3.125000e-02, 1, 0.097298, 1.217892e-04 
2.909050e-01, 2.364800e-02, 0, 7.350000e-04, 0, 2.053600e-02, 2.317000e-03, 6.000000e-05, 9.656974e-02, 4.360292e-05, 1.004889e+00, -0.000347, 6.250000e-02, 1, 0.096570, 4.360292e-05 
3.139870e-01, 2.308200e-02, 0, 6.740000e-04, 0, 2.048000e-02, 1.876000e-03, 5.200000e-05, 9.622102e-02, 3.213607e-05, 4.885925e-01, -0.000367, 6.250000e-02, 1, 0.096221, 3.213607e-05 
3.372330e-01, 2.324600e-02, 0, 7.220000e-04, 0, 2.054400e-02, 1.921000e-03, 5.900000e-05, 9.604147e-02, 2.729943e-05, 9.977496e-01, -0.000530, 1.250000e-01, 1, 0.096041, 2.729943e-05 
3.599260e-01, 2.269300e-02, 0, 6.800000e-04, 0, 2.050000e-02, 1.454000e-03, 5.900000e-05, 9.551308e-02, 2.816650e-05, 9.915627e-01, -0.001118, 2.500000e-01, 1, 0.095513, 2.816650e-05 
3.830190e-01, 2.309300e-02, 0, 6.840000e-04, 0, 2.047900e-02, 1.871000e-03, 5.900000e-05, 9.440432e-02, 2.970389e-05, 9.869497e-01, -0.002347, 5.000000e-01, 1, 0.094404, 2.970389e-05 
4.055620e-01, 2.254300e-02, 0, 6.990000e-04, 0, 2.038100e-02, 1.447000e-03, 1.600000e-05, 9.208768e-02, 3.224486e-05, 8.886621e-04, -0.031620, 2.500000e-01, 1, 0.092088, 3.224486e-05 
4.281480e-01, 2.258600e-02, 0, 6.930000e-04, 0, 2.041000e-02, 1.468000e-03, 1.500000e-05, 9.208768e-02, 3.224486e-05, -2.964145e-02, -0.008505, 1.250000e-01, 1, 0.092088, 3.224486e-05 
4.508170e-01, 2.266900e-02, 0, 6.880000e-04, 0, 2.050700e-02, 1.458000e-03, 1.600000e-05, 9.208768e-02, 3.224486e-05, -1.835185e-01, -0.002478, 6.250000e-02, 1, 0.092088, 3.224486e-05 
4.733660e-01, 2.254900e-02, 0, 6.880000e-04, 0, 2.035900e-02, 1.449000e-03, 5.300000e-05, 9.208768e-02, 3.224486e-05, 3.744335e-01, -0.000837, 6.250000e-02, 1, 0.092088, 3.224486e-05 
4.969280e-01, 2.356200e-02, 0, 7.110000e-04, 0, 2.049800e-02, 2.301000e-03, 5.200000e-05, 9.177433e-02, 1.384353e-04, 5.147108e-01, -0.001254, 6.250000e-02, 1, 0.091774, 1.384353e-04 
5.200450e-01, 2.311700e-02, 0, 7.410000e-04, 0, 2.047000e-02, 1.890000e-03, 1.600000e-05, 9.112886e-02, 6.906528e-05, -2.803040e-01, -0.001517, 3.125000e-02, 1, 0.091129, 6.906528e-05 
5.431850e-01, 2.314000e-02, 0, 7.470000e-04, 0, 2.043200e-02, 1.909000e-03, 5.200000e-05, 9.112886e-02, 6.906528e-05, 3.895836e-01, -0.000695, 3.125000e-02, 1, 0.091129, 6.906528e-05 
