TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=300, lr=1.000000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.787505e-01, 1.787505e-01, 7.881767e-04, 1.792716e-03, 0, 1.614593e-01, 1.076854e-02, 3.941758e-03, 7.302594e-01, 1.026246e-03, 7.276212e-01, -0.252464, 1.000000e+00, 1, 0.731330, 1.027947e-03 
2.486107e-01, 6.986022e-02, 5.986411e-04, 1.199323e-03, 0, 6.192538e-02, 5.804748e-03, 3.321248e-04, 5.469342e-01, 8.218480e-04, 6.883848e-01, -0.166418, 1.000000e+00, 1, 0.548120, 8.202986e-04 
3.367459e-01, 8.813524e-02, 1.052652e-04, 1.118844e-03, 0, 8.066754e-02, 6.024318e-03, 2.192782e-04, 4.322105e-01, 3.580162e-04, 8.810275e-01, -0.056743, 2.000000e+00, 1, 0.433517, 3.597629e-04 
4.179372e-01, 8.119124e-02, 1.507537e-04, 1.095808e-03, 0, 7.491644e-02, 4.927344e-03, 1.008913e-04, 3.827828e-01, 1.640139e-04, 5.769567e-01, -0.115792, 2.000000e+00, 1, 0.385146, 1.519758e-04 
4.904401e-01, 7.250293e-02, 1.705821e-04, 9.704225e-04, 0, 6.527899e-02, 5.939464e-03, 1.434639e-04, 3.140465e-01, 2.050457e-04, 2.705985e-01, -0.132443, 2.000000e+00, 1, 0.315538, 2.010499e-04 
5.388350e-01, 4.839487e-02, 3.251265e-04, 1.248311e-03, 0, 4.251605e-02, 4.162494e-03, 1.428807e-04, 2.782328e-01, 2.755302e-04, 5.931512e-02, -0.175878, 1.000000e+00, 1, 0.279605, 2.935113e-04 
5.868852e-01, 4.805020e-02, 1.501706e-04, 1.098432e-03, 0, 4.226295e-02, 4.393145e-03, 1.455051e-04, 2.782328e-01, 2.755302e-04, 4.615372e-01, -0.082792, 1.000000e+00, 1, 0.280727, 2.685022e-04 
6.686733e-01, 8.178813e-02, 2.014910e-04, 1.008621e-03, 0, 7.394748e-02, 6.442754e-03, 1.877861e-04, 2.397978e-01, 1.060634e-04, 9.280047e-01, -0.033663, 2.000000e+00, 1, 0.244391, 1.058609e-04 
7.975339e-01, 1.288606e-01, 2.461048e-04, 1.071605e-03, 0, 1.222899e-01, 5.120962e-03, 1.320918e-04, 2.090586e-01, 1.051558e-04, 7.229430e-01, -0.071140, 2.000000e+00, 1, 0.208732, 9.905676e-05 
9.721954e-01, 1.746615e-01, 1.909936e-04, 1.078020e-03, 0, 1.675186e-01, 5.762175e-03, 1.116802e-04, 1.580547e-01, 1.180763e-04, 6.554122e-01, -0.050163, 2.000000e+00, 1, 0.160282, 1.245505e-04 
1.059544e+00, 8.734823e-02, 1.320918e-04, 1.032240e-03, 0, 8.133558e-02, 4.703983e-03, 1.443387e-04, 1.262690e-01, 1.413785e-04, -8.081511e-02, -0.064740, 1.000000e+00, 1, 0.127836, 1.373018e-04 
1.122332e+00, 6.278879e-02, 2.221941e-04, 1.155293e-03, 0, 5.591156e-02, 5.336158e-03, 1.635838e-04, 1.262690e-01, 1.413785e-04, 4.707533e-01, -0.032201, 1.000000e+00, 1, 0.125521, 1.420776e-04 
1.161597e+00, 3.926421e-02, 1.399648e-04, 1.094641e-03, 0, 3.382570e-02, 4.049065e-03, 1.548360e-04, 1.114318e-01, 1.593439e-04, 2.985248e-01, -0.032681, 1.000000e+00, 1, 0.110866, 1.565139e-04 
1.210282e+00, 4.868500e-02, 1.942011e-04, 1.070147e-03, 0, 4.177716e-02, 5.500616e-03, 1.428807e-04, 1.018826e-01, 1.633041e-04, 2.068567e-01, -0.034486, 1.000000e+00, 1, 0.097672, 1.682681e-04 
1.256013e+00, 4.573174e-02, 2.303587e-04, 1.073355e-03, 0, 4.104176e-02, 3.272260e-03, 1.140130e-04, 9.606408e-02, 2.492194e-04, 2.834039e-02, -0.046357, 5.000000e-01, 1, 0.096410, 2.334971e-04 
