TRM WS=1, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=250, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
2.523711e-02, 2.523711e-02, 9.462203e-04, 1.602014e-03, 8.867352e-04, 1.568247e-02, 8.896512e-04, 5.230018e-03, 7.302594e-01, 1.026246e-03, 9.656074e-01, -0.034902, 2.000000e+00, 1, 0.731373, 1.026878e-03, 0.295082, 0.000000 
4.533343e-02, 2.009632e-02, 7.176111e-04, 9.333902e-04, 1.309254e-04, 1.713169e-02, 4.432218e-04, 7.394806e-04, 6.940883e-01, 9.814478e-04, 7.201806e-01, -0.099119, 2.000000e+00, 1, 0.694004, 9.863708e-04, 0.000000, 0.000000 
6.421643e-02, 1.888300e-02, 1.320918e-04, 8.193772e-04, 8.981074e-05, 1.689142e-02, 4.219355e-04, 5.283671e-04, 6.234997e-01, 9.347264e-04, 9.787882e-01, -0.057914, 4.000000e+00, 1, 0.630100, 9.414647e-04, 0.000000, 0.000000 
8.181700e-02, 1.760057e-02, 2.294839e-04, 1.021160e-03, 7.144036e-05, 1.549381e-02, 3.032570e-04, 4.814205e-04, 5.622442e-01, 7.998189e-04, 2.340597e-01, -0.230670, 4.000000e+00, 1, 0.563499, 8.176169e-04, 0.000000, 0.000000 
9.860578e-02, 1.678878e-02, 2.055733e-04, 8.106294e-04, 9.214348e-05, 1.491383e-02, 2.711818e-04, 4.954170e-04, 5.139004e-01, 7.703310e-04, 3.376076e-01, -0.076288, 4.000000e+00, 1, 0.516979, 7.788212e-04, 0.000000, 0.000000 
1.160745e-01, 1.746877e-02, 2.140295e-04, 8.462038e-04, 1.274263e-04, 1.547806e-02, 3.341659e-04, 4.688820e-04, 4.895200e-01, 8.597353e-04, 3.608306e-01, -0.138347, 4.000000e+00, 1, 0.487431, 8.553114e-04, 0.000000, 0.000000 
1.349590e-01, 1.888446e-02, 1.399648e-04, 7.394806e-04, 7.523107e-05, 1.711478e-02, 2.851783e-04, 5.298250e-04, 4.382511e-01, 6.358070e-04, 2.764599e-01, -0.092620, 4.000000e+00, 1, 0.444355, 6.526904e-04, 0.000000, 0.000000 
1.541123e-01, 1.915331e-02, 9.739216e-05, 8.272502e-04, 8.864437e-05, 1.713927e-02, 4.114382e-04, 5.893101e-04, 4.167378e-01, 5.963893e-04, 1.055850e+00, -0.018689, 8.000000e+00, 1, 0.416451, 5.717704e-04, 0.000000, 0.000000 
1.709276e-01, 1.681531e-02, 9.564260e-05, 8.809034e-04, 1.043904e-04, 1.493191e-02, 2.840119e-04, 5.184529e-04, 3.987422e-01, 5.732995e-04, 2.735136e-01, -0.220190, 8.000000e+00, 1, 0.402941, 5.616688e-04, 0.000000, 0.000000 
1.919162e-01, 2.098859e-02, 8.747799e-05, 8.593255e-04, 1.143046e-04, 1.902675e-02, 4.548856e-04, 4.458462e-04, 3.394573e-01, 7.144960e-04, 6.872042e-01, -0.032854, 8.000000e+00, 1, 0.339687, 7.046422e-04, 0.000000, 0.000000 
