TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
8.610758e-04, 8.610758e-04, 7.377317e-05, 5.898938e-04, 0, 4.257266e-05, 1.285928e-04, 2.624342e-05, 0.741913, 9.616733e-04, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.781562, 1.083778e-03 
1.506081e-03, 6.450050e-04, 1.379238e-04, 3.102555e-04, 0, 4.082310e-05, 1.213029e-04, 3.469963e-05, 0.560682, 6.796420e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.560927, 7.290738e-04 
2.004123e-03, 4.980418e-04, 1.717486e-04, 2.548528e-04, 0, 1.457968e-06, 4.869612e-05, 2.128633e-05, 0.470556, 4.702849e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.453984, 6.088125e-04 
2.397774e-03, 3.936513e-04, 8.193779e-05, 2.137381e-04, 0, 1.749561e-06, 5.715234e-05, 3.907354e-05, 0.431712, 3.194241e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.405570, 4.251240e-04 
2.870447e-03, 4.726732e-04, 7.873026e-05, 3.000498e-04, 0, 1.749561e-06, 9.126878e-05, 8.747807e-07, 0.417801, 2.500559e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.448750, 4.190043e-04 
3.261182e-03, 3.907354e-04, 1.192618e-04, 1.863283e-04, 0, 1.749561e-06, 8.281257e-05, 5.831871e-07, 0.406264, 1.259796e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.383441, 3.224425e-04 
3.621300e-03, 3.601180e-04, 7.960504e-05, 1.909938e-04, 0, 2.566023e-05, 6.327580e-05, 5.831871e-07, 0.407679, 1.575227e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.424399, 4.191133e-04 
3.992207e-03, 3.709070e-04, 1.207197e-04, 2.070314e-04, 0, 1.982836e-05, 2.245270e-05, 8.747807e-07, 0.413633, 2.186981e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.416385, 3.777026e-04 
4.354367e-03, 3.621592e-04, 9.476791e-05, 2.128633e-04, 0, 3.178370e-05, 2.216111e-05, 5.831871e-07, 0.403300, 9.764976e-05, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.377467, 2.320447e-04 
4.673953e-03, 3.195865e-04, 5.190365e-05, 2.405647e-04, 0, 1.457968e-06, 2.507705e-05, 5.831871e-07, 0.403719, 1.189264e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.406870, 2.137116e-04 
0.306011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
