TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.030337e-01, 1.030337e-01, 1.533782e-04, 2.738064e-04, 0, 1.024205e-01, 1.848703e-04, 1.166374e-06, 0.741913, 9.616733e-04, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.760841, 1.019076e-03 
2.515280e-01, 1.484943e-01, 1.778721e-05, 3.329998e-04, 0, 1.479496e-01, 1.930349e-04, 8.747807e-07, 0.431566, 3.700876e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.434767, 3.140244e-04 
3.470162e-01, 9.548814e-02, 3.965672e-05, 3.414561e-04, 0, 9.501955e-02, 8.631169e-05, 1.166374e-06, 0.405408, 2.152659e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.394100, 3.122239e-04 
5.547206e-01, 2.077044e-01, 1.982836e-05, 2.017827e-04, 0, 2.074525e-01, 2.886776e-05, 1.457968e-06, 0.407752, 5.741884e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.346900, 6.001120e-04 
6.737797e-01, 1.190591e-01, 2.945095e-05, 2.974254e-04, 0, 1.187066e-01, 2.507705e-05, 5.831871e-07, 0.377766, 5.305894e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.373589, 4.695233e-04 
7.996399e-01, 1.258602e-01, 3.382485e-05, 2.490209e-04, 0, 1.255450e-01, 3.120051e-05, 1.166374e-06, 0.328144, 5.196571e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.350592, 8.033943e-04 
8.998860e-01, 1.002461e-01, 3.790716e-05, 2.618510e-04, 0, 9.992007e-02, 2.566023e-05, 5.831871e-07, 0.304344, 5.418345e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.344519, 6.094966e-04 
9.988672e-01, 9.898114e-02, 3.674079e-05, 2.726400e-04, 0, 9.864581e-02, 2.507705e-05, 8.747807e-07, 0.267743, 3.215998e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.289215, 3.884036e-04 
1.118444e+00, 1.195773e-01, 3.761557e-05, 2.478545e-04, 0, 1.192632e-01, 2.770139e-05, 8.747807e-07, 0.230956, 1.821873e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.287433, 3.349459e-04 
1.217380e+00, 9.893507e-02, 3.557441e-05, 3.242520e-04, 0, 9.854434e-02, 2.974254e-05, 1.166374e-06, 0.230898, 3.058841e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.183677, 4.077278e-04 
0.743169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
