TRM WS=1, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=14, lr=1.400000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.416881e-02, 1.416881e-02, 1.813710e-04, 3.026739e-04, 2.175286e-04, 1.341971e-02, 3.790713e-05, 9.622579e-06, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.725161, 1.073820e-03, 0.133880, 0.000000 
2.756490e-02, 1.339609e-02, 1.221776e-04, 2.735145e-04, 2.201529e-04, 1.267148e-02, 6.327575e-05, 4.548856e-05, 6.521093e-01, 9.466292e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.646314, 1.109117e-03, 0.000000, 0.000000 
4.099248e-02, 1.342758e-02, 1.726232e-04, 3.426221e-04, 6.269256e-05, 1.279511e-02, 5.336158e-05, 1.166373e-06, 6.054839e-01, 8.969944e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.583288, 8.919210e-04, 0.000000, 0.000000 
5.344205e-02, 1.244958e-02, 1.697073e-04, 2.426056e-04, 3.586598e-05, 1.193725e-02, 6.356734e-05, 5.831866e-07, 4.785907e-01, 6.617065e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.490881, 6.696959e-04, 0.000000, 0.000000 
6.599340e-02, 1.255134e-02, 2.945092e-05, 2.067397e-04, 5.132042e-05, 1.220785e-02, 5.511113e-05, 8.747799e-07, 4.454623e-01, 5.332140e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.473674, 7.362004e-04, 0.000000, 0.000000 
7.875235e-02, 1.275896e-02, 3.265845e-05, 2.379401e-04, 8.339569e-05, 1.238863e-02, 1.545445e-05, 8.747799e-07, 4.329377e-01, 5.036533e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.413589, 4.295354e-04, 0.000000, 0.000000 
9.240096e-02, 1.364861e-02, 3.440801e-05, 1.767055e-04, 8.222931e-05, 1.332406e-02, 2.915933e-05, 2.041153e-06, 4.009556e-01, 4.722242e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.403295, 5.949390e-04, 0.000000, 0.000000 
1.097624e-01, 1.736147e-02, 1.075979e-04, 2.379401e-04, 1.874945e-04, 1.680073e-02, 2.653499e-05, 1.166373e-06, 3.906184e-01, 4.678440e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.355590, 5.124297e-04, 0.000000, 0.000000 
1.240802e-01, 1.431781e-02, 9.330986e-05, 2.382317e-04, 1.230524e-04, 1.384077e-02, 2.099472e-05, 1.457967e-06, 3.584888e-01, 3.752589e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.410766, 5.817174e-04, 0.000000, 0.000000 
1.405835e-01, 1.650331e-02, 2.533946e-04, 2.644751e-04, 2.388149e-04, 1.572329e-02, 2.186950e-05, 1.457967e-06, 3.347439e-01, 2.407661e-04, 0.000000e+00, 0.000000, 1.400000e+00, 0, 0.334622, 2.815686e-04, 0.000000, 0.000000 
0.500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
