TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=6, lr=1.000000, decay=0.001000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.442720e-03, 4.442720e-03, 4.957091e-05, 3.022367e-03, 0, 3.790716e-06, 1.313046e-03, 5.394481e-05, 0.741913, 9.616733e-04, 0.000000e+00, 0.000000, 9.990010e-01, 0, 0.827655, 1.497012e-03 
5.147210e-03, 7.044900e-04, 1.283012e-05, 5.411977e-04, 0, 2.041155e-06, 1.475463e-04, 8.747807e-07, 0.629643, 8.046971e-04, 0.000000e+00, 0.000000, 9.980040e-01, 0, 0.587042, 1.252444e-03 
5.950841e-03, 8.036319e-04, 1.399649e-05, 4.502205e-04, 0, 2.915936e-06, 2.306505e-04, 1.058485e-04, 0.557178, 6.713680e-04, 0.000000e+00, 0.000000, 9.970090e-01, 0, 0.396911, 1.108611e-03 
6.348575e-03, 3.977336e-04, 9.622588e-06, 3.058816e-04, 0, 2.624342e-06, 7.902186e-05, 5.831871e-07, 0.517998, 5.798141e-04, 0.000000e+00, 0.000000, 9.960159e-01, 0, 0.654912, 1.215232e-03 
6.719774e-03, 3.711986e-04, 9.243516e-05, 1.466716e-04, 0, 4.752975e-05, 8.368735e-05, 8.747807e-07, 0.481304, 5.117464e-04, 0.000000e+00, 0.000000, 9.950249e-01, 0, 0.610445, 1.160053e-03 
7.026530e-03, 3.067564e-04, 1.131383e-04, 1.405481e-04, 0, 3.003414e-05, 2.274430e-05, 2.915936e-07, 0.445783, 3.783423e-04, 0.000000e+00, 0.000000, 9.940358e-01, 0, 0.337807, 9.875963e-04 
7.268553e-03, 2.420227e-04, 1.224693e-05, 2.058651e-04, 0, 1.457968e-06, 2.186952e-05, 5.831871e-07, 0.445999, 3.863407e-04, 0.000000e+00, 0.000000, 9.930487e-01, 0, 0.560165, 1.114629e-03 
7.553731e-03, 2.851785e-04, 9.330994e-06, 2.385235e-04, 0, 2.915936e-06, 3.382485e-05, 5.831871e-07, 0.419554, 2.458398e-04, 0.000000e+00, 0.000000, 9.920635e-01, 0, 0.535687, 9.699212e-04 
7.778550e-03, 2.248186e-04, 6.998245e-06, 1.385069e-04, 0, 1.457968e-06, 2.507705e-05, 5.277843e-05, 0.420323, 2.354180e-04, 0.000000e+00, 0.000000, 9.910803e-01, 0, 0.399987, 1.018049e-03 
7.974501e-03, 1.959509e-04, 9.622588e-06, 1.504623e-04, 0, 2.332748e-06, 3.236689e-05, 1.166374e-06, 0.427166, 2.906611e-04, 0.000000e+00, 0.000000, 9.900990e-01, 0, 0.456048, 9.682373e-04 
0.057377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
