TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.045328e-01, 1.045328e-01, 1.245105e-04, 2.361908e-04, 0, 1.040178e-01, 1.530866e-04, 1.166374e-06, 0.741913, 9.616733e-04, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.811254, 1.481671e-03 
2.009672e-01, 9.643436e-02, 1.428808e-05, 2.854701e-04, 0, 9.595265e-02, 1.810796e-04, 8.747807e-07, 0.623152, 7.988972e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.697002, 1.367455e-03 
2.958441e-01, 9.487696e-02, 1.632924e-05, 2.834289e-04, 0, 9.449789e-02, 7.843867e-05, 8.747807e-07, 0.679345, 6.747650e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.728166, 1.186132e-03 
3.914711e-01, 9.562694e-02, 1.457968e-05, 1.772889e-04, 0, 9.541029e-02, 2.420227e-05, 5.831871e-07, 0.692978, 8.805210e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.661164, 1.274468e-03 
4.861807e-01, 9.470959e-02, 1.428808e-05, 2.423142e-04, 0, 9.442587e-02, 2.653501e-05, 5.831871e-07, 0.686808, 7.175651e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.774963, 1.079712e-03 
5.813250e-01, 9.514435e-02, 1.516287e-05, 2.186952e-04, 0, 9.487755e-02, 3.207529e-05, 8.747807e-07, 0.562455, 8.227757e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.654512, 1.253996e-03 
7.244654e-01, 1.431404e-01, 1.457968e-05, 2.358992e-04, 0, 1.428639e-01, 2.478545e-05, 1.166374e-06, 0.577656, 5.650313e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.152599, 7.443870e-04 
8.654045e-01, 1.409391e-01, 1.078896e-05, 1.437556e-04, 0, 1.407528e-01, 3.090892e-05, 8.747807e-07, 0.583013, 4.077907e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.056010, 3.190326e-04 
9.606599e-01, 9.525545e-02, 1.049737e-05, 1.682495e-04, 0, 9.504813e-02, 2.770139e-05, 8.747807e-07, 0.616702, 2.979344e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.874127, 6.125423e-04 
1.105399e+00, 1.447386e-01, 1.574605e-05, 2.361908e-04, 0, 1.444619e-01, 2.420227e-05, 5.831871e-07, 0.488011, 6.547081e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.209601, 9.657346e-04 
0.133880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
