TRM WS=1, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=14, lr=0.100000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
4.602509e-02, 4.602509e-02, 5.219520e-05, 3.408726e-04, 1.737896e-04, 4.542499e-02, 2.303587e-05, 1.020577e-05, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.704635, 1.548583e-03, 0.284153, 0.000000 
5.699337e-02, 1.096828e-02, 7.756382e-05, 7.505612e-04, 1.685409e-04, 9.905716e-03, 1.837038e-05, 4.752971e-05, 7.217779e-01, 1.015425e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.690291, 1.573935e-03, 0.000000, 0.000000 
7.275895e-02, 1.576558e-02, 3.994828e-05, 4.677157e-04, 5.336158e-05, 1.518793e-02, 1.574604e-05, 8.747799e-07, 7.228310e-01, 1.014274e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.762620, 1.607540e-03, 0.000000, 0.000000 
8.330121e-02, 1.054226e-02, 1.213028e-04, 5.723977e-04, 4.927927e-05, 9.726095e-03, 7.260673e-05, 5.831866e-07, 7.121923e-01, 9.984136e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.708094, 1.510631e-03, 0.000000, 0.000000 
9.309904e-02, 9.797827e-03, 2.915933e-06, 4.543024e-04, 1.061400e-04, 9.159821e-03, 7.377311e-05, 8.747799e-07, 7.066750e-01, 9.871578e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.697902, 1.470551e-03, 0.000000, 0.000000 
1.030202e-01, 9.921171e-03, 2.915933e-06, 3.921930e-04, 1.023493e-04, 9.400677e-03, 2.070312e-05, 2.332746e-06, 7.073837e-01, 9.888516e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.677631, 1.468411e-03, 0.000000, 0.000000 
1.122681e-01, 9.247882e-03, 2.624340e-06, 2.181118e-04, 1.055568e-04, 8.905551e-03, 1.545445e-05, 5.831866e-07, 7.019125e-01, 9.789806e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.824678, 1.682673e-03, 0.000000, 0.000000 
1.219035e-01, 9.635409e-03, 3.790713e-06, 2.913017e-04, 9.447623e-05, 9.229511e-03, 1.574604e-05, 5.831866e-07, 6.933010e-01, 9.635822e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.663009, 1.437810e-03, 0.000000, 0.000000 
1.315430e-01, 9.639492e-03, 3.790713e-06, 2.580601e-04, 6.502531e-05, 9.296869e-03, 1.516285e-05, 5.831866e-07, 6.870471e-01, 9.523180e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.646449, 1.433068e-03, 0.000000, 0.000000 
1.412942e-01, 9.751172e-03, 3.499120e-06, 3.271677e-04, 6.735805e-05, 9.337401e-03, 1.516285e-05, 5.831866e-07, 6.846764e-01, 9.511210e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.645047, 1.381048e-03, 0.000000, 0.000000 
0.306011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
