TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=250, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
4.119922e-02, 4.119922e-02, 0, 6.233390e-03, 1.123509e-03, 2.523798e-02, 1.162291e-03, 7.442044e-03, 7.302594e-01, 1.026246e-03, 9.478232e-01, -0.080311, 2.000000e+00, 1, 0.730259, 1.026246e-03, 0.248634, 0.000000 
7.400580e-02, 3.280658e-02, 0, 1.895648e-03, 5.706481e-04, 2.484200e-02, 7.561014e-04, 4.742182e-03, 6.541386e-01, 9.321978e-04, 6.558405e-01, -0.140402, 2.000000e+00, 1, 0.654139, 9.321978e-04, 0.000000, 0.000000 
9.820746e-02, 2.420166e-02, 0, 1.221193e-03, 6.794124e-05, 2.197331e-02, 4.163952e-04, 5.228268e-04, 5.620575e-01, 8.089779e-04, 7.784574e-01, -0.119770, 2.000000e+00, 1, 0.562058, 8.089779e-04, 0.000000, 0.000000 
1.211774e-01, 2.296997e-02, 0, 1.167831e-03, 7.873019e-05, 2.075911e-02, 3.921930e-04, 5.721061e-04, 4.688216e-01, 5.799850e-04, 5.175472e-01, -0.059988, 2.000000e+00, 1, 0.468822, 5.799850e-04, 0.000000, 0.000000 
1.428819e-01, 2.170446e-02, 0, 1.175413e-03, 9.243508e-05, 1.952188e-02, 3.437885e-04, 5.709397e-04, 4.377752e-01, 4.108393e-04, 7.760707e-01, -0.018543, 2.000000e+00, 1, 0.437775, 4.108393e-04, 0.000000, 0.000000 
1.654340e-01, 2.255212e-02, 0, 1.091434e-03, 8.339569e-05, 2.041182e-02, 3.478708e-04, 6.175946e-04, 4.233849e-01, 3.783581e-04, 9.564497e-01, -0.032815, 4.000000e+00, 1, 0.423385, 3.783581e-04, 0.000000, 0.000000 
1.880325e-01, 2.259848e-02, 0, 1.003373e-03, 4.548856e-05, 2.052700e-02, 3.951089e-04, 6.275088e-04, 3.919986e-01, 2.153326e-04, 4.016489e-01, -0.026070, 4.000000e+00, 1, 0.391999, 2.153326e-04, 0.000000, 0.000000 
2.103487e-01, 2.231622e-02, 0, 1.064607e-03, 9.768376e-05, 1.989250e-02, 3.516615e-04, 9.097711e-04, 3.815275e-01, 2.424000e-04, 3.789756e-02, -0.100065, 2.000000e+00, 1, 0.381528, 2.424000e-04, 0.000000, 0.000000 
2.309705e-01, 2.062177e-02, 0, 0, 5.306998e-05, 1.952859e-02, 4.849197e-04, 5.551937e-04, 3.815275e-01, 2.424000e-04, 1.020366e+00, -0.024088, 4.000000e+00, 1, 0.381528, 2.424000e-04, 0.000000, 0.000000 
2.523731e-01, 2.140266e-02, 0, 1.044779e-03, 1.073063e-04, 1.928423e-02, 4.076474e-04, 5.586928e-04, 3.569494e-01, 2.215242e-04, 3.080898e-01, -0.014045, 4.000000e+00, 1, 0.356949, 2.215242e-04, 0.000000, 0.000000 
2.745479e-01, 2.217480e-02, 0, 9.809199e-04, 1.379236e-04, 2.010361e-02, 3.764470e-04, 5.758968e-04, 3.526224e-01, 2.202555e-04, 5.121585e-01, -0.026086, 4.000000e+00, 1, 0.352622, 2.202555e-04, 0.418033, 0.000000 
2.993546e-01, 2.480672e-02, 0, 1.141879e-03, 7.231514e-05, 2.252354e-02, 4.394311e-04, 6.295499e-04, 3.392620e-01, 2.371074e-04, 5.961858e-01, -0.078083, 4.000000e+00, 1, 0.339262, 2.371074e-04, 0.000000, 0.000000 
3.236304e-01, 2.427573e-02, 0, 1.257350e-03, 1.280095e-04, 2.182838e-02, 4.111466e-04, 6.508363e-04, 2.927099e-01, 2.704948e-04, 3.626204e-01, -0.032341, 4.000000e+00, 1, 0.292710, 2.704948e-04, 0.000000, 0.000000 
3.470439e-01, 2.341348e-02, 0, 1.120885e-03, 1.335497e-04, 2.129389e-02, 3.172535e-04, 5.479038e-04, 2.809822e-01, 2.711698e-04, 2.158802e-01, -0.063114, 4.000000e+00, 1, 0.280982, 2.711698e-04, 0.000000, 0.000000 
3.726090e-01, 2.556515e-02, 0, 1.413353e-03, 8.427047e-05, 2.291544e-02, 5.406140e-04, 6.114712e-04, 2.673572e-01, 2.854626e-04, -3.586853e+00, 0.000420, 2.000000e+00, 1, 0.267357, 2.854626e-04, 0.000000, 0.000000 
3.935553e-01, 2.094631e-02, 0, 0, 2.566021e-05, 1.976361e-02, 4.505117e-04, 7.065306e-04, 2.673572e-01, 2.854626e-04, 9.303432e-01, -0.019035, 4.000000e+00, 1, 0.267357, 2.854626e-04, 0.000000, 0.000000 
4.184685e-01, 2.491315e-02, 0, 1.061983e-03, 8.368728e-05, 2.272737e-02, 5.896017e-04, 4.505117e-04, 2.496481e-01, 2.629955e-04, 1.222953e-01, -0.007362, 2.000000e+00, 1, 0.249648, 2.629955e-04, 0.000000, 0.000000 
4.384694e-01, 2.000097e-02, 0, 0, 3.499120e-05, 1.896727e-02, 3.919014e-04, 6.068057e-04, 2.496481e-01, 2.629955e-04, 7.507052e-01, -0.027967, 2.000000e+00, 1, 0.249648, 2.629955e-04, 0.000000, 0.000000 
4.627382e-01, 2.426873e-02, 0, 1.287676e-03, 1.043904e-04, 2.170708e-02, 6.243013e-04, 5.452795e-04, 2.286532e-01, 2.226817e-04, 1.045620e+00, -0.008058, 4.000000e+00, 1, 0.228653, 2.226817e-04, 0.000000, 0.000000 
4.859283e-01, 2.319012e-02, 0, 1.219735e-03, 1.358825e-04, 2.103583e-02, 4.021072e-04, 3.965669e-04, 2.202277e-01, 2.095989e-04, 4.076365e-01, -0.011664, 4.000000e+00, 1, 0.220228, 2.095989e-04, 0.000000, 0.000000 
5.212484e-01, 3.532011e-02, 0, 1.414811e-03, 7.552267e-05, 3.235432e-02, 8.794454e-04, 5.960167e-04, 2.154730e-01, 1.707584e-04, 1.018746e+00, -0.004456, 8.000000e+00, 1, 0.215473, 1.707584e-04, 0.896175, 0.000000 
5.601936e-01, 3.894520e-02, 0, 1.259391e-03, 3.936510e-05, 3.641825e-02, 7.216934e-04, 5.064976e-04, 2.109332e-01, 1.652165e-04, 5.285057e-01, -0.025606, 8.000000e+00, 1, 0.210933, 1.652165e-04, 0.000000, 0.000000 
5.939062e-01, 3.371256e-02, 0, 1.141005e-03, 1.081811e-04, 3.155564e-02, 4.869608e-04, 4.207691e-04, 1.974001e-01, 2.239080e-04, 7.371021e-01, -0.015171, 8.000000e+00, 1, 0.197400, 2.239080e-04, 0.000000, 0.000000 
