TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.000000, lambda=1.000000e-10, n=51, n0=3, n1=10, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=306 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.035716e-01, 1.035716e-01, 0, 1.631406e-02, 0, 7.236559e-02, 7.831905e-03, 7.060057e-03, 1.270541e-01, 7.961997e-04, 1.027919e-02, -1.352019, 5.000000e-01, 1, 0.127054, 7.961997e-04, 0.264706, 0.000000 
1.141276e-01, 1.055597e-02, 0, 0, 0, 6.941087e-03, 0, 3.614882e-03, 1.270541e-01, 7.961997e-04, 3.147325e-02, -0.369815, 2.500000e-01, 1, 0.127054, 7.961997e-04, 0.000000, 0.000000 
1.197906e-01, 5.663034e-03, 0, 0, 0, 5.138166e-03, 0, 5.248680e-04, 1.270541e-01, 7.961997e-04, 1.225105e-01, -0.111345, 1.250000e-01, 1, 0.127054, 7.961997e-04, 0.000000, 0.000000 
1.279733e-01, 8.182691e-03, 0, 0, 0, 4.769009e-03, 0, 3.413683e-03, 1.270541e-01, 7.961997e-04, 3.283364e-01, -0.039391, 1.250000e-01, 1, 0.127054, 7.961997e-04, 0.000000, 0.000000 
1.594441e-01, 3.147079e-02, 0, 2.338287e-03, 0, 2.473149e-02, 3.307543e-03, 1.093475e-03, 1.141207e-01, 4.369454e-04, 8.894172e-01, -0.012856, 2.500000e-01, 1, 0.114121, 4.369454e-04, 0.000000, 0.000000 
1.870279e-01, 2.758385e-02, 0, 1.066065e-03, 0, 2.511697e-02, 8.132537e-04, 5.875605e-04, 1.026859e-01, 2.250706e-04, 9.517842e-01, -0.005681, 5.000000e-01, 1, 0.102686, 2.250706e-04, 0.000000, 0.000000 
2.110477e-01, 2.401971e-02, 0, 1.164040e-03, 0, 2.194006e-02, 4.615922e-04, 4.540108e-04, 9.727917e-02, 1.212196e-04, -2.602079e-02, -0.055092, 2.500000e-01, 1, 0.097279, 1.212196e-04, 0.000000, 0.000000 
2.157840e-01, 4.736350e-03, 0, 0, 0, 4.282339e-03, 0, 4.540108e-04, 9.727917e-02, 1.212196e-04, -2.590137e-02, -0.016741, 1.250000e-01, 1, 0.097279, 1.212196e-04, 0.000000, 0.000000 
2.203530e-01, 4.568976e-03, 0, 0, 0, 4.193987e-03, 0, 3.749890e-04, 9.727917e-02, 1.212196e-04, -1.663755e-02, -0.005808, 6.250000e-02, 1, 0.097279, 1.212196e-04, 0.000000, 0.000000 
2.247350e-01, 4.382064e-03, 0, 0, 0, 4.154913e-03, 0, 2.271512e-04, 9.727917e-02, 1.212196e-04, 1.735064e-01, -0.002367, 3.125000e-02, 1, 0.097279, 1.212196e-04, 0.000000, 0.000000 
0.264706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
