TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=130, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
9.856641e-02, 9.856641e-02, 8.196688e-04, 1.373696e-03, 0, 5.100725e-02, 4.214194e-02, 3.223856e-03, 3.502332e-01, 6.403245e-04, 2.931340e-01, -0.075934, 1.000000e+00, 1, 0.349860, 6.329378e-04 
1.816658e-01, 8.309943e-02, 1.379236e-04, 8.211268e-04, 0, 2.239203e-02, 5.949641e-02, 2.519366e-04, 3.272293e-01, 2.830097e-04, 6.621308e-01, -0.051874, 1.000000e+00, 1, 0.327609, 2.964792e-04 
2.602456e-01, 7.857973e-02, 1.466714e-04, 6.983660e-04, 0, 3.818910e-02, 3.944616e-02, 9.943332e-05, 2.938044e-01, 7.999997e-04, 5.802707e-01, -0.087700, 1.000000e+00, 1, 0.290999, 7.893277e-04 
3.243567e-01, 6.411116e-02, 1.358825e-04, 7.114877e-04, 0, 3.032220e-02, 3.252986e-02, 4.117297e-04, 2.448277e-01, 6.490523e-04, 8.206790e-01, -0.057962, 2.000000e+00, 1, 0.248113, 6.177876e-04 
4.134863e-01, 8.912958e-02, 1.478378e-04, 6.470455e-04, 0, 6.563066e-02, 2.261773e-02, 8.631162e-05, 1.959313e-01, 3.866530e-04, 5.162154e-01, -0.048000, 2.000000e+00, 1, 0.200388, 4.214400e-04 
4.549932e-01, 4.150685e-02, 9.826694e-05, 7.394806e-04, 0, 1.772217e-02, 2.280814e-02, 1.387984e-04, 1.717103e-01, 2.915505e-04, -1.134922e+00, -0.018948, 1.000000e+00, 1, 0.170187, 3.011131e-04 
5.083413e-01, 5.334816e-02, 1.318002e-04, 7.068222e-04, 0, 1.977265e-02, 3.265262e-02, 8.427047e-05, 1.717103e-01, 2.915505e-04, -2.294318e-01, -0.040614, 5.000000e-01, 1, 0.174051, 3.235285e-04 
5.700433e-01, 6.170202e-02, 1.306338e-04, 8.275418e-04, 0, 2.523361e-02, 3.538310e-02, 1.271347e-04, 1.717103e-01, 2.915505e-04, 8.659690e-01, -0.008854, 1.000000e+00, 1, 0.170154, 3.212737e-04 
6.280984e-01, 5.805506e-02, 1.647502e-04, 5.898933e-04, 0, 4.331531e-02, 1.385914e-02, 1.259683e-04, 1.643962e-01, 1.798686e-04, 4.856915e-01, -0.022590, 1.000000e+00, 1, 0.166406, 1.894966e-04 
7.283176e-01, 1.002192e-01, 1.979919e-04, 6.630832e-04, 0, 8.161551e-02, 1.760465e-02, 1.379236e-04, 1.531349e-01, 6.264951e-04, 1.005333e+00, -0.023062, 2.000000e+00, 1, 0.154706, 6.248648e-04 
7.966262e-01, 6.830865e-02, 1.912852e-04, 6.295499e-04, 0, 4.680131e-02, 2.053254e-02, 1.539613e-04, 1.303731e-01, 1.951565e-04, 4.418421e-01, -0.048213, 2.000000e+00, 1, 0.131650, 1.684022e-04 
8.449269e-01, 4.830068e-02, 1.977003e-04, 6.919509e-04, 0, 2.652449e-02, 2.081160e-02, 7.493948e-05, 1.102469e-01, 1.559965e-03, -1.943182e-01, -0.161230, 1.000000e+00, 1, 0.112217, 1.541982e-03 
8.739812e-01, 2.905436e-02, 1.892441e-04, 7.805953e-04, 0, 1.662986e-02, 1.133569e-02, 1.189701e-04, 1.102469e-01, 1.559965e-03, 8.964704e-02, -0.061146, 5.000000e-01, 1, 0.105777, 1.452181e-03 
9.055847e-01, 3.160347e-02, 1.000165e-04, 4.642165e-04, 0, 1.673279e-02, 1.415365e-02, 1.527949e-04, 1.102469e-01, 1.559965e-03, 3.669840e-01, -0.038397, 5.000000e-01, 1, 0.112530, 1.630726e-03 
9.351934e-01, 2.960868e-02, 9.622579e-05, 4.563435e-04, 0, 1.593062e-02, 1.288288e-02, 2.426056e-04, 9.664975e-02, 4.174950e-04, -2.455882e-01, -0.033783, 2.500000e-01, 1, 0.097584, 3.466394e-04 
9.724106e-01, 3.721722e-02, 1.621259e-04, 7.088633e-04, 0, 2.028556e-02, 1.594053e-02, 1.201364e-04, 9.664975e-02, 4.174950e-04, 6.650232e-01, -0.012873, 2.500000e-01, 1, 0.093206, 4.827234e-04 
1.008153e+00, 3.574234e-02, 5.102883e-05, 6.397557e-04, 0, 2.301313e-02, 1.185677e-02, 1.816626e-04, 8.767594e-02, 5.320063e-04, 1.003447e+00, -0.007697, 5.000000e-01, 1, 0.087898, 7.190740e-04 
1.049669e+00, 4.151647e-02, 1.075979e-04, 4.904599e-04, 0, 3.024493e-02, 1.052098e-02, 1.525033e-04, 8.111070e-02, 1.701470e-04, 9.904967e-01, -0.010034, 1.000000e+00, 1, 0.083833, 2.029076e-04 
1.137014e+00, 8.734473e-02, 7.435629e-05, 4.161036e-04, 0, 7.469192e-02, 1.201831e-02, 1.440471e-04, 7.158645e-02, 1.339062e-04, 9.903715e-01, -0.016574, 2.000000e+00, 1, 0.073994, 1.254482e-04 
1.494463e+00, 3.574491e-01, 1.988666e-04, 6.146787e-04, 0, 3.443956e-01, 1.210637e-02, 1.335497e-04, 5.547878e-02, 1.027043e-04, 9.994646e-01, -0.021101, 4.000000e+00, 1, 0.054954, 1.019593e-04 
1.794575e+00, 3.001113e-01, 1.271347e-04, 7.788457e-04, 0, 2.836847e-01, 1.504476e-02, 4.758803e-04, 3.454426e-02, 1.078222e-04, 1.241279e+00, -0.011108, 5.409420e+00, 0, 0.028838, 1.317868e-04 
2.861330e+00, 1.066756e+00, 2.076144e-04, 7.179027e-04, 0, 1.058919e+00, 6.559391e-03, 3.522447e-04, 2.220084e-02, 7.570902e-05, 1.008139e+00, -0.000100, 5.409420e+00, 0, 0.016094, 5.277534e-05 
2.929248e+00, 6.791762e-02, 1.912852e-04, 6.575429e-04, 0, 5.724501e-02, 9.645907e-03, 1.778719e-04, 2.219546e-02, 1.149099e-04, 9.772563e-01, -0.001049, 5.409420e+00, 0, 0.024172, 2.271370e-04 
3.058478e+00, 1.292301e-01, 7.581426e-05, 7.106129e-04, 0, 1.187467e-01, 9.464244e-03, 2.326915e-04, 2.154626e-02, 1.206770e-04, 1.057337e+00, -0.000131, 5.409420e+00, 0, 0.024076, 8.843683e-05 
3.198304e+00, 1.398260e-01, 1.215944e-04, 7.059474e-04, 0, 1.306402e-01, 8.070428e-03, 2.878026e-04, 2.137315e-02, 5.140088e-05, 1.010247e+00, -0.000225, 5.409420e+00, 0, 0.022008, 5.427165e-05 
3.358732e+00, 1.604282e-01, 6.764965e-05, 7.698063e-04, 0, 1.528812e-01, 6.378020e-03, 3.315416e-04, 2.123505e-02, 1.121544e-04, 1.035674e+00, -0.000776, 5.409420e+00, 0, 0.019641, 3.401915e-04 
3.432743e+00, 7.401105e-02, 1.239272e-04, 7.021567e-04, 0, 6.563590e-02, 7.175528e-03, 3.735310e-04, 2.152236e-02, 2.342074e-04, 9.676806e-01, -0.000226, 5.409420e+00, 0, 0.021351, 1.336771e-04 
3.456415e+00, 2.367154e-02, 1.335497e-04, 6.934089e-04, 0, 1.660099e-02, 6.009155e-03, 2.344410e-04, 2.115726e-02, 1.115694e-04, 9.319344e-01, -0.000775, 5.409420e+00, 0, 0.021330, 2.865964e-04 
3.792048e+00, 3.356335e-01, 1.396732e-04, 4.904599e-04, 0, 3.262506e-01, 8.239552e-03, 5.132042e-04, 2.156434e-02, 2.932166e-04, 1.040860e+00, -0.000438, 5.409420e+00, 0, 0.022984, 2.698417e-04 
3.895171e+00, 1.031226e-01, 2.163622e-04, 6.616252e-04, 0, 9.537842e-02, 6.421759e-03, 4.443882e-04, 2.103380e-02, 4.153154e-05, 9.426428e-01, -0.000042, 5.409420e+00, 0, 0.021902, 4.812420e-05 
4.133117e+00, 2.379460e-01, 1.411312e-04, 7.741802e-04, 0, 2.291778e-01, 7.430672e-03, 4.222271e-04, 2.106111e-02, 9.764818e-05, 1.028806e+00, -0.000065, 5.409420e+00, 0, 0.023392, 8.885392e-05 
4.600105e+00, 4.669884e-01, 1.075979e-04, 5.129126e-04, 0, 4.597520e-01, 6.247095e-03, 3.688655e-04, 2.098648e-02, 2.321183e-05, 1.009736e+00, -0.000059, 5.409420e+00, 0, 0.023242, 7.956872e-05 
4.888964e+00, 2.888582e-01, 5.015405e-05, 6.076805e-04, 0, 2.804542e-01, 7.495406e-03, 2.507702e-04, 2.098414e-02, 5.841718e-05, 1.007877e+00, -0.000249, 5.409420e+00, 0, 0.018449, 8.773250e-05 
5.292675e+00, 4.037118e-01, 1.621259e-04, 6.339238e-04, 0, 3.958204e-01, 6.858858e-03, 2.364822e-04, 2.101702e-02, 1.461753e-04, 1.011296e+00, -0.000054, 5.409420e+00, 0, 0.021123, 3.631867e-05 
5.320605e+00, 2.792939e-02, 1.568772e-04, 5.831866e-04, 0, 2.102067e-02, 5.939464e-03, 2.291923e-04, 2.104460e-02, 1.792057e-04, 9.654310e-01, -0.000522, 5.409420e+00, 0, 0.022156, 2.401065e-04 
5.469771e+00, 1.491657e-01, 1.630007e-04, 5.572348e-04, 0, 1.423526e-01, 5.945588e-03, 1.472546e-04, 2.079465e-02, 9.048878e-05, 1.014284e+00, -0.000062, 5.409420e+00, 0, 0.023754, 9.796688e-05 
6.267162e+00, 7.973919e-01, 1.393816e-04, 5.024153e-04, 0, 7.896312e-01, 6.922425e-03, 1.965339e-04, 2.073602e-02, 1.696023e-05, 1.015663e+00, -0.000071, 5.409420e+00, 0, 0.021920, 6.946373e-05 
6.299770e+00, 3.260713e-02, 5.102883e-05, 6.248845e-04, 0, 2.601916e-02, 5.850528e-03, 6.152619e-05, 2.072582e-02, 6.048147e-05, 9.684935e-01, -0.000284, 5.409420e+00, 0, 0.015262, 1.958468e-04 
6.649956e+00, 3.501864e-01, 4.315581e-05, 5.715229e-04, 0, 3.435150e-01, 5.999241e-03, 5.744388e-05, 2.082574e-02, 1.520302e-04, 1.026060e+00, -0.000040, 5.409420e+00, 0, 0.020035, 2.729813e-05 
