TRM WS=1, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=130, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.924301e-03, 5.924301e-03, 2.186950e-05, 4.099802e-04, 1.049736e-05, 3.615757e-04, 3.989580e-03, 1.130799e-03, 3.502332e-01, 6.403245e-04, 7.486556e-01, 0.006446, 5.000000e-01, 0, 0.350452, 6.480418e-04 
8.953664e-03, 3.029363e-03, 2.566021e-05, 3.332911e-04, 8.164613e-06, 3.338743e-04, 1.947552e-03, 3.808209e-04, 3.502332e-01, 6.403245e-04, 1.046007e+00, -0.002798, 7.112073e-01, 0, 0.350339, 6.440525e-04 
1.311412e-02, 4.160453e-03, 2.507702e-05, 4.073558e-04, 9.039393e-06, 3.467044e-04, 3.253598e-03, 1.186785e-04, 3.469491e-01, 5.735560e-04, 1.041123e+00, -0.008381, 9.825367e-01, 0, 0.347372, 5.835621e-04 
1.821642e-02, 5.102300e-03, 2.799296e-05, 5.374065e-04, 1.224692e-05, 3.954005e-04, 4.013490e-03, 1.157625e-04, 3.402345e-01, 3.891272e-04, 1.024889e+00, -0.007010, 1.263899e+00, 0, 0.340842, 4.072349e-04 
2.274486e-02, 4.528444e-03, 4.257262e-05, 6.173030e-04, 1.749560e-05, 4.359320e-04, 3.279258e-03, 1.358825e-04, 3.341081e-01, 2.699229e-04, 1.038497e+00, -0.000253, 1.288828e+00, 0, 0.334293, 2.877948e-04 
2.780634e-02, 5.061477e-03, 2.828455e-05, 3.583682e-04, 9.914172e-06, 4.085222e-04, 4.122838e-03, 1.335497e-04, 3.340587e-01, 3.045810e-04, 6.956317e-01, 0.000473, 6.444140e-01, 0, 0.334798, 3.607601e-04 
3.310226e-02, 5.295918e-03, 4.344740e-05, 4.974582e-04, 1.691241e-05, 4.484705e-04, 4.185822e-03, 1.038072e-04, 3.340587e-01, 3.045810e-04, 9.902194e-01, -0.001790, 8.266469e-01, 0, 0.334624, 3.457798e-04 
3.822467e-02, 5.122420e-03, 3.149208e-05, 4.554687e-04, 1.341329e-05, 4.618838e-04, 4.017573e-03, 1.425891e-04, 3.332667e-01, 2.180518e-04, 1.044712e+00, -0.000243, 9.646979e-01, 0, 0.333113, 2.132750e-04 
4.418222e-02, 5.957543e-03, 4.257262e-05, 5.274923e-04, 2.070312e-05, 4.945422e-04, 4.797585e-03, 7.464789e-05, 3.330642e-01, 2.258171e-04, 9.938023e-01, 0.001576, 4.823489e-01, 0, 0.332981, 2.182483e-04 
4.841557e-02, 4.233352e-03, 3.178367e-05, 3.685739e-04, 8.164613e-06, 3.347491e-04, 3.376359e-03, 1.137214e-04, 3.330642e-01, 2.258171e-04, 1.004125e+00, -0.000083, 4.823489e-01, 0, 0.333007, 2.237827e-04 
