TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=12, lr=12.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.808209e-04, 3.808209e-04, 9.914172e-05, 1.962423e-04, 0, 2.915933e-06, 8.164613e-05, 8.747799e-07, 3.502332e-01, 6.403245e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.341630, 1.069269e-03 
5.406140e-04, 1.597931e-04, 1.341329e-05, 1.297590e-04, 0, 1.457967e-06, 1.428807e-05, 8.747799e-07, 4.145402e-01, 9.299720e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.405074, 1.294958e-03 
7.222766e-04, 1.816626e-04, 1.662082e-05, 1.440471e-04, 0, 2.041153e-06, 1.778719e-05, 1.166373e-06, 4.883500e-01, 1.483465e-03, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.488694, 1.492295e-03 
9.701309e-04, 2.478543e-04, 2.361906e-05, 2.090724e-04, 0, 1.166373e-06, 1.341329e-05, 5.831866e-07, 3.374727e-01, 1.698009e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.334017, 2.165805e-04 
1.139547e-03, 1.694157e-04, 1.370489e-05, 1.402564e-04, 0, 8.747799e-07, 1.399648e-05, 5.831866e-07, 3.347946e-01, 1.354587e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.351047, 4.273880e-04 
1.294966e-03, 1.554192e-04, 1.195533e-05, 1.285926e-04, 0, 8.747799e-07, 1.341329e-05, 5.831866e-07, 3.348742e-01, 1.316567e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.319382, 2.603958e-04 
1.457092e-03, 1.621259e-04, 1.253851e-05, 1.341329e-04, 0, 1.166373e-06, 1.370489e-05, 5.831866e-07, 3.433532e-01, 2.399854e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.353538, 3.364840e-04 
1.678994e-03, 2.219025e-04, 1.399648e-05, 1.930348e-04, 0, 8.747799e-07, 1.341329e-05, 5.831866e-07, 3.309034e-01, 1.398122e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.348353, 5.705941e-04 
1.832956e-03, 1.539613e-04, 1.224692e-05, 1.271347e-04, 0, 8.747799e-07, 1.312170e-05, 5.831866e-07, 3.351223e-01, 2.475628e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.303820, 5.721689e-04 
1.988666e-03, 1.557108e-04, 1.137214e-05, 1.300506e-04, 0, 8.747799e-07, 1.253851e-05, 8.747799e-07, 4.067483e-01, 9.443230e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.487155, 1.395707e-03 
2.146710e-03, 1.580436e-04, 1.370489e-05, 1.297590e-04, 0, 8.747799e-07, 1.312170e-05, 5.831866e-07, 3.498436e-01, 2.672420e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.336375, 2.090469e-04 
2.300671e-03, 1.539613e-04, 1.341329e-05, 1.262599e-04, 0, 5.831866e-07, 1.312170e-05, 5.831866e-07, 3.415552e-01, 2.128119e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.329880, 2.563472e-04 
2.456090e-03, 1.554192e-04, 1.108055e-05, 1.300506e-04, 0, 8.747799e-07, 1.253851e-05, 8.747799e-07, 3.400174e-01, 2.064088e-04, 0.000000e+00, 0.000000, 1.200000e+01, 0, 0.398485, 7.649076e-04 
