TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=12, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.464128e-04, 3.464128e-04, 6.444212e-05, 1.825374e-04, 0, 3.499120e-06, 9.505942e-05, 8.747799e-07, 3.502332e-01, 6.403245e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.372702, 2.816184e-03 
4.744223e-04, 1.280095e-04, 2.915933e-06, 1.049736e-04, 0, 2.041153e-06, 1.749560e-05, 5.831866e-07, 3.552316e-01, 7.165095e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.215244, 2.221274e-03 
6.470455e-04, 1.726232e-04, 3.790713e-06, 1.472546e-04, 0, 1.457967e-06, 1.924516e-05, 8.747799e-07, 3.912191e-01, 1.147814e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.518226, 3.067609e-03 
9.109375e-04, 2.638919e-04, 3.207526e-06, 2.154875e-04, 0, 2.624340e-06, 4.053147e-05, 2.041153e-06, 3.543202e-01, 6.921530e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.325857, 2.536545e-03 
1.039239e-03, 1.283011e-04, 2.332746e-06, 1.075979e-04, 0, 1.166373e-06, 1.662082e-05, 5.831866e-07, 3.652843e-01, 8.480108e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.546207, 2.932208e-03 
1.170456e-03, 1.312170e-04, 1.166373e-06, 1.113886e-04, 0, 1.166373e-06, 1.691241e-05, 5.831866e-07, 3.347759e-01, 3.091535e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.372785, 2.358053e-03 
1.296424e-03, 1.259683e-04, 1.457967e-06, 1.046820e-04, 0, 1.166373e-06, 1.778719e-05, 8.747799e-07, 3.373781e-01, 3.567210e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.257096, 2.024357e-03 
1.421517e-03, 1.250935e-04, 2.041153e-06, 1.040988e-04, 0, 1.166373e-06, 1.720401e-05, 5.831866e-07, 3.585808e-01, 7.233369e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.479671, 2.597343e-03 
1.544278e-03, 1.227608e-04, 1.749560e-06, 1.026408e-04, 0, 8.747799e-07, 1.662082e-05, 8.747799e-07, 3.379385e-01, 3.594416e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.251855, 1.924418e-03 
1.776678e-03, 2.323999e-04, 2.332746e-06, 1.939095e-04, 0, 1.457967e-06, 3.265845e-05, 2.041153e-06, 3.575209e-01, 6.808875e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.421621, 2.403468e-03 
2.009661e-03, 2.329831e-04, 2.332746e-06, 1.959507e-04, 0, 1.749560e-06, 3.207526e-05, 8.747799e-07, 3.440978e-01, 4.322465e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.258558, 1.926940e-03 
2.225440e-03, 2.157790e-04, 3.207526e-06, 1.950759e-04, 0, 8.747799e-07, 1.632923e-05, 2.915933e-07, 3.602753e-01, 6.697305e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.385000, 2.322738e-03 
2.446468e-03, 2.210277e-04, 2.332746e-06, 1.947843e-04, 0, 4.665493e-06, 1.866197e-05, 5.831866e-07, 3.511514e-01, 5.072417e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.511237, 2.305529e-03 
2.687032e-03, 2.405645e-04, 2.915933e-06, 1.994498e-04, 0, 2.041153e-06, 3.528279e-05, 8.747799e-07, 3.332985e-01, 2.532436e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.304572, 1.884962e-03 
2.919141e-03, 2.321083e-04, 2.332746e-06, 1.936180e-04, 0, 2.041153e-06, 3.324164e-05, 8.747799e-07, 3.411186e-01, 4.201090e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.224620, 1.833078e-03 
3.061147e-03, 1.420059e-04, 2.624340e-06, 1.250935e-04, 0, 8.747799e-07, 1.312170e-05, 2.915933e-07, 3.620026e-01, 7.442907e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.152435, 1.616850e-03 
3.268761e-03, 2.076144e-04, 2.332746e-06, 1.863281e-04, 0, 1.749560e-06, 1.691241e-05, 2.915933e-07, 3.926434e-01, 1.043166e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.558135, 2.538818e-03 
3.424180e-03, 1.554192e-04, 2.332746e-06, 1.396732e-04, 0, 8.747799e-07, 1.224692e-05, 2.915933e-07, 3.515944e-01, 6.452873e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.468443, 2.307122e-03 
3.558313e-03, 1.341329e-04, 2.332746e-06, 1.110970e-04, 0, 1.166373e-06, 1.895356e-05, 5.831866e-07, 3.348288e-01, 3.415486e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.408986, 2.058870e-03 
3.707900e-03, 1.495874e-04, 3.207526e-06, 1.285926e-04, 0, 1.166373e-06, 1.603763e-05, 5.831866e-07, 3.282081e-01, 2.161676e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.291255, 1.859039e-03 
