TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=55,b_m=7, lr=0.100000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.209202e-02, 5.209202e-02, 7.642667e-04, 8.944049e-03, 0, 4.059332e-02, 1.578688e-03, 2.116969e-04, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.342334, 2.559158e-03 
7.098408e-02, 1.889206e-02, 5.079560e-04, 8.310417e-04, 0, 1.653394e-02, 5.190365e-04, 5.000830e-04, 0.345920, 5.127719e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.366275, 2.663014e-03 
8.379203e-02, 1.280796e-02, 1.312171e-05, 3.551610e-04, 0, 1.238981e-02, 3.878194e-05, 1.108056e-05, 0.344498, 4.810962e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.324652, 2.507852e-03 
9.639967e-02, 1.260763e-02, 1.778721e-05, 3.303755e-04, 0, 1.219007e-02, 5.132047e-05, 1.807880e-05, 0.345867, 5.270526e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.400002, 2.806857e-03 
1.115197e-01, 1.512000e-02, 3.207529e-06, 3.356242e-04, 0, 1.472343e-02, 5.686074e-05, 8.747807e-07, 0.342423, 4.419012e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.358801, 2.672931e-03 
1.268038e-01, 1.528417e-02, 4.053151e-05, 2.872197e-04, 0, 1.487011e-02, 6.677493e-05, 1.953677e-05, 0.341397, 4.173259e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.326049, 2.525410e-03 
1.395529e-01, 1.274905e-02, 6.356740e-05, 3.128799e-04, 0, 1.233091e-02, 4.082310e-05, 8.747807e-07, 0.342806, 4.656024e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.396356, 2.774128e-03 
1.525612e-01, 1.300828e-02, 4.082310e-06, 3.752809e-04, 0, 1.257585e-02, 5.219525e-05, 8.747807e-07, 0.339853, 3.832977e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.355865, 2.626148e-03 
1.653137e-01, 1.275255e-02, 8.222938e-05, 2.796382e-04, 0, 1.234753e-02, 4.228107e-05, 8.747807e-07, 0.339326, 3.672118e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.372896, 2.721962e-03 
1.775738e-01, 1.226005e-02, 3.878194e-05, 2.863449e-04, 0, 1.191393e-02, 1.982836e-05, 1.166374e-06, 0.337673, 3.170240e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.333692, 2.573610e-03 
1.898872e-01, 1.231341e-02, 3.499123e-06, 2.236523e-04, 0, 1.202007e-02, 2.011996e-05, 4.607178e-05, 0.338383, 3.470400e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.355768, 2.622231e-03 
2.026730e-01, 1.278579e-02, 6.006827e-05, 3.534114e-04, 0, 1.235103e-02, 2.011996e-05, 1.166374e-06, 0.337895, 3.311524e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.317269, 2.527451e-03 
2.152348e-01, 1.256185e-02, 4.082310e-06, 2.761391e-04, 0, 1.219269e-02, 8.806126e-05, 8.747807e-07, 0.339783, 3.916778e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.341683, 2.669819e-03 
2.273616e-01, 1.212679e-02, 4.403063e-05, 2.268598e-04, 0, 1.178971e-02, 6.531696e-05, 8.747807e-07, 0.339601, 3.876597e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.305255, 2.516170e-03 
2.399334e-01, 1.257176e-02, 4.373903e-05, 2.860533e-04, 0, 1.222156e-02, 1.953677e-05, 8.747807e-07, 0.342088, 4.549442e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.426914, 2.776023e-03 
2.533779e-01, 1.344450e-02, 2.624342e-06, 1.869115e-04, 0, 1.323427e-02, 1.982836e-05, 8.747807e-07, 0.337797, 3.373904e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.284976, 2.445248e-03 
2.678170e-01, 1.443913e-02, 6.531696e-05, 2.563107e-04, 0, 1.404635e-02, 2.099474e-05, 5.015409e-05, 0.341973, 4.634541e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.369304, 2.764498e-03 
2.799526e-01, 1.213554e-02, 2.624342e-06, 2.006164e-04, 0, 1.187223e-02, 2.011996e-05, 3.994832e-05, 0.339917, 4.019992e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.274240, 2.435106e-03 
2.922027e-01, 1.225014e-02, 2.915936e-06, 3.087976e-04, 0, 1.184599e-02, 9.156038e-05, 8.747807e-07, 0.344707, 5.279220e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.436968, 2.819255e-03 
3.055020e-01, 1.329929e-02, 3.499123e-06, 2.277346e-04, 0, 1.289485e-02, 1.274264e-04, 4.578019e-05, 0.339694, 4.065856e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.395455, 2.728454e-03 
3.180977e-01, 1.259568e-02, 4.665497e-06, 1.390901e-04, 0, 1.235686e-02, 5.452800e-05, 4.053151e-05, 0.337050, 3.198736e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.354939, 2.633790e-03 
3.389422e-01, 2.084457e-02, 1.277180e-04, 7.864278e-03, 0, 1.277151e-02, 7.989664e-05, 1.166374e-06, 0.336881, 3.127948e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.392787, 2.877625e-03 
3.525559e-01, 1.361363e-02, 4.082310e-06, 1.659167e-04, 0, 1.332495e-02, 1.178038e-04, 8.747807e-07, 0.334153, 1.960582e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.332106, 2.570013e-03 
3.648597e-01, 1.230379e-02, 4.373903e-06, 1.965341e-04, 0, 1.208130e-02, 2.070314e-05, 8.747807e-07, 0.335757, 2.853025e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.342178, 2.666870e-03 
3.768027e-01, 1.194309e-02, 2.332748e-06, 1.405481e-04, 0, 1.177921e-02, 2.011996e-05, 8.747807e-07, 0.336098, 2.888247e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.387609, 2.838082e-03 
3.885857e-01, 1.178300e-02, 2.332748e-06, 1.064317e-04, 0, 1.165354e-02, 1.982836e-05, 8.747807e-07, 0.333651, 1.739305e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.345678, 2.765771e-03 
4.006764e-01, 1.209064e-02, 5.540278e-06, 1.481295e-04, 0, 1.191597e-02, 2.011996e-05, 8.747807e-07, 0.333590, 1.751908e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.306904, 2.589995e-03 
4.130997e-01, 1.242334e-02, 3.499123e-06, 2.644754e-04, 0, 1.213437e-02, 2.011996e-05, 8.747807e-07, 0.336038, 3.031187e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.365838, 2.757109e-03 
4.250743e-01, 1.197458e-02, 3.207529e-06, 2.128633e-04, 0, 1.173722e-02, 2.011996e-05, 1.166374e-06, 0.334965, 2.495893e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.292210, 2.597614e-03 
4.384885e-01, 1.341418e-02, 4.373903e-06, 1.422977e-04, 0, 1.324564e-02, 2.041155e-05, 1.457968e-06, 0.338223, 3.807650e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.255226, 2.464002e-03 
4.506797e-01, 1.219124e-02, 2.624342e-06, 1.038073e-04, 0, 1.206410e-02, 1.982836e-05, 8.747807e-07, 0.344227, 5.525582e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.429772, 2.815336e-03 
