TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=5, lr=1.000000, lambda=1.000000e-10, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.465840e-03, 1.465840e-03, 2.011994e-04, 4.898768e-04, 0, 8.106294e-05, 5.858110e-04, 1.078895e-04, 3.502332e-01, 6.403245e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.339456, 1.412961e-03, 0.333333, 0.000000 
2.524323e-03, 1.058484e-03, 1.828290e-04, 4.545940e-04, 0, 8.806118e-05, 2.341494e-04, 9.885013e-05, 3.496445e-01, 6.409501e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.347145, 2.003322e-03, 0.000000, 0.000000 
3.477833e-03, 9.535101e-04, 2.134463e-04, 3.793629e-04, 0, 6.590009e-05, 1.988666e-04, 9.593420e-05, 3.528832e-01, 6.982382e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.405979, 2.135582e-03, 0.000000, 0.000000 
4.526403e-03, 1.048570e-03, 1.740812e-04, 5.420720e-04, 0, 6.764965e-05, 1.781635e-04, 8.660321e-05, 3.405284e-01, 4.508349e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.343490, 1.959489e-03, 0.000000, 0.000000 
7.140245e-03, 2.613842e-03, 4.190196e-04, 9.829610e-04, 0, 3.362071e-04, 6.193442e-04, 2.563105e-04, 3.437807e-01, 5.237123e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.378484, 1.328362e-03, 0.000000, 0.000000 
7.386933e-03, 2.466879e-04, 4.257262e-05, 1.498790e-04, 0, 7.289833e-06, 3.965669e-05, 7.289833e-06, 3.345333e-01, 2.983132e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.309029, 8.013236e-04, 0.000000, 0.000000 
7.714101e-03, 3.271677e-04, 6.677487e-05, 1.834122e-04, 0, 1.166373e-05, 5.015405e-05, 1.516285e-05, 3.393178e-01, 4.462858e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.291037, 1.023028e-03, 0.000000, 0.000000 
7.951749e-03, 2.376485e-04, 4.927927e-05, 1.420059e-04, 0, 1.457967e-06, 4.403059e-05, 8.747799e-07, 3.471414e-01, 6.087904e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.376758, 1.119300e-03, 0.000000, 0.000000 
8.187357e-03, 2.356074e-04, 3.207526e-05, 1.387984e-04, 0, 7.873019e-06, 4.636334e-05, 1.049736e-05, 3.356165e-01, 3.587329e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.351543, 8.219832e-04, 0.000000, 0.000000 
8.496737e-03, 3.093805e-04, 5.598591e-05, 1.810794e-04, 0, 1.662082e-05, 4.344740e-05, 1.224692e-05, 3.310223e-01, 2.303087e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.330508, 1.762591e-03, 0.000000, 0.000000 
8.753631e-03, 2.568937e-04, 4.432218e-05, 1.562940e-04, 0, 1.283011e-05, 4.257262e-05, 8.747799e-07, 3.373600e-01, 4.558291e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.259909, 1.388395e-03, 0.333333, 0.000000 
8.986614e-03, 2.329831e-04, 4.782130e-05, 1.297590e-04, 0, 1.457967e-06, 3.994828e-05, 1.399648e-05, 3.541316e-01, 7.931672e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.354098, 1.278581e-03, 0.000000, 0.000000 
9.275291e-03, 2.886774e-04, 6.123459e-05, 1.743728e-04, 0, 1.545445e-05, 3.674076e-05, 8.747799e-07, 3.455484e-01, 6.503536e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.418644, 1.926423e-03, 0.000000, 0.000000 
