TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=130, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
9.074384e-03, 9.074384e-03, 0, 5.674406e-04, 1.603763e-05, 3.694487e-04, 7.120709e-03, 1.000748e-03, 3.502332e-01, 6.403245e-04, 1.038028e+00, -0.001879, 1.000000e+00, 0, 0.350233, 6.403245e-04 
1.490858e-02, 5.834199e-03, 0, 6.420885e-04, 1.204280e-04, 4.166868e-04, 3.590388e-03, 1.064607e-03, 3.482828e-01, 5.867063e-04, 1.000118e+00, -0.007617, 1.801183e+00, 0, 0.348283, 5.867063e-04 
2.117026e-02, 6.261675e-03, 0, 6.170114e-04, 1.291758e-04, 4.041483e-04, 4.983913e-03, 1.274263e-04, 3.406649e-01, 4.018286e-04, 1.039040e+00, -0.006787, 2.834532e+00, 0, 0.340665, 4.018286e-04 
2.534267e-02, 4.172409e-03, 0, 6.266340e-04, 1.519201e-04, 3.767386e-04, 2.893189e-03, 1.239272e-04, 3.336126e-01, 3.616098e-04, 1.735040e+00, 0.000008, 1.417266e+00, 0, 0.333613, 3.616098e-04 
3.077680e-02, 5.434133e-03, 0, 5.464459e-04, 1.778719e-05, 3.904434e-04, 4.391104e-03, 8.835277e-05, 3.336126e-01, 3.616098e-04, -4.521507e-01, 0.002530, 7.086331e-01, 0, 0.333613, 3.616098e-04 
3.535131e-02, 4.574516e-03, 0, 6.033066e-04, 1.807879e-05, 4.254346e-04, 3.384815e-03, 1.428807e-04, 3.336126e-01, 3.616098e-04, 1.070110e+00, -0.000571, 1.388114e+00, 0, 0.333613, 3.616098e-04 
4.011274e-02, 4.761427e-03, 0, 5.723977e-04, 1.720401e-05, 3.819872e-04, 3.690988e-03, 9.885013e-05, 3.330019e-01, 3.533520e-04, 1.340674e+00, -0.000079, 1.388114e+00, 0, 0.333002, 3.533520e-04 
4.402184e-02, 3.909100e-03, 0, 4.732559e-04, 7.289833e-05, 3.851948e-04, 2.847409e-03, 1.303422e-04, 3.328960e-01, 3.406452e-04, 9.867851e-01, -0.000041, 1.388114e+00, 0, 0.332896, 3.406452e-04 
4.937695e-02, 5.355111e-03, 0, 6.030150e-04, 2.011994e-05, 4.335992e-04, 4.218480e-03, 7.989657e-05, 3.328557e-01, 3.375596e-04, 7.412382e-01, -0.007617, 1.388114e+00, 0, 0.332856, 3.375596e-04 
5.481692e-02, 5.439965e-03, 0, 6.543354e-04, 8.164613e-06, 3.399978e-04, 4.386147e-03, 5.132042e-05, 3.272100e-01, 4.038462e-04, 1.211638e+00, 0.000050, 6.940570e-01, 0, 0.327210, 4.038462e-04 
6.012567e-02, 5.308748e-03, 0, 5.782295e-04, 1.574604e-05, 4.064811e-04, 4.142666e-03, 1.656250e-04, 3.272100e-01, 4.038462e-04, 8.531933e-01, -0.004722, 1.304691e+00, 0, 0.327210, 4.038462e-04 
6.478416e-02, 4.658495e-03, 0, 5.341989e-04, 1.778719e-05, 4.245599e-04, 3.548399e-03, 1.335497e-04, 3.231813e-01, 2.617005e-04, 1.125387e+00, -0.000208, 2.604719e+00, 0, 0.323181, 2.617005e-04 
6.885480e-02, 4.070643e-03, 0, 5.376981e-04, 1.837038e-05, 4.289338e-04, 2.919724e-03, 1.659166e-04, 3.229474e-01, 2.643334e-04, 9.563974e-01, -0.000557, 2.604719e+00, 0, 0.322947, 2.643334e-04 
7.483538e-02, 5.980579e-03, 0, 5.012489e-04, 1.662082e-05, 3.939426e-04, 4.937549e-03, 1.312170e-04, 3.224148e-01, 3.440956e-04, 5.959239e-01, -0.000074, 2.604719e+00, 0, 0.322415, 3.440956e-04 
8.107489e-02, 6.239514e-03, 0, 5.490702e-04, 1.924516e-05, 4.452630e-04, 5.091219e-03, 1.347161e-04, 3.223709e-01, 3.327227e-04, -2.645071e-01, -0.004348, 1.302359e+00, 0, 0.322371, 3.327227e-04 
8.615707e-02, 5.082180e-03, 0, 8.983990e-04, 1.195533e-05, 5.038732e-04, 3.565895e-03, 1.020577e-04, 3.223709e-01, 3.327227e-04, -1.065243e+00, -0.000316, 6.511797e-01, 0, 0.322371, 3.327227e-04 
9.105497e-02, 4.897893e-03, 0, 6.275088e-04, 9.447623e-05, 3.755722e-04, 3.578725e-03, 2.216109e-04, 3.223709e-01, 3.327227e-04, 9.495416e-01, -0.004624, 1.033230e+00, 0, 0.322371, 3.327227e-04 
9.751201e-02, 6.457042e-03, 0, 5.350737e-04, 8.164613e-06, 3.245434e-04, 5.485162e-03, 1.040988e-04, 3.179806e-01, 3.729076e-04, 7.953581e-01, -0.000671, 1.033230e+00, 0, 0.317981, 3.729076e-04 
1.018847e-01, 4.372733e-03, 0, 4.289338e-04, 1.078895e-05, 3.676992e-04, 3.366736e-03, 1.985750e-04, 3.174470e-01, 5.227608e-04, 1.040453e+00, -0.003607, 1.033230e+00, 0, 0.317447, 5.227608e-04 
1.068555e-01, 4.970791e-03, 0, 4.315581e-04, 1.078895e-05, 3.764470e-04, 4.093970e-03, 5.802707e-05, 3.136941e-01, 3.291466e-04, -3.334410e-01, -0.000273, 5.166149e-01, 0, 0.313694, 3.291466e-04 
1.105681e-01, 3.712566e-03, 0, 4.236851e-04, 9.914172e-06, 3.758638e-04, 2.719108e-03, 1.839954e-04, 3.136941e-01, 3.291466e-04, 1.148115e+00, -0.000320, 9.307997e-01, 0, 0.313694, 3.291466e-04 
1.142072e-01, 3.639084e-03, 0, 4.484705e-04, 1.108055e-05, 3.986081e-04, 2.708610e-03, 7.231514e-05, 3.133269e-01, 3.368126e-04, 7.274496e-01, -0.000208, 9.307997e-01, 0, 0.313327, 3.368126e-04 
1.183067e-01, 4.099510e-03, 0, 6.173030e-04, 1.924516e-05, 4.432218e-04, 2.902228e-03, 1.175121e-04, 3.131756e-01, 3.236394e-04, 1.110087e+00, -0.000024, 9.307997e-01, 0, 0.313176, 3.236394e-04 
1.235883e-01, 5.281630e-03, 0, 5.382812e-04, 2.041153e-05, 4.079390e-04, 4.253180e-03, 6.181778e-05, 3.131494e-01, 3.236485e-04, 1.303772e+00, 0.000025, 4.653998e-01, 0, 0.313149, 3.236485e-04 
1.279640e-01, 4.375649e-03, 0, 5.508198e-04, 2.011994e-05, 4.161036e-04, 3.312792e-03, 7.581426e-05, 3.131494e-01, 3.236485e-04, 9.401083e-01, -0.000275, 5.149342e-01, 0, 0.313149, 3.236485e-04 
1.319197e-01, 3.955755e-03, 0, 5.470290e-04, 1.691241e-05, 4.018156e-04, 2.968420e-03, 2.157790e-05, 3.128904e-01, 3.729940e-04, 1.032142e+00, -0.000150, 5.149342e-01, 0, 0.312890, 3.729940e-04 
1.364079e-01, 4.488204e-03, 0, 5.665658e-04, 1.691241e-05, 3.732394e-04, 3.511658e-03, 1.982834e-05, 3.127356e-01, 3.486273e-04, 1.386418e+00, 0.000015, 2.574671e-01, 0, 0.312736, 3.486273e-04 
1.402940e-01, 3.886064e-03, 0, 6.030150e-04, 1.574604e-05, 3.764470e-04, 2.832246e-03, 5.861025e-05, 3.127356e-01, 3.486273e-04, 1.021876e+00, -0.000142, 2.574671e-01, 0, 0.312736, 3.486273e-04 
1.455666e-01, 5.272590e-03, 0, 5.604423e-04, 1.895356e-05, 4.198944e-04, 4.220230e-03, 5.306998e-05, 3.125907e-01, 3.231909e-04, 1.004988e+00, -0.000124, 4.431214e-01, 0, 0.312591, 3.231909e-04 
1.502131e-01, 4.646539e-03, 0, 6.858275e-04, 1.953675e-05, 4.158121e-04, 3.477833e-03, 4.752971e-05, 3.124658e-01, 3.345294e-04, 1.084099e+00, -0.000059, 7.736699e-01, 0, 0.312466, 3.345294e-04 
1.560733e-01, 5.860151e-03, 0, 5.834782e-04, 1.108055e-05, 4.487621e-04, 4.796418e-03, 2.041153e-05, 3.124019e-01, 3.352580e-04, 1.093025e+00, 0.000278, 3.868349e-01, 0, 0.312402, 3.352580e-04 
1.627108e-01, 6.637538e-03, 0, 6.047645e-04, 1.749560e-05, 3.776133e-04, 5.603257e-03, 3.440801e-05, 3.124019e-01, 3.352580e-04, 9.026894e-01, -0.000829, 6.849113e-01, 0, 0.312402, 3.352580e-04 
1.665330e-01, 3.822205e-03, 0, 5.111631e-04, 1.516285e-05, 3.971501e-04, 2.847117e-03, 5.161202e-05, 3.116540e-01, 4.468776e-04, 9.740063e-01, -0.000021, 6.849113e-01, 0, 0.311654, 4.468776e-04 
1.711376e-01, 4.604550e-03, 0, 5.776463e-04, 1.137214e-05, 4.204775e-04, 3.571726e-03, 2.332746e-05, 3.116331e-01, 4.454277e-04, 1.017949e+00, -0.000300, 6.849113e-01, 0, 0.311633, 4.454277e-04 
1.763612e-01, 5.223602e-03, 0, 6.009738e-04, 1.982834e-05, 4.131877e-04, 4.177366e-03, 1.224692e-05, 3.113277e-01, 3.930891e-04, 2.277133e+00, 0.000486, 3.424557e-01, 0, 0.311328, 3.930891e-04 
1.807257e-01, 4.364569e-03, 0, 4.910431e-04, 1.049736e-05, 3.752806e-04, 3.452756e-03, 3.499120e-05, 3.113277e-01, 3.930891e-04, 8.430580e-01, -0.000007, 3.424557e-01, 0, 0.311328, 3.930891e-04 
1.849439e-01, 4.218189e-03, 0, 4.298085e-04, 1.049736e-05, 3.755722e-04, 3.368194e-03, 3.411642e-05, 3.113214e-01, 3.919458e-04, 9.918237e-01, -0.000056, 3.424557e-01, 0, 0.311321, 3.919458e-04 
1.896330e-01, 4.689112e-03, 0, 6.021402e-04, 1.137214e-05, 4.735475e-04, 3.549857e-03, 5.219520e-05, 3.112656e-01, 4.181781e-04, 1.009457e+00, -0.000054, 3.424557e-01, 0, 0.311266, 4.181781e-04 
