TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=15,b_m=150, lr=0.010000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.869417e-01, 4.869417e-01, 0, 5.340244e-03, 8.190863e-04, 2.473244e-01, 2.291374e-01, 4.320542e-03, 0.401147, 1.173128e-03, 6.040624e-01, -0.075791, 1.000000e+00, 1, 0.401147, 1.173128e-03 
5.561404e-01, 6.919865e-02, 0, 3.614302e-03, 4.717984e-04, 4.456104e-02, 1.762741e-02, 2.924100e-03, 0.355364, 7.228919e-04, 5.898974e-01, -0.040708, 1.000000e+00, 1, 0.355364, 7.228919e-04 
1.197932e+00, 6.417916e-01, 0, 8.534944e-03, 3.528282e-05, 6.123640e-02, 5.719124e-01, 7.260680e-05, 0.331351, 2.309984e-04, -2.510880e-01, -0.012368, 5.000000e-01, 1, 0.331351, 2.309984e-04 
1.274854e+00, 7.692209e-02, 0, 1.460301e-03, 1.131383e-04, 2.144379e-02, 5.155549e-02, 2.349369e-03, 0.331351, 2.309984e-04, 8.666142e-01, -0.003694, 1.000000e+00, 1, 0.331351, 2.309984e-04 
1.343824e+00, 6.897033e-02, 0, 1.220319e-03, 1.005998e-04, 2.623584e-02, 4.135351e-02, 6.006827e-05, 0.328150, 2.104063e-04, 1.963626e-01, -0.038337, 5.000000e-01, 1, 0.328150, 2.104063e-04 
1.575762e+00, 2.319376e-01, 0, 8.852781e-04, 5.248684e-05, 1.929620e-02, 2.115570e-01, 1.466716e-04, 0.328150, 2.104063e-04, 8.693645e-01, -0.012918, 1.000000e+00, 1, 0.328150, 2.104063e-04 
1.642125e+00, 6.636320e-02, 0, 9.465127e-04, 4.548860e-05, 2.417835e-02, 4.107504e-02, 1.178038e-04, 0.316919, 2.822206e-04, 9.043031e-01, -0.007785, 2.000000e+00, 1, 0.316919, 2.822206e-04 
1.688753e+00, 4.662785e-02, 0, 8.409558e-04, 8.397895e-05, 1.933907e-02, 2.625713e-02, 1.067232e-04, 0.309879, 3.431764e-04, 7.979099e-01, -0.069104, 2.000000e+00, 1, 0.309879, 3.431764e-04 
1.776072e+00, 8.731944e-02, 0, 9.290171e-04, 7.085724e-05, 1.796158e-02, 6.825476e-02, 1.032241e-04, 0.254740, 5.683722e-04, 4.201723e-01, -0.047823, 2.000000e+00, 1, 0.254740, 5.683722e-04 
1.955143e+00, 1.790708e-01, 0, 9.156038e-04, 5.511118e-05, 1.887689e-02, 1.591357e-01, 8.747807e-05, 0.234647, 8.032510e-04, 3.624305e-01, -0.025236, 2.000000e+00, 1, 0.234647, 8.032510e-04 
1.999336e+00, 4.419275e-02, 0, 6.992414e-04, 3.440804e-05, 1.961433e-02, 2.301519e-02, 8.295837e-04, 0.225500, 1.016893e-03, 1.106568e+00, -0.017290, 2.000000e+00, 0, 0.225500, 1.016893e-03 
2.652035e+00, 6.526987e-01, 0, 8.018823e-04, 7.756389e-05, 1.800649e-02, 6.336168e-01, 1.959509e-04, 0.206368, 4.341547e-04, 1.029006e+00, -0.023045, 4.000000e+00, 1, 0.206368, 4.341547e-04 
2.703361e+00, 5.132601e-02, 0, 8.631169e-04, 9.214357e-05, 1.849286e-02, 3.166298e-02, 2.149045e-04, 0.182655, 2.944072e-04, 1.240070e+00, -0.006129, 4.000000e+00, 0, 0.182655, 2.944072e-04 
2.752294e+00, 4.893348e-02, 0, 7.668911e-04, 5.511118e-05, 1.793505e-02, 3.005309e-02, 1.233441e-04, 0.175055, 3.939123e-04, 3.455535e-03, -0.061092, 2.000000e+00, 1, 0.175055, 3.939123e-04 
2.839782e+00, 8.748740e-02, 0, 8.779882e-04, 5.656915e-05, 1.801727e-02, 6.841193e-02, 1.236357e-04, 0.175055, 3.939123e-04, 1.633269e-01, -0.049661, 1.000000e+00, 1, 0.175055, 3.939123e-04 
3.226771e+00, 3.869893e-01, 0, 8.674908e-04, 5.540278e-05, 1.850074e-02, 3.674397e-01, 1.259684e-04, 0.175055, 3.939123e-04, 9.907305e-01, -0.007730, 2.000000e+00, 1, 0.175055, 3.939123e-04 
3.696473e+00, 4.697024e-01, 0, 6.832037e-04, 4.636338e-05, 1.809017e-02, 4.507684e-01, 1.143047e-04, 0.167397, 3.895280e-04, 2.698809e-01, -0.011352, 2.000000e+00, 1, 0.167397, 3.895280e-04 
3.804570e+00, 1.080972e-01, 0, 7.176118e-04, 9.651747e-05, 1.945950e-02, 8.770872e-02, 1.148879e-04, 0.164333, 5.270990e-04, -1.401530e+00, -0.075228, 1.000000e+00, 1, 0.164333, 5.270990e-04 
3.906102e+00, 1.015311e-01, 0, 8.529112e-04, 7.552273e-05, 1.850219e-02, 8.201973e-02, 8.077142e-05, 0.164333, 5.270990e-04, -2.100618e+00, -0.047732, 5.000000e-01, 1, 0.164333, 5.270990e-04 
3.959724e+00, 5.362260e-02, 0, 8.345408e-04, 2.026575e-04, 1.829254e-02, 3.424825e-02, 4.461381e-05, 0.164333, 5.270990e-04, -1.772099e+00, -0.024443, 2.500000e-01, 1, 0.164333, 5.270990e-04 
4.014819e+00, 5.509456e-02, 0, 8.100469e-04, 1.519202e-04, 1.825142e-02, 3.574033e-02, 1.408397e-04, 0.164333, 5.270990e-04, 9.061522e-01, -0.001555, 5.000000e-01, 1, 0.164333, 5.270990e-04 
4.136196e+00, 1.213776e-01, 0, 8.908183e-04, 1.102224e-04, 1.860863e-02, 1.016656e-01, 1.023493e-04, 0.162924, 4.413288e-04, 6.295433e-01, -0.010335, 5.000000e-01, 1, 0.162924, 4.413288e-04 
4.183406e+00, 4.720958e-02, 0, 7.604760e-04, 9.389313e-05, 1.816657e-02, 2.810641e-02, 8.222938e-05, 0.156418, 3.798609e-04, 8.899524e-01, -0.004319, 1.000000e+00, 1, 0.156418, 3.798609e-04 
4.211303e+00, 2.789734e-02, 0, 7.470627e-04, 2.274430e-04, 1.885065e-02, 8.014157e-03, 5.802712e-05, 0.152574, 2.540121e-04, 9.886169e-01, -0.008928, 2.000000e+00, 1, 0.152574, 2.540121e-04 
4.256795e+00, 4.549209e-02, 0, 8.185031e-04, 1.402565e-04, 1.715503e-02, 2.655863e-02, 8.196695e-04, 0.143747, 2.153216e-04, 2.159386e-01, -0.012275, 2.000000e+00, 1, 0.143747, 2.153216e-04 
4.298723e+00, 4.192766e-02, 0, 6.727063e-04, 1.052653e-04, 1.847216e-02, 2.263233e-02, 4.519700e-05, 0.141097, 6.433091e-04, -3.163291e+00, -0.036227, 1.000000e+00, 1, 0.141097, 6.433091e-04 
4.343849e+00, 4.512644e-02, 0, 5.432388e-04, 1.277180e-04, 1.757551e-02, 2.683536e-02, 4.461381e-05, 0.141097, 6.433091e-04, -2.941335e+00, -0.033766, 5.000000e-01, 1, 0.141097, 6.433091e-04 
4.403457e+00, 5.960756e-02, 0, 5.607344e-04, 1.014746e-04, 1.802340e-02, 4.082456e-02, 9.739225e-05, 0.141097, 6.433091e-04, 7.661413e-01, -0.008126, 5.000000e-01, 1, 0.141097, 6.433091e-04 
4.438844e+00, 3.538663e-02, 0, 6.345076e-04, 4.140629e-05, 1.786040e-02, 1.668119e-02, 1.691243e-04, 0.134871, 1.854319e-04, 9.822951e-01, -0.003011, 1.000000e+00, 1, 0.134871, 1.854319e-04 
4.479126e+00, 4.028248e-02, 0, 5.105803e-04, 5.219525e-05, 1.717311e-02, 2.243433e-02, 1.122635e-04, 0.131913, 1.988985e-04, 1.002845e+00, -0.003852, 2.000000e+00, 1, 0.131913, 1.988985e-04 
4.698169e+00, 2.190433e-01, 0, 6.499620e-04, 1.169290e-04, 1.736965e-02, 2.008004e-01, 1.064317e-04, 0.128050, 1.847297e-04, 4.086157e-01, -0.014380, 2.000000e+00, 1, 0.128050, 1.847297e-04 
4.989724e+00, 2.915545e-01, 0, 6.097221e-04, 1.533782e-04, 1.926267e-02, 2.714628e-01, 6.590014e-05, 0.122174, 2.783650e-04, -9.272659e-01, -0.018212, 1.000000e+00, 1, 0.122174, 2.783650e-04 
5.072428e+00, 8.270381e-02, 0, 7.187781e-04, 8.689488e-05, 1.788139e-02, 6.384966e-02, 1.670831e-04, 0.122174, 2.783650e-04, 1.095055e+00, -0.006659, 2.000000e+00, 1, 0.122174, 2.783650e-04 
5.117482e+00, 4.505412e-02, 0, 6.837869e-04, 5.831871e-05, 1.755597e-02, 2.668081e-02, 7.523114e-05, 0.114882, 2.483020e-04, -4.558949e-01, -0.006292, 1.000000e+00, 0, 0.114882, 2.483020e-04 
5.149988e+00, 3.250656e-02, 0, 6.636669e-04, 5.307003e-05, 1.774668e-02, 1.388569e-02, 1.574605e-04, 0.114882, 2.483020e-04, 9.323110e-01, -0.008157, 2.000000e+00, 1, 0.114882, 2.483020e-04 
5.180861e+00, 3.087247e-02, 0, 7.138210e-04, 2.099474e-05, 2.098541e-02, 8.952506e-03, 1.997416e-04, 0.107277, 4.303560e-04, 1.134216e-01, -0.020322, 1.000000e+00, 1, 0.107277, 4.303560e-04 
5.209293e+00, 2.843183e-02, 0, 7.144042e-04, 2.332748e-05, 1.712471e-02, 1.035565e-02, 2.137381e-04, 0.107277, 4.303560e-04, 7.953335e-01, -0.005095, 1.000000e+00, 1, 0.107277, 4.303560e-04 
5.263932e+00, 5.463938e-02, 0, 6.307169e-04, 2.303589e-05, 2.069265e-02, 3.323234e-02, 6.065146e-05, 0.103225, 2.704823e-04, 9.789262e-01, -0.004900, 2.000000e+00, 1, 0.103225, 2.704823e-04 
5.331787e+00, 6.785499e-02, 0, 5.861031e-04, 1.982836e-05, 3.003589e-02, 3.702218e-02, 1.909938e-04, 0.098428, 2.590811e-04, 1.330765e+00, -0.002070, 2.000000e+00, 0, 0.098428, 2.590811e-04 
5.364397e+00, 3.260978e-02, 0, 5.680243e-04, 1.953677e-05, 1.770090e-02, 1.427788e-02, 4.344744e-05, 0.095674, 2.585570e-04, 4.337352e-01, -0.016529, 2.000000e+00, 1, 0.095674, 2.585570e-04 
5.392910e+00, 2.851318e-02, 0, 4.849201e-04, 1.108056e-05, 1.724309e-02, 1.073560e-02, 3.849035e-05, 0.088505, 6.936842e-04, 1.130630e+00, -0.001685, 2.000000e+00, 0, 0.088505, 6.936842e-04 
5.434424e+00, 4.151359e-02, 0, 6.374235e-04, 1.516287e-05, 1.765278e-02, 2.317994e-02, 2.828458e-05, 0.086600, 3.273824e-04, 4.068216e-01, -0.002807, 2.000000e+00, 0, 0.086600, 3.273824e-04 
5.495222e+00, 6.079872e-02, 0, 5.913517e-04, 2.011996e-05, 1.729354e-02, 4.287154e-02, 2.216111e-05, 0.085458, 3.853943e-04, 6.436903e-01, -0.012302, 2.000000e+00, 1, 0.085458, 3.853943e-04 
5.523887e+00, 2.866511e-02, 0, 7.214025e-04, 2.303589e-05, 1.810300e-02, 9.775383e-03, 4.228107e-05, 0.077540, 5.090594e-04, 3.432386e-01, -0.007542, 2.000000e+00, 1, 0.077540, 5.090594e-04 
6.184004e+00, 6.601165e-01, 0, 6.502536e-04, 2.420227e-05, 1.805227e-02, 6.413813e-01, 8.456213e-06, 0.074951, 5.139115e-04, -2.892376e-01, -0.011296, 1.000000e+00, 1, 0.074951, 5.139115e-04 
6.227963e+00, 4.395860e-02, 0, 7.619340e-04, 2.361908e-05, 1.814441e-02, 2.502368e-02, 4.957091e-06, 0.074951, 5.139115e-04, -1.824987e+00, -0.021771, 5.000000e-01, 1, 0.074951, 5.139115e-04 
6.251484e+00, 2.352139e-02, 0, 6.598762e-04, 2.070314e-05, 1.681591e-02, 6.020241e-03, 4.665497e-06, 0.074951, 5.139115e-04, -2.339848e+00, -0.008796, 2.500000e-01, 1, 0.074951, 5.139115e-04 
6.283494e+00, 3.201027e-02, 0, 6.945759e-04, 2.128633e-05, 1.718390e-02, 1.408601e-02, 2.449386e-05, 0.074951, 5.139115e-04, 8.363560e-01, -0.001995, 5.000000e-01, 1, 0.074951, 5.139115e-04 
6.309503e+00, 2.600840e-02, 0, 6.694988e-04, 2.099474e-05, 1.720373e-02, 8.093762e-03, 2.041155e-05, 0.073282, 2.248303e-04, 9.503921e-01, -0.000911, 1.000000e+00, 1, 0.073282, 2.248303e-04 
6.413923e+00, 1.044208e-01, 0, 5.852283e-04, 2.099474e-05, 1.799103e-02, 8.581715e-02, 6.415058e-06, 0.072416, 2.140853e-04, 9.854356e-02, -0.004638, 5.000000e-01, 1, 0.072416, 2.140853e-04 
6.440426e+00, 2.650294e-02, 0, 7.441468e-04, 2.391067e-05, 1.876230e-02, 6.948966e-03, 2.361908e-05, 0.072416, 2.140853e-04, 4.949177e-01, -0.002359, 5.000000e-01, 1, 0.072416, 2.140853e-04 
6.485458e+00, 4.503109e-02, 0, 7.633919e-04, 2.595183e-05, 1.739647e-02, 2.682602e-02, 1.924518e-05, 0.071249, 4.686290e-04, 9.981177e-01, -0.007543, 1.000000e+00, 1, 0.071249, 4.686290e-04 
6.548285e+00, 6.282704e-02, 0, 7.027405e-04, 1.924518e-05, 1.719994e-02, 4.488441e-02, 2.070314e-05, 0.063720, 1.572752e-04, 8.472403e-01, -0.009341, 2.000000e+00, 1, 0.063720, 1.572752e-04 
6.601722e+00, 5.343714e-02, 0, 6.983666e-04, 2.099474e-05, 1.683953e-02, 3.583481e-02, 4.344744e-05, 0.055807, 1.248745e-04, 1.076242e+00, -0.000643, 2.000000e+00, 0, 0.055807, 1.248745e-04 
6.657163e+00, 5.544156e-02, 0, 6.225523e-04, 1.807880e-05, 4.849784e-02, 6.246517e-03, 5.656915e-05, 0.055114, 2.408603e-04, 9.743307e-01, -0.005200, 4.000000e+00, 1, 0.055114, 2.408603e-04 
