TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=9, lr=1.700000, decay=0.000100, lambda=0.000100, n=220, n0=10, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=50 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.416077e-02, 3.416077e-02, 1.883694e-04, 1.784553e-04, 0, 3.367993e-02, 1.134299e-04, 5.831871e-07, 71.740884, 6.547451e-01, 0.000000e+00, 0.000000, 1.699830e+00, 0, 12.766851, 1.203081e-01 
6.784886e-02, 3.368810e-02, 3.440804e-05, 1.729150e-04, 0, 3.345628e-02, 2.303589e-05, 1.457968e-06, 45.111659, 4.461281e-01, 0.000000e+00, 0.000000, 1.699660e+00, 0, 8.193955, 8.320813e-02 
2.144781e-01, 1.466293e-01, 1.457968e-05, 1.466716e-04, 0, 1.464415e-01, 2.536864e-05, 1.166374e-06, 25.066946, 1.199221e-01, 0.000000e+00, 0.000000, 1.699490e+00, 0, 4.757538, 3.304099e-02 
2.537753e-01, 3.929719e-02, 2.507705e-05, 2.175288e-04, 0, 3.903038e-02, 2.303589e-05, 1.166374e-06, 84.718487, 1.338505e-01, 0.000000e+00, 0.000000, 1.699320e+00, 0, 15.885578, 2.226129e-02 
2.919350e-01, 3.815968e-02, 3.090892e-05, 2.898440e-04, 0, 3.781473e-02, 2.303589e-05, 1.166374e-06, 68.856781, 1.559321e-02, 0.000000e+00, 0.000000, 1.699150e+00, 0, 15.763060, 2.055136e-03 
3.275759e-01, 3.564090e-02, 3.003414e-05, 2.980086e-04, 0, 3.528778e-02, 2.361908e-05, 1.457968e-06, 68.733003, 1.544819e-02, 0.000000e+00, 0.000000, 1.698981e+00, 0, 13.835456, 8.548231e-03 
3.621009e-01, 3.452497e-02, 3.032573e-05, 1.737898e-04, 0, 3.429024e-02, 2.886776e-05, 1.749561e-06, 68.771613, 2.746196e-02, 0.000000e+00, 0.000000, 1.698811e+00, 0, 13.671504, 3.459377e-03 
3.959441e-01, 3.384322e-02, 2.828458e-05, 2.011996e-04, 0, 3.358925e-02, 2.332748e-05, 1.166374e-06, 68.626458, 1.217647e-02, 0.000000e+00, 0.000000, 1.698641e+00, 0, 13.523822, 1.386584e-02 
4.297914e-01, 3.384731e-02, 1.632924e-05, 1.767057e-04, 0, 3.363036e-02, 2.303589e-05, 8.747807e-07, 85.933024, 1.666867e-01, 0.000000e+00, 0.000000, 1.698471e+00, 0, 16.702950, 1.995922e-02 
4.637702e-01, 3.397881e-02, 2.566023e-05, 2.000332e-04, 0, 3.373183e-02, 2.041155e-05, 8.747807e-07, 68.608590, 9.333515e-03, 0.000000e+00, 0.000000, 1.698302e+00, 0, 15.533368, 1.219372e-02 
0.080000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
