TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=183, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.921688e-01, 3.921688e-01, 1.522118e-04, 7.406476e-04, 0, 1.127718e-01, 2.754973e-01, 3.006913e-03, 0.736046, 1.056815e-03, 4.681108e-01, -0.710224, 1.700000e+00, 1, 0.738240, 1.057751e-03 
1.580240e+00, 1.188071e+00, 6.006827e-05, 1.009497e-03, 0, 1.080334e-01, 1.078527e+00, 4.408895e-04, 0.405315, 1.171929e-04, 3.892080e-01, -0.091243, 1.700000e+00, 1, 0.404283, 1.355333e-04 
2.543386e+00, 9.631461e-01, 8.689488e-05, 7.849699e-04, 0, 1.117946e-01, 8.503927e-01, 8.689488e-05, 0.371956, 2.129223e-04, 1.002932e-01, -0.210030, 8.500000e-01, 1, 0.378277, 2.645329e-04 
2.842938e+00, 2.995526e-01, 9.156038e-05, 7.741809e-04, 0, 1.137923e-01, 1.847531e-01, 1.414229e-04, 0.371956, 2.129223e-04, 6.631445e-01, -0.064521, 8.500000e-01, 1, 0.369885, 1.980851e-04 
3.203609e+00, 3.606703e-01, 9.039400e-05, 7.875942e-04, 0, 1.755705e-01, 1.841227e-01, 9.914181e-05, 0.331232, 1.284974e-04, 9.529968e-01, -0.028480, 1.700000e+00, 1, 0.339838, 1.153035e-04 
3.796879e+00, 5.932701e-01, 6.065146e-05, 6.534612e-04, 0, 1.964349e-01, 3.960858e-01, 3.528282e-05, 0.303207, 8.362295e-05, 4.740957e-01, -0.037559, 1.700000e+00, 1, 0.305732, 1.020247e-04 
4.094229e+00, 2.973499e-01, 1.052653e-04, 8.036319e-04, 0, 1.113013e-01, 1.851103e-01, 2.945095e-05, 0.288236, 1.399225e-04, 3.852837e-01, -0.099997, 1.700000e+00, 1, 0.282288, 1.451265e-04 
4.809889e+00, 7.156607e-01, 1.049737e-04, 7.791380e-04, 0, 1.805687e-01, 5.341770e-01, 3.090892e-05, 0.251847, 2.217307e-04, 5.069842e-01, -0.077531, 1.700000e+00, 1, 0.259503, 2.498930e-04 
5.365445e+00, 5.555551e-01, 6.939927e-05, 7.768052e-04, 0, 2.827565e-01, 2.719224e-01, 3.003414e-05, 0.216085, 9.503762e-05, 8.020700e-01, -0.047508, 3.400000e+00, 1, 0.216878, 9.859580e-05 
5.885323e+00, 5.198787e-01, 9.389313e-05, 8.365819e-04, 0, 2.016241e-01, 3.173168e-01, 7.289839e-06, 0.182218, 9.192322e-05, 9.684678e-02, -0.145579, 1.700000e+00, 1, 0.184091, 9.667793e-05 
0.811475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
