TRM WS=1, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=183, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.737372e-01, 5.737372e-01, 1.277180e-04, 7.374401e-04, 1.717486e-04, 3.164111e-02, 5.379726e-01, 3.086518e-03, 0.736046, 1.056815e-03, 7.738313e-01, -0.314600, 1.700000e+00, 1, 0.740904, 1.063404e-03 
1.547556e+00, 9.738193e-01, 9.039400e-05, 7.683490e-04, 1.670831e-04, 3.171576e-02, 9.407485e-01, 3.292091e-04, 0.498064, 6.452751e-04, 5.840257e-01, -0.137057, 1.700000e+00, 1, 0.497270, 6.470194e-04 
2.076331e+00, 5.287743e-01, 1.029325e-04, 7.476459e-04, 1.644588e-04, 4.033847e-02, 4.872884e-01, 1.323835e-04, 0.418718, 3.244997e-04, 6.395535e-01, -0.055012, 1.700000e+00, 1, 0.412793, 2.836229e-04 
2.945226e+00, 8.688955e-01, 9.505950e-05, 8.776966e-04, 1.431724e-04, 3.095062e-02, 8.367056e-01, 1.233441e-04, 0.382543, 2.109699e-04, 5.622301e-01, -0.052596, 1.700000e+00, 1, 0.380118, 2.095871e-04 
3.249480e+00, 3.042540e-01, 9.068560e-05, 8.537859e-04, 1.872031e-04, 3.159562e-02, 2.713570e-01, 1.697075e-04, 0.353746, 2.041757e-04, 6.309415e-01, -0.067324, 1.700000e+00, 1, 0.357644, 2.195603e-04 
3.747449e+00, 4.979686e-01, 8.543691e-05, 7.727229e-04, 1.659167e-04, 2.919668e-02, 4.674598e-01, 2.880944e-04, 0.311419, 1.863675e-04, 8.061870e-01, -0.064576, 3.400000e+00, 1, 0.305448, 1.973499e-04 
4.246967e+00, 4.995187e-01, 1.691243e-04, 9.258096e-04, 8.077142e-05, 5.417838e-02, 4.440107e-01, 1.539614e-04, 0.261474, 1.570986e-04, 3.371478e-01, -0.081796, 3.400000e+00, 1, 0.252327, 1.632224e-04 
4.460969e+00, 2.140011e-01, 1.901190e-04, 8.281257e-04, 8.193779e-05, 3.048494e-02, 1.823060e-01, 1.099308e-04, 0.234211, 2.683469e-04, 8.069292e-02, -0.118848, 1.700000e+00, 1, 0.241471, 2.768980e-04 
5.021007e+00, 5.600387e-01, 9.943340e-05, 7.444384e-04, 5.365322e-05, 2.978220e-02, 5.292117e-01, 1.472547e-04, 0.234211, 2.683469e-04, 6.149985e-01, -0.055520, 1.700000e+00, 1, 0.233737, 2.427379e-04 
5.315777e+00, 2.947693e-01, 2.697240e-04, 9.488454e-04, 6.065146e-05, 4.063765e-02, 2.527020e-01, 1.504623e-04, 0.197199, 1.437288e-04, 9.265327e-01, -0.036691, 3.400000e+00, 1, 0.203983, 1.368410e-04 
0.808743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
