TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.334915e-03, 1.334915e-03, 9.156038e-05, 5.817292e-04, 0, 4.942511e-04, 1.154711e-04, 5.190365e-05, 0.736046, 1.056815e-03, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.736678, 1.102806e-03 
2.128633e-03, 7.937177e-04, 2.297757e-04, 3.624508e-04, 0, 4.315585e-05, 1.017662e-04, 5.656915e-05, 0.539380, 6.906378e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.534852, 6.903330e-04 
2.458425e-03, 3.297923e-04, 4.811294e-05, 2.195700e-04, 0, 1.020577e-05, 4.257266e-05, 9.330994e-06, 0.458012, 4.566071e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.466574, 6.065164e-04 
2.819127e-03, 3.607012e-04, 8.222938e-05, 2.020743e-04, 0, 1.603765e-05, 4.665497e-05, 1.370490e-05, 0.419304, 2.473075e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.422253, 4.193440e-04 
3.290633e-03, 4.715068e-04, 1.688327e-04, 2.321085e-04, 0, 2.624342e-06, 6.677493e-05, 1.166374e-06, 0.408037, 1.561093e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.435788, 3.700659e-04 
3.742312e-03, 4.516784e-04, 1.361742e-04, 2.291925e-04, 0, 1.516287e-05, 5.656915e-05, 1.457968e-05, 0.407925, 1.387315e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.393206, 2.334765e-04 
4.161040e-03, 4.187284e-04, 9.622588e-05, 2.670997e-04, 0, 2.332748e-06, 5.190365e-05, 1.166374e-06, 0.404041, 1.045710e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.375099, 2.161229e-04 
4.641586e-03, 4.805462e-04, 1.382153e-04, 2.560191e-04, 0, 2.186952e-05, 6.356740e-05, 8.747807e-07, 0.403805, 1.184506e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.417538, 2.423726e-04 
5.025323e-03, 3.837371e-04, 7.785548e-05, 2.303589e-04, 0, 2.391067e-05, 5.073728e-05, 8.747807e-07, 0.401794, 7.710535e-05, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.386248, 1.775235e-04 
5.383984e-03, 3.586601e-04, 1.268432e-04, 2.070314e-04, 0, 1.457968e-06, 2.274430e-05, 5.831871e-07, 0.402588, 1.118380e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.401077, 2.856890e-04 
0.306011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
