TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.104405e-01, 1.104405e-01, 9.826703e-05, 2.630174e-04, 0, 1.099325e-01, 1.452136e-04, 1.457968e-06, 0.736046, 1.056815e-03, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.728797, 1.079375e-03 
2.540981e-01, 1.436577e-01, 2.799298e-04, 3.811128e-04, 0, 1.427983e-01, 1.974088e-04, 8.747807e-07, 0.423902, 3.258614e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.433661, 5.257635e-04 
3.518581e-01, 9.775995e-02, 1.131383e-04, 2.163624e-04, 0, 9.735084e-02, 7.902186e-05, 5.831871e-07, 0.407573, 2.723931e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.417875, 2.971818e-04 
4.503461e-01, 9.848806e-02, 1.580437e-04, 2.081978e-04, 0, 9.809324e-02, 2.740979e-05, 1.166374e-06, 0.413979, 5.602593e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.405950, 6.694779e-04 
6.211366e-01, 1.707904e-01, 1.011830e-04, 2.044071e-04, 0, 1.704545e-01, 2.974254e-05, 5.831871e-07, 0.410873, 7.035987e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.437058, 9.771408e-04 
7.443340e-01, 1.231974e-01, 3.090892e-05, 3.102555e-04, 0, 1.228218e-01, 3.382485e-05, 5.831871e-07, 0.352659, 2.780485e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.341499, 3.125252e-04 
8.440458e-01, 9.971188e-02, 1.953677e-05, 2.105306e-04, 0, 9.945673e-02, 2.449386e-05, 5.831871e-07, 0.308113, 3.141533e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.270876, 1.922995e-04 
9.434746e-01, 9.942874e-02, 3.295007e-05, 2.773055e-04, 0, 9.908845e-02, 2.857617e-05, 1.457968e-06, 0.283368, 3.264555e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.328112, 4.690344e-04 
1.041689e+00, 9.821484e-02, 3.090892e-05, 2.385235e-04, 0, 9.791828e-02, 2.624342e-05, 8.747807e-07, 0.267169, 1.766188e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.231323, 4.509127e-04 
1.227300e+00, 1.856104e-01, 3.149210e-05, 2.983002e-04, 0, 1.852520e-01, 2.740979e-05, 1.166374e-06, 0.254063, 2.930723e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.284660, 4.296802e-04 
0.510929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
