TRM WS=1, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.708184e-02, 1.708184e-02, 1.866199e-05, 1.883694e-04, 1.816628e-04, 1.648087e-02, 1.603765e-04, 5.190365e-05, 0.736046, 1.056815e-03, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.738593, 1.107033e-03 
3.344549e-02, 1.636365e-02, 1.755393e-04, 3.318335e-04, 2.111137e-04, 1.548712e-02, 9.972500e-05, 5.831871e-05, 0.532783, 7.935379e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.579338, 1.106425e-03 
4.884396e-02, 1.539847e-02, 6.298421e-05, 2.423142e-04, 5.919349e-05, 1.498149e-02, 4.228107e-05, 1.020577e-05, 0.487666, 7.505932e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.518751, 8.529496e-04 
6.439960e-02, 1.555564e-02, 5.248684e-05, 2.898440e-04, 6.677493e-05, 1.506722e-02, 6.035987e-05, 1.895358e-05, 0.439623, 6.104295e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.432417, 6.993867e-04 
7.967707e-02, 1.527746e-02, 1.233441e-04, 2.770139e-04, 6.735811e-05, 1.474559e-02, 6.327580e-05, 8.747807e-07, 0.349563, 2.486763e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.369374, 3.454715e-04 
1.056178e-01, 2.594075e-02, 1.338414e-04, 2.070314e-04, 5.861031e-05, 2.544795e-02, 7.377317e-05, 1.953677e-05, 0.342099, 4.176385e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.319219, 2.908224e-04 
1.210242e-01, 1.540635e-02, 2.011996e-04, 2.239439e-04, 1.064317e-04, 1.482549e-02, 4.869612e-05, 5.831871e-07, 0.341113, 4.503755e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.324296, 5.836935e-04 
1.371496e-01, 1.612542e-02, 1.676663e-04, 2.067398e-04, 1.005998e-04, 1.559472e-02, 5.511118e-05, 5.831871e-07, 0.296034, 2.450882e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.294337, 3.846572e-04 
1.529295e-01, 1.577988e-02, 1.650420e-04, 2.347328e-04, 8.951922e-05, 1.523985e-02, 4.986250e-05, 8.747807e-07, 0.283337, 2.797337e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.296119, 3.056074e-04 
1.682364e-01, 1.530691e-02, 8.689488e-05, 1.985752e-04, 1.122635e-04, 1.488439e-02, 2.420227e-05, 5.831871e-07, 0.326077, 6.425540e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.354069, 8.929329e-04 
0.519126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
