TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=40,b_m=100, lr=10.000000, lambda=1.000000e-10, n=1120, n0=100, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=60000 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.212737e-03, 1.212737e-03, 2.854698e-04, 5.024153e-04, 0, 8.222931e-05, 2.309419e-04, 1.116802e-04, 0, 1.319555e+00, 1.012330e-05, 0.000000e+00, 0.000000, 1.000000e+01, 0, 1.330971, 1.255661e-05, 0.090350, 0.000000 
2.637753e-03, 1.425016e-03, 3.364987e-04, 5.537357e-04, 0, 9.739216e-05, 3.099637e-04, 1.274263e-04, 0, 8.777619e-01, 8.101757e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.001321, 7.526050e-08, 0.000000, 0.000000 
3.837076e-03, 1.199323e-03, 2.930513e-04, 4.741307e-04, 0, 8.047975e-05, 2.186950e-04, 1.329665e-04, 0, 8.791220e-01, 7.811977e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.968669, 9.742529e-07, 0.000000, 0.000000 
5.013655e-03, 1.176579e-03, 2.939261e-04, 4.773382e-04, 0, 8.485365e-05, 2.221941e-04, 9.826694e-05, 0, 8.496142e-01, 1.402898e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.002683, 1.299059e-07, 0.000000, 0.000000 
7.896638e-03, 2.882983e-03, 8.569927e-04, 1.028450e-03, 0, 2.364822e-04, 5.379897e-04, 2.230689e-04, 0, 8.540773e-01, 1.326460e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.929965, 1.825281e-06, 0.000000, 0.000000 
8.214475e-03, 3.178367e-04, 2.449384e-05, 2.125715e-04, 0, 1.108055e-05, 6.094300e-05, 8.747799e-06, 0, 7.565379e-01, 2.555182e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.811039, 3.393227e-06, 0.000000, 0.000000 
8.599378e-03, 3.849032e-04, 5.073724e-05, 2.361906e-04, 0, 1.341329e-05, 6.240097e-05, 2.216109e-05, 0, 5.058868e-01, 1.495056e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.550429, 2.461197e-06, 0.000000, 0.000000 
9.073509e-03, 4.741307e-04, 9.039393e-06, 2.694322e-04, 0, 2.886774e-05, 1.647502e-04, 2.041153e-06, 0, 4.598477e-01, 4.142771e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.478544, 1.704864e-06, 0.000000, 0.000000 
9.390179e-03, 3.166703e-04, 9.330986e-06, 2.219025e-04, 0, 2.128631e-05, 4.782130e-05, 1.632923e-05, 0, 4.610260e-01, 4.513326e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.486529, 1.249827e-06, 0.000000, 0.000000 
9.698102e-03, 3.079225e-04, 4.927927e-05, 2.108220e-04, 0, 1.720401e-05, 2.974252e-05, 8.747799e-07, 0, 4.562468e-01, 2.423304e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.411096, 2.561016e-06, 0.000000, 0.000000 
1.014453e-02, 4.464294e-04, 6.735805e-05, 2.810959e-04, 0, 2.070312e-05, 5.686069e-05, 2.041153e-05, 0, 5.052683e-01, 1.579771e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.513649, 2.469563e-06, 0.102183, 0.000000 
1.042971e-02, 2.851783e-04, 5.248680e-06, 2.079060e-04, 0, 4.373900e-06, 6.706646e-05, 5.831866e-07, 0, 4.647194e-01, 3.755117e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.390829, 2.563714e-06, 0.000000, 0.000000 
1.073267e-02, 3.029654e-04, 8.164613e-06, 2.376485e-04, 0, 4.373900e-06, 5.161202e-05, 1.166373e-06, 0, 5.665562e-01, 2.208831e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.616016, 2.974452e-06, 0.000000, 0.000000 
1.108842e-02, 3.557438e-04, 5.423636e-05, 2.318167e-04, 0, 1.982834e-05, 4.898768e-05, 8.747799e-07, 0, 4.591363e-01, 2.839605e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.373872, 2.443941e-06, 0.000000, 0.000000 
1.143600e-02, 3.475792e-04, 4.140625e-05, 1.939095e-04, 0, 2.186950e-05, 5.132042e-05, 3.907350e-05, 0, 5.363476e-01, 1.959496e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.592472, 2.650509e-06, 0.000000, 0.000000 
1.175617e-02, 3.201695e-04, 6.065141e-05, 1.918684e-04, 0, 5.248680e-06, 5.802707e-05, 4.373900e-06, 0, 4.584570e-01, 2.094636e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.460079, 1.296721e-06, 0.000000, 0.000000 
1.208742e-02, 3.312500e-04, 5.715229e-05, 2.035321e-04, 0, 2.011994e-05, 4.957086e-05, 8.747799e-07, 0, 4.601874e-01, 2.976132e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.360787, 2.519636e-06, 0.000000, 0.000000 
1.258546e-02, 4.980414e-04, 6.969080e-05, 3.840284e-04, 0, 4.373900e-06, 3.849032e-05, 1.457967e-06, 0, 5.568848e-01, 2.120119e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.614541, 3.040304e-06, 0.000000, 0.000000 
1.291992e-02, 3.344575e-04, 6.385893e-05, 2.143211e-04, 0, 2.478543e-05, 3.061730e-05, 8.747799e-07, 0, 4.608079e-01, 2.469101e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.490369, 7.803930e-07, 0.000000, 0.000000 
1.323455e-02, 3.146292e-04, 1.195533e-05, 2.198614e-04, 0, 3.790713e-06, 7.814701e-05, 8.747799e-07, 0, 4.582096e-01, 2.116522e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.465758, 1.111972e-06, 0.000000, 0.000000 
1.359525e-02, 3.607009e-04, 8.164613e-06, 2.525198e-04, 0, 4.373900e-06, 9.476782e-05, 8.747799e-07, 0, 4.572380e-01, 1.747674e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.406562, 2.050107e-06, 0.098717, 0.000000 
1.395799e-02, 3.627421e-04, 6.473371e-05, 2.624340e-04, 0, 4.373900e-06, 3.032570e-05, 8.747799e-07, 0, 4.897339e-01, 1.134025e-06, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.542059, 2.217033e-06, 0.000000, 0.000000 
1.441871e-02, 4.607174e-04, 8.835277e-05, 2.493123e-04, 0, 4.869608e-05, 3.790713e-05, 3.644916e-05, 0, 4.581494e-01, 1.868538e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.437114, 1.898082e-06, 0.000000, 0.000000 
1.469105e-02, 2.723481e-04, 7.289833e-06, 2.230689e-04, 0, 4.957086e-06, 3.557438e-05, 1.457967e-06, 0, 4.686384e-01, 5.152375e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.507165, 1.235567e-06, 0.000000, 0.000000 
1.495786e-02, 2.668079e-04, 6.181778e-05, 1.714569e-04, 0, 3.207526e-06, 2.945092e-05, 8.747799e-07, 0, 4.603043e-01, 2.269193e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.488495, 8.012942e-07, 0.000000, 0.000000 
1.529844e-02, 3.405810e-04, 9.039393e-06, 2.670995e-04, 0, 4.082306e-06, 2.974252e-05, 3.061730e-05, 0, 4.594226e-01, 2.452272e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.473766, 1.490098e-06, 0.000000, 0.000000 
1.563436e-02, 3.359155e-04, 6.794124e-05, 2.353158e-04, 0, 4.373900e-06, 2.711818e-05, 1.166373e-06, 0, 4.622143e-01, 2.995510e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.449849, 1.370882e-06, 0.000000, 0.000000 
1.590321e-02, 2.688490e-04, 6.123459e-06, 1.740812e-04, 0, 4.082306e-06, 8.397887e-05, 5.831866e-07, 0, 4.617334e-01, 2.641973e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.458777, 1.149259e-06, 0.000000, 0.000000 
1.614202e-02, 2.388149e-04, 5.831866e-06, 1.621259e-04, 0, 3.207526e-06, 6.677487e-05, 8.747799e-07, 0, 4.598017e-01, 2.266787e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.479150, 9.218632e-07, 0.000000, 0.000000 
1.635693e-02, 2.149043e-04, 6.998239e-06, 1.769971e-04, 0, 3.499120e-06, 2.624340e-05, 1.166373e-06, 0, 4.576462e-01, 1.944578e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.466417, 1.265782e-06, 0.000000, 0.000000 
1.682697e-02, 4.700484e-04, 1.011829e-04, 2.280260e-04, 0, 4.636334e-05, 9.330986e-05, 1.166373e-06, 0, 4.574925e-01, 1.757520e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.424546, 1.909316e-06, 0.090350, 0.000000 
1.708504e-02, 2.580601e-04, 6.123459e-06, 2.049901e-04, 0, 4.373900e-06, 4.111466e-05, 1.457967e-06, 0, 4.724264e-01, 6.388683e-07, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.510129, 1.250645e-06, 0.000000, 0.000000 
