TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.042911e-01, 1.042911e-01, 1.399649e-05, 2.160708e-04, 0, 1.039222e-01, 1.379238e-04, 8.747807e-07, 0.736046, 1.056815e-03, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.751299, 1.578335e-03 
2.005610e-01, 9.626991e-02, 1.020577e-05, 2.475629e-04, 0, 9.581502e-02, 1.962425e-04, 8.747807e-07, 0.636718, 8.163286e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.727903, 1.427819e-03 
2.976301e-01, 9.706916e-02, 1.691243e-05, 2.685577e-04, 0, 9.669942e-02, 8.281257e-05, 1.457968e-06, 0.560840, 5.062590e-04, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.765538, 1.187730e-03 
3.914165e-01, 9.378640e-02, 1.137215e-05, 1.449220e-04, 0, 9.360095e-02, 2.828458e-05, 8.747807e-07, 0.663124, 7.243979e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.783694, 1.186131e-03 
4.884618e-01, 9.704525e-02, 1.545446e-05, 2.417311e-04, 0, 9.676299e-02, 2.420227e-05, 8.747807e-07, 0.598949, 7.569370e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.727698, 1.232465e-03 
5.851828e-01, 9.672100e-02, 1.399649e-05, 2.356076e-04, 0, 9.643582e-02, 3.382485e-05, 1.749561e-06, 0.573252, 7.680512e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.702853, 1.344413e-03 
6.812952e-01, 9.611245e-02, 1.749561e-05, 2.070314e-04, 0, 9.584972e-02, 3.732398e-05, 8.747807e-07, 0.548705, 5.065761e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.803805, 1.022451e-03 
7.777576e-01, 9.646236e-02, 1.283012e-05, 1.431724e-04, 0, 9.627486e-02, 3.061732e-05, 8.747807e-07, 0.500241, 6.919804e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.593269, 1.094795e-03 
8.743004e-01, 9.654284e-02, 1.837039e-05, 2.195700e-04, 0, 9.627982e-02, 2.449386e-05, 5.831871e-07, 0.753782, 7.306336e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.645476, 1.200600e-03 
9.737589e-01, 9.945848e-02, 1.662083e-05, 2.402731e-04, 0, 9.917418e-02, 2.653501e-05, 8.747807e-07, 0.612977, 7.984328e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.690524, 1.186277e-03 
0.306011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
