TRM WS=1, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=10, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.287708e-02, 4.287708e-02, 1.428808e-05, 1.737898e-04, 9.608008e-04, 4.155092e-02, 1.300507e-04, 4.723816e-05, 0.736046, 1.056815e-03, 0.000000e+00, 0.000000, 1.699830e+00, 0, 0.816868, 1.653549e-03 
5.791894e-02, 1.504185e-02, 1.667915e-04, 4.187284e-04, 1.248020e-04, 1.417640e-02, 9.739225e-05, 5.773553e-05, 0.628907, 9.747367e-04, 0.000000e+00, 0.000000, 1.699660e+00, 0, 0.719063, 1.754936e-03 
7.193117e-02, 1.401224e-02, 5.044569e-05, 2.883860e-04, 1.040989e-04, 1.351886e-02, 4.053151e-05, 9.914181e-06, 0.653034, 1.014937e-03, 0.000000e+00, 0.000000, 1.699490e+00, 0, 0.344427, 1.241725e-03 
9.072846e-02, 1.879729e-02, 5.948509e-05, 3.682827e-04, 9.855862e-05, 1.819748e-02, 5.773553e-05, 1.574605e-05, 0.604683, 7.822769e-04, 0.000000e+00, 0.000000, 1.699320e+00, 0, 0.092085, 4.875309e-04 
1.056251e-01, 1.489664e-02, 6.764971e-05, 3.248352e-04, 1.285928e-04, 1.431812e-02, 5.656915e-05, 8.747807e-07, 0.684185, 5.729948e-04, 0.000000e+00, 0.000000, 1.699150e+00, 0, 0.028538, 1.788498e-04 
1.193414e-01, 1.371627e-02, 3.353326e-05, 1.105140e-04, 5.540278e-05, 1.343022e-02, 6.881608e-05, 1.778721e-05, 0.716355, 5.031458e-04, 0.000000e+00, 0.000000, 1.698981e+00, 0, 0.852490, 7.691145e-04 
1.333551e-01, 1.401369e-02, 1.265516e-04, 1.545446e-04, 1.008914e-04, 1.358155e-02, 4.927931e-05, 8.747807e-07, 0.483323, 6.162292e-04, 0.000000e+00, 0.000000, 1.698811e+00, 0, 0.618628, 1.125710e-03 
1.471506e-01, 1.379558e-02, 1.029325e-04, 1.198450e-04, 8.485373e-05, 1.343226e-02, 5.481959e-05, 8.747807e-07, 0.438875, 1.818275e-04, 0.000000e+00, 0.000000, 1.698641e+00, 0, 0.466638, 6.430866e-04 
1.606444e-01, 1.349378e-02, 7.873026e-06, 1.562941e-04, 9.972500e-05, 1.317915e-02, 4.986250e-05, 8.747807e-07, 0.402668, 1.654568e-04, 0.000000e+00, 0.000000, 1.698471e+00, 0, 0.267541, 1.215780e-03 
1.742394e-01, 1.359497e-02, 8.164620e-06, 1.513371e-04, 1.271348e-04, 1.328354e-02, 2.420227e-05, 5.831871e-07, 0.504888, 7.671857e-04, 0.000000e+00, 0.000000, 1.698302e+00, 0, 0.052162, 3.638779e-04 
0.306011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
