TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=97,b_m=183, lr=1.700000, decay=0.000100, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.178358e-01, 2.178358e-01, 0, 1.207781e-03, 1.784553e-04, 7.404085e-02, 1.396264e-01, 2.782386e-03, 0.736046, 1.056815e-03, 9.515036e-01, -0.119833, 2.000000e+00, 1, 0.736046, 1.056815e-03 
1.240037e+00, 1.022202e+00, 0, 1.316545e-03, 7.056564e-05, 4.417234e-02, 9.737327e-01, 2.909521e-03, 0.622024, 9.779420e-04, 4.926551e-01, -0.388206, 2.000000e+00, 1, 0.622024, 9.779420e-04 
2.565261e+00, 1.325223e+00, 0, 1.214196e-03, 1.390901e-04, 8.113941e-02, 1.242521e+00, 2.099474e-04, 0.430772, 3.555338e-04, 6.149043e-01, -0.100031, 2.000000e+00, 1, 0.430772, 3.555338e-04 
2.895285e+00, 3.300241e-01, 0, 1.122635e-03, 1.110971e-04, 4.188975e-02, 2.867960e-01, 1.046821e-04, 0.369263, 2.028923e-04, 5.778902e-01, -0.073322, 2.000000e+00, 1, 0.369263, 2.028923e-04 
3.621114e+00, 7.258294e-01, 0, 1.150045e-03, 3.324167e-05, 4.403150e-02, 6.805149e-01, 9.972500e-05, 0.326891, 2.019525e-04, 3.061634e-01, -0.099682, 2.000000e+00, 1, 0.326891, 2.019525e-04 
5.440158e+00, 1.819043e+00, 0, 1.300216e-03, 2.974254e-05, 4.422745e-02, 1.773448e+00, 3.819876e-05, 0.296372, 3.179758e-04, 3.875508e-01, -0.072225, 2.000000e+00, 1, 0.296372, 3.179758e-04 
5.841470e+00, 4.013129e-01, 0, 1.141589e-03, 2.391067e-05, 4.456541e-02, 3.555473e-01, 3.469963e-05, 0.268381, 1.502090e-04, 5.884884e-01, -0.055029, 2.000000e+00, 1, 0.268381, 1.502090e-04 
6.243936e+00, 4.024656e-01, 0, 1.214487e-03, 3.090892e-05, 6.402053e-02, 3.371653e-01, 3.440804e-05, 0.235997, 1.163732e-04, 7.205847e-01, -0.030040, 2.000000e+00, 1, 0.235997, 1.163732e-04 
6.709548e+00, 4.656119e-01, 0, 1.181829e-03, 2.857617e-05, 4.540782e-02, 4.189558e-01, 3.790716e-05, 0.214351, 1.291647e-04, 6.471258e-01, -0.032960, 2.000000e+00, 1, 0.214351, 1.291647e-04 
7.138456e+00, 4.289076e-01, 0, 1.160542e-03, 2.566023e-05, 6.496034e-02, 3.627269e-01, 3.411645e-05, 0.193021, 1.072824e-04, 8.577446e-01, -0.024361, 4.000000e+00, 1, 0.193021, 1.072824e-04 
0.806011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
