TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=1000, lr=1.000000, lambda=0.000000e+00, n=145, n0=8, n1=10, n2=5, sub_tol=0.001000, sub_maxit=20, tol=1.000000e-08, m=10368 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
6.545433e-01, 6.545433e-01, 0, 1.431373e-02, 0, 5.793708e-01, 5.586403e-02, 4.994702e-03, 5.812685e-01, 3.175270e-05, 8.026959e-01, -0.251428, 2.000000e+00, 1, 0.581268, 3.175270e-05, 0.313272, 0.307870 
2.093925e+00, 1.439381e+00, 0, 1.234956e-02, 0, 1.324649e+00, 9.945694e-02, 2.925264e-03, 3.794483e-01, 1.058808e-05, 1.187699e+00, -0.024989, 2.000000e+00, 0, 0.379448, 1.058808e-05, 0.000000, 0.000000 
3.568702e+00, 1.474777e+00, 0, 1.154272e-02, 0, 1.349469e+00, 1.135677e-01, 1.979919e-04, 3.497691e-01, 2.891824e-06, 1.240662e+00, -0.004960, 2.000000e+00, 0, 0.349769, 2.891824e-06, 0.000000, 0.000000 
4.770400e+00, 1.201698e+00, 0, 1.101902e-02, 0, 1.084575e+00, 1.058245e-01, 2.790548e-04, 3.436157e-01, 1.027942e-06, 1.296933e+00, -0.002188, 2.000000e+00, 0, 0.343616, 1.027942e-06, 0.000000, 0.000000 
5.735858e+00, 9.654581e-01, 0, 1.217285e-02, 0, 8.929864e-01, 5.815158e-02, 2.147293e-03, 3.407778e-01, 5.801460e-07, 3.485777e-02, -0.033751, 1.000000e+00, 1, 0.340778, 5.801460e-07, 0.000000, 0.000000 
6.699315e+00, 9.634569e-01, 0, 1.201335e-02, 0, 8.935848e-01, 5.767803e-02, 1.807879e-04, 3.407778e-01, 5.801460e-07, 5.636976e-01, -0.009533, 1.000000e+00, 1, 0.340778, 5.801460e-07, 0.000000, 0.000000 
7.403441e+00, 7.041261e-01, 0, 1.252947e-02, 0, 6.001824e-01, 9.020672e-02, 1.207488e-03, 3.354042e-01, 2.425589e-06, 6.597946e-01, -0.017880, 1.000000e+00, 1, 0.335404, 2.425589e-06, 0.000000, 0.000000 
8.125930e+00, 7.224889e-01, 0, 1.312141e-02, 0, 6.044228e-01, 1.047383e-01, 2.064481e-04, 3.236070e-01, 2.419592e-06, 4.545538e-01, -0.017734, 1.000000e+00, 1, 0.323607, 2.419592e-06, 0.000000, 0.000000 
8.845214e+00, 7.192840e-01, 0, 1.162903e-02, 0, 6.019005e-01, 1.054066e-01, 3.478708e-04, 3.155458e-01, 3.350571e-06, 2.853855e-01, -0.015957, 1.000000e+00, 1, 0.315546, 3.350571e-06, 0.000000, 0.000000 
