TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.100000, decay=0.000000, lambda=0.000100, n=370, n0=25, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=100 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.153398e-01, 1.153398e-01, 1.522118e-04, 4.712735e-03, 0, 1.097619e-01, 5.872694e-04, 1.256768e-04, 1.442107, 8.022405e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 1.442107, 8.022405e-03 
1.961034e-01, 8.076354e-02, 1.787469e-04, 4.782134e-04, 0, 7.969427e-02, 2.743895e-04, 1.379238e-04, 1.034632, 6.612627e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 1.034632, 6.612627e-03 
2.738317e-01, 7.772835e-02, 1.326751e-04, 4.041487e-04, 0, 7.678008e-02, 2.726400e-04, 1.387985e-04, 0.969493, 6.414533e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.969493, 6.414533e-03 
3.525847e-01, 7.875301e-02, 1.387985e-04, 3.921933e-04, 0, 7.781058e-02, 2.665165e-04, 1.449220e-04, 0.972291, 6.462621e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.972291, 6.462621e-03 
4.352632e-01, 8.267844e-02, 4.423474e-04, 8.205443e-04, 0, 8.055826e-02, 5.945593e-04, 2.627258e-04, 1.015585, 6.619506e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 1.015585, 6.619506e-03 
5.146023e-01, 7.933911e-02, 2.216111e-05, 1.478379e-04, 0, 7.911371e-02, 4.811294e-05, 7.289839e-06, 0.891576, 6.493272e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.891576, 6.493272e-03 
5.922166e-01, 7.761433e-02, 2.303589e-05, 1.595017e-04, 0, 7.735481e-02, 6.415058e-05, 1.283012e-05, 0.830616, 5.939890e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.830616, 5.939890e-03 
6.687579e-01, 7.654127e-02, 3.149210e-05, 1.793300e-04, 0, 7.624443e-02, 7.289839e-05, 1.312171e-05, 0.806295, 6.210956e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.806295, 6.210956e-03 
7.451866e-01, 7.642871e-02, 4.111469e-05, 1.793300e-04, 0, 7.614062e-02, 6.677493e-05, 8.747807e-07, 0.808802, 5.897982e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.808802, 5.897982e-03 
8.244534e-01, 7.926679e-02, 4.461381e-05, 1.571689e-04, 0, 7.898336e-02, 7.085724e-05, 1.078896e-05, 0.836048, 6.004794e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.836048, 6.004794e-03 
9.021712e-01, 7.771785e-02, 3.703238e-05, 1.810796e-04, 0, 7.744696e-02, 5.161206e-05, 1.166374e-06, 0.703722, 5.804565e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.703722, 5.804565e-03 
9.807041e-01, 7.853285e-02, 4.228107e-05, 2.020743e-04, 0, 7.823776e-02, 4.957091e-05, 1.166374e-06, 0.768028, 5.681273e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.768028, 5.681273e-03 
1.059799e+00, 7.909446e-02, 4.519700e-05, 1.758309e-04, 0, 7.882503e-02, 4.782134e-05, 5.831871e-07, 0.631131, 5.493686e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.631131, 5.493686e-03 
1.138382e+00, 7.858388e-02, 3.994832e-05, 1.586269e-04, 0, 7.833078e-02, 2.682661e-05, 2.770139e-05, 0.576629, 5.279636e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.576629, 5.279636e-03 
1.217968e+00, 7.958521e-02, 4.548860e-05, 1.787469e-04, 0, 7.933357e-02, 2.653501e-05, 8.747807e-07, 0.677980, 5.107678e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.677980, 5.107678e-03 
1.297045e+00, 7.907755e-02, 2.478545e-05, 1.807880e-04, 0, 7.880491e-02, 6.648333e-05, 5.831871e-07, 0.604772, 5.113459e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.604772, 5.113459e-03 
1.374394e+00, 7.734869e-02, 2.682661e-05, 1.376322e-04, 0, 7.712241e-02, 6.094305e-05, 8.747807e-07, 0.692498, 5.095968e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.692498, 5.095968e-03 
1.453911e+00, 7.951669e-02, 4.840453e-05, 1.571689e-04, 0, 7.928691e-02, 2.361908e-05, 5.831871e-07, 0.574661, 4.777559e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.574661, 4.777559e-03 
1.532619e+00, 7.870810e-02, 4.636338e-05, 1.475463e-04, 0, 7.848911e-02, 2.449386e-05, 5.831871e-07, 0.681563, 4.743224e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.681563, 4.743224e-03 
1.609672e+00, 7.705360e-02, 2.828458e-05, 1.320919e-04, 0, 7.682382e-02, 2.682661e-05, 4.257266e-05, 0.565580, 4.522764e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.565580, 4.522764e-03 
1.688002e+00, 7.832990e-02, 3.528282e-05, 1.259684e-04, 0, 7.811558e-02, 2.915936e-05, 2.391067e-05, 0.630554, 4.548898e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.630554, 4.548898e-03 
1.766075e+00, 7.807301e-02, 3.090892e-05, 1.670831e-04, 0, 7.780678e-02, 6.735811e-05, 8.747807e-07, 0.619165, 4.422563e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.619165, 4.422563e-03 
1.843971e+00, 7.789543e-02, 1.137215e-05, 1.845787e-04, 0, 7.755893e-02, 1.128467e-04, 2.770139e-05, 0.500084, 4.400002e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.500084, 4.400002e-03 
1.921211e+00, 7.724080e-02, 8.747807e-06, 1.326751e-04, 0, 7.704922e-02, 4.898772e-05, 1.166374e-06, 0.463549, 4.278085e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.463549, 4.278085e-03 
2.000860e+00, 7.964878e-02, 3.586601e-05, 1.172206e-04, 0, 7.943038e-02, 6.385899e-05, 1.457968e-06, 0.556594, 4.365947e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.556594, 4.365947e-03 
2.082885e+00, 8.202527e-02, 4.403063e-05, 1.320919e-04, 0, 8.178966e-02, 5.861031e-05, 8.747807e-07, 0.631601, 4.090872e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.631601, 4.090872e-03 
2.156239e+00, 7.335386e-02, 9.622588e-06, 1.361742e-04, 0, 7.317890e-02, 2.828458e-05, 8.747807e-07, 0.504431, 4.172794e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.504431, 4.172794e-03 
2.231258e+00, 7.501915e-02, 9.330994e-06, 1.338414e-04, 0, 7.485119e-02, 2.391067e-05, 8.747807e-07, 0.584868, 3.853331e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.584868, 3.853331e-03 
2.308654e+00, 7.739564e-02, 1.049737e-05, 1.376322e-04, 0, 7.722068e-02, 2.595183e-05, 8.747807e-07, 0.504989, 3.937952e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.504989, 3.937952e-03 
2.386366e+00, 7.771231e-02, 9.622588e-06, 1.280096e-04, 0, 7.754581e-02, 2.799298e-05, 8.747807e-07, 0.569669, 3.776717e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.569669, 3.776717e-03 
2.463917e+00, 7.755018e-02, 1.545446e-05, 1.510455e-04, 0, 7.733703e-02, 4.607178e-05, 5.831871e-07, 0.481797, 3.861856e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.481797, 3.861856e-03 
2.541828e+00, 7.791176e-02, 1.137215e-05, 1.288844e-04, 0, 7.774380e-02, 2.682661e-05, 8.747807e-07, 0.510545, 3.781946e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.510545, 3.781946e-03 
2.621132e+00, 7.930383e-02, 1.020577e-05, 1.323835e-04, 0, 7.913441e-02, 2.595183e-05, 8.747807e-07, 0.534579, 3.466186e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.534579, 3.466186e-03 
2.697385e+00, 7.625259e-02, 9.622588e-06, 1.352994e-04, 0, 7.607618e-02, 3.032573e-05, 1.166374e-06, 0.449643, 3.751938e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.449643, 3.751938e-03 
2.773649e+00, 7.626425e-02, 9.622588e-06, 1.352994e-04, 0, 7.609542e-02, 2.332748e-05, 5.831871e-07, 0.531763, 3.569605e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.531763, 3.569605e-03 
2.851082e+00, 7.743296e-02, 1.020577e-05, 1.253852e-04, 0, 7.726967e-02, 2.682661e-05, 8.747807e-07, 0.556527, 3.400040e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.556527, 3.400040e-03 
2.927605e+00, 7.652319e-02, 9.039400e-06, 1.294675e-04, 0, 7.634415e-02, 3.965672e-05, 8.747807e-07, 0.472362, 3.528503e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.472362, 3.528503e-03 
3.005237e+00, 7.763183e-02, 9.622588e-06, 1.338414e-04, 0, 7.745833e-02, 2.915936e-05, 8.747807e-07, 0.496482, 3.500259e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.496482, 3.500259e-03 
3.082673e+00, 7.743646e-02, 1.108056e-05, 1.446304e-04, 0, 7.725072e-02, 2.945095e-05, 5.831871e-07, 0.430521, 3.572813e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.430521, 3.572813e-03 
3.159722e+00, 7.704893e-02, 1.078896e-05, 1.455052e-04, 0, 7.686465e-02, 2.740979e-05, 5.831871e-07, 0.506062, 3.426762e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.506062, 3.426762e-03 
3.237585e+00, 7.786306e-02, 1.370490e-05, 1.455052e-04, 0, 7.767848e-02, 2.478545e-05, 5.831871e-07, 0.505393, 3.187501e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.505393, 3.187501e-03 
3.314183e+00, 7.659784e-02, 1.078896e-05, 1.236357e-04, 0, 7.643834e-02, 2.420227e-05, 8.747807e-07, 0.454878, 3.397446e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.454878, 3.397446e-03 
3.391376e+00, 7.719269e-02, 8.456213e-06, 1.175122e-04, 0, 7.704106e-02, 2.478545e-05, 8.747807e-07, 0.418619, 3.525002e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.418619, 3.525002e-03 
3.468460e+00, 7.708363e-02, 9.914181e-06, 1.195534e-04, 0, 7.692676e-02, 2.624342e-05, 1.166374e-06, 0.429628, 3.545329e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.429628, 3.545329e-03 
3.546116e+00, 7.765661e-02, 9.622588e-06, 1.338414e-04, 0, 7.748107e-02, 3.120051e-05, 8.747807e-07, 0.490585, 3.282766e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.490585, 3.282766e-03 
3.623619e+00, 7.750236e-02, 1.166374e-05, 1.420061e-04, 0, 7.731924e-02, 2.857617e-05, 8.747807e-07, 0.512760, 2.975692e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.512760, 2.975692e-03 
