TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.700000, decay=0.000001, lambda=0.000100, n=370, n0=25, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=100 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
7.754610e-02, 7.754610e-02, 6.240102e-05, 1.799132e-04, 0, 7.711862e-02, 1.370490e-04, 4.811294e-05, 133.041579, 5.954307e-01, 0.000000e+00, 0.000000, 1.699998e+00, 0, 1.311120, 7.247130e-03 
1.580612e-01, 8.051511e-02, 1.953677e-05, 1.405481e-04, 0, 8.032674e-02, 2.682661e-05, 1.457968e-06, 95.153421, 4.461185e-01, 0.000000e+00, 0.000000, 1.699997e+00, 0, 0.975795, 6.200576e-03 
2.316588e-01, 7.359763e-02, 1.574605e-05, 2.539780e-04, 0, 7.329379e-02, 3.353326e-05, 5.831871e-07, 72.804606, 2.857020e-01, 0.000000e+00, 0.000000, 1.699995e+00, 0, 0.786910, 4.828783e-03 
3.079071e-01, 7.624822e-02, 1.487127e-05, 2.426058e-04, 0, 7.596683e-02, 2.303589e-05, 8.747807e-07, 70.206819, 2.486466e-01, 0.000000e+00, 0.000000, 1.699993e+00, 0, 0.791625, 4.224085e-03 
3.865592e-01, 7.865211e-02, 1.370490e-05, 1.437556e-04, 0, 7.846608e-02, 2.740979e-05, 1.166374e-06, 67.861731, 2.701477e-01, 0.000000e+00, 0.000000, 1.699992e+00, 0, 0.741446, 4.325290e-03 
5.138643e-01, 1.273051e-01, 9.914181e-06, 1.113887e-04, 0, 1.271558e-01, 2.682661e-05, 1.166374e-06, 67.556124, 2.501345e-01, 0.000000e+00, 0.000000, 1.699990e+00, 0, 0.111486, 1.719344e-03 
5.913902e-01, 7.752598e-02, 1.108056e-05, 1.134299e-04, 0, 7.737552e-02, 2.507705e-05, 8.747807e-07, 73.009319, 1.819650e-01, 0.000000e+00, 0.000000, 1.699988e+00, 0, 0.846054, 2.783039e-03 
7.239460e-01, 1.325558e-01, 1.078896e-05, 1.186786e-04, 0, 1.323978e-01, 2.770139e-05, 8.747807e-07, 53.640174, 2.390784e-01, 0.000000e+00, 0.000000, 1.699986e+00, 0, 0.188420, 3.106138e-03 
8.017913e-01, 7.784528e-02, 1.078896e-05, 1.478379e-04, 0, 7.765982e-02, 2.566023e-05, 1.166374e-06, 85.998676, 1.995362e-02, 0.000000e+00, 0.000000, 1.699985e+00, 0, 0.961376, 1.386676e-03 
8.797649e-01, 7.797358e-02, 1.574605e-05, 2.461050e-04, 0, 7.768723e-02, 2.332748e-05, 1.166374e-06, 110.493968, 2.777364e-01, 0.000000e+00, 0.000000, 1.699983e+00, 0, 0.356688, 3.145585e-03 
0.110000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
