TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=50,b_m=50, lr=1.000000, decay=0.001000, lambda=0.000100, n=1120, n0=100, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=10 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.071372e+00, 1.071372e+00, 0, 1.374543e-02, 0, 8.167299e-01, 2.354140e-01, 5.482251e-03, 14.206110, 6.397610e-01, 9.071234e-01, -6.097475, 2.000000e+00, 1, 14.206110, 6.397610e-01 
2.863047e+00, 1.791675e+00, 0, 9.660495e-04, 0, 1.272597e+00, 5.157380e-01, 2.374155e-03, 8.674948, 4.636639e-01, 6.352562e-01, -6.615566, 2.000000e+00, 1, 8.674948, 4.636639e-01 
5.178317e+00, 2.315270e+00, 0, 5.041653e-04, 0, 2.239939e+00, 7.472756e-02, 9.972500e-05, 4.472368, 8.415380e-02, 6.933132e-01, -1.428421, 2.000000e+00, 1, 4.472368, 8.415380e-02 
6.359824e+00, 1.181507e+00, 0, 5.336162e-04, 0, 1.104020e+00, 7.686202e-02, 9.126878e-05, 3.482025, 6.353351e-02, 3.435323e-01, -1.161049, 2.000000e+00, 1, 3.482025, 6.353351e-02 
7.433153e+00, 1.073328e+00, 0, 3.954009e-04, 0, 8.816722e-01, 1.911565e-01, 1.043905e-04, 3.083167, 6.264569e-02, 4.202569e-01, -0.709010, 2.000000e+00, 1, 3.083167, 6.264569e-02 
8.454924e+00, 1.021772e+00, 0, 4.131881e-04, 0, 8.692626e-01, 1.520197e-01, 7.639751e-05, 2.785200, 5.588504e-02, 1.520638e-01, -0.832246, 1.000000e+00, 1, 2.785200, 5.588504e-02 
9.354000e+00, 8.990760e-01, 0, 3.875278e-04, 0, 7.399761e-01, 1.585770e-01, 1.352994e-04, 2.785200, 5.588504e-02, 5.102862e-01, -0.421132, 1.000000e+00, 1, 2.785200, 5.588504e-02 
1.031663e+01, 9.626326e-01, 0, 4.149376e-04, 0, 8.789799e-01, 8.312137e-02, 1.163458e-04, 2.570303, 5.914162e-02, 5.381077e-01, -0.321203, 1.000000e+00, 1, 2.570303, 5.914162e-02 
1.136882e+01, 1.052189e+00, 0, 3.172538e-04, 0, 8.778859e-01, 1.738810e-01, 1.046821e-04, 2.397461, 2.558442e-02, 8.997759e-01, -0.183161, 2.000000e+00, 1, 2.397461, 2.558442e-02 
1.251157e+01, 1.142752e+00, 0, 3.149210e-04, 0, 8.530505e-01, 2.892856e-01, 1.005998e-04, 2.232656, 1.571420e-02, 6.288422e-01, -0.428790, 2.000000e+00, 1, 2.232656, 1.571420e-02 
1.352886e+01, 1.017288e+00, 0, 3.000498e-04, 0, 8.490234e-01, 1.678687e-01, 9.593428e-05, 1.963015, 3.532808e-02, 5.156633e-01, -0.449741, 2.000000e+00, 1, 1.963015, 3.532808e-02 
1.478382e+01, 1.254959e+00, 0, 3.277512e-04, 0, 8.469930e-01, 4.075644e-01, 7.348158e-05, 1.731101, 2.604039e-02, 5.734279e-01, -0.487693, 2.000000e+00, 1, 1.731101, 2.604039e-02 
1.607047e+01, 1.286648e+00, 0, 2.895524e-04, 0, 1.147402e+00, 1.388431e-01, 1.137215e-04, 1.451444, 5.454149e-02, 5.933131e-01, -0.672375, 2.000000e+00, 1, 1.451444, 5.454149e-02 
1.771526e+01, 1.644791e+00, 0, 2.746811e-04, 0, 1.395396e+00, 2.489772e-01, 1.422977e-04, 1.052515, 2.588763e-02, 8.048781e-01, -0.369325, 4.000000e+00, 1, 1.052515, 2.588763e-02 
1.881251e+01, 1.097256e+00, 0, 2.764307e-04, 0, 9.625121e-01, 1.344010e-01, 6.619174e-05, 0.755253, 1.424866e-02, 1.662695e-01, -0.913920, 2.000000e+00, 1, 0.755253, 1.424866e-02 
1.983433e+01, 1.021820e+00, 0, 3.181286e-04, 0, 8.847587e-01, 1.365711e-01, 1.717486e-04, 0.755253, 1.424866e-02, 8.074957e-01, -0.325647, 4.000000e+00, 1, 0.755253, 1.424866e-02 
2.126453e+01, 1.430198e+00, 0, 3.595349e-04, 0, 1.188070e+00, 2.416873e-01, 8.106301e-05, 0.492295, 2.413394e-02, -2.541413e-01, -1.709384, 2.000000e+00, 1, 0.492295, 2.413394e-02 
