TRM WS=1, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.076154e-02, 1.076154e-02, 9.710057e-05, 1.810794e-04, 1.153835e-03, 4.301584e-03, 1.227899e-03, 3.800044e-03, 1.300610e-01, 7.439318e-03, 8.610136e-01, -0.005875, 2.000000e+00, 1, 0.079826, 2.955362e-02 
1.577403e-02, 5.012489e-03, 9.797535e-05, 1.589184e-04, 1.347161e-04, 3.576100e-03, 7.633913e-04, 2.813875e-04, 1.319261e-01, 7.901119e-03, 6.724944e-01, -0.021931, 2.000000e+00, 1, 0.135039, 7.912542e-03 
1.939241e-02, 3.618381e-03, 3.411642e-05, 9.243508e-05, 3.090889e-05, 2.808627e-03, 5.656910e-04, 8.660321e-05, 1.284897e-01, 4.989893e-03, 7.753162e-01, -0.014208, 2.000000e+00, 1, 0.120291, 5.312348e-03 
2.347297e-02, 4.080557e-03, 3.557438e-05, 1.233440e-04, 4.490537e-05, 3.159413e-03, 6.234265e-04, 9.389304e-05, 1.279601e-01, 3.627212e-03, 6.753478e-01, -0.026074, 2.000000e+00, 1, 0.155181, 3.942100e-02 
2.752058e-02, 4.047607e-03, 4.578015e-05, 1.157625e-04, 5.015405e-05, 3.025281e-03, 7.184859e-04, 9.214348e-05, 1.255241e-01, 2.474500e-03, 6.923234e-01, -0.017434, 2.000000e+00, 1, 0.112375, 5.480213e-03 
3.151161e-02, 3.991038e-03, 4.752971e-05, 7.144036e-05, 4.198944e-05, 2.971627e-03, 7.074054e-04, 1.510453e-04, 1.252973e-01, 1.411526e-03, 1.180310e+00, -0.008071, 4.000000e+00, 1, 0.127067, 6.508398e-03 
3.564874e-02, 4.137126e-03, 7.960497e-05, 7.173195e-05, 7.027399e-05, 2.826414e-03, 8.602003e-04, 2.289007e-04, 1.337897e-01, 4.729704e-03, 3.901693e+00, -0.002905, 8.000000e+00, 1, 0.171604, 4.598843e-02 
3.945024e-02, 3.801502e-03, 6.560849e-05, 7.173195e-05, 6.035981e-05, 2.833704e-03, 6.368398e-04, 1.332581e-04, 1.378775e-01, 4.260851e-03, 8.633360e-01, -0.042616, 1.600000e+01, 1, 0.185525, 1.699959e-02 
4.310740e-02, 3.657163e-03, 5.802707e-05, 7.173195e-05, 3.440801e-05, 2.830205e-03, 5.782295e-04, 8.456206e-05, 1.395589e-01, 9.307151e-03, 8.029444e-02, -0.734276, 8.000000e+00, 1, 0.200425, 5.580680e-02 
4.706170e-02, 3.954297e-03, 4.315581e-05, 7.231514e-05, 5.132042e-05, 2.817375e-03, 8.960662e-04, 7.406470e-05, 1.395589e-01, 9.307151e-03, 5.577630e-01, -0.027582, 8.000000e+00, 0, 0.130385, 1.348942e-02 
5.092969e-02, 3.867985e-03, 8.164613e-06, 7.260673e-05, 5.073724e-05, 2.898729e-03, 7.027399e-04, 1.350077e-04, 1.526124e-01, 1.120880e-02, 1.487576e+00, -0.037869, 1.600000e+01, 1, 0.168568, 1.096769e-02 
5.464488e-02, 3.715190e-03, 8.164613e-06, 7.085717e-05, 3.965669e-05, 2.767804e-03, 7.380227e-04, 9.068552e-05, 1.358809e-01, 1.180167e-02, 1.875224e-01, -0.054081, 8.000000e+00, 1, 0.124944, 9.454092e-03 
5.835832e-02, 3.713441e-03, 8.456206e-06, 1.210112e-04, 6.210937e-05, 2.825539e-03, 5.770632e-04, 1.192617e-04, 1.358809e-01, 1.180167e-02, 1.586259e-01, -0.066711, 4.000000e+00, 1, 0.220896, 4.897489e-02 
6.216332e-02, 3.805001e-03, 8.164613e-06, 1.032240e-04, 3.965669e-05, 2.831371e-03, 7.158616e-04, 1.067232e-04, 1.358809e-01, 1.180167e-02, 3.877114e-01, -0.568000, 4.000000e+00, 1, 0.220896, 4.897489e-02 
6.581669e-02, 3.653373e-03, 7.873019e-06, 7.202355e-05, 2.595180e-05, 2.858489e-03, 5.735640e-04, 1.154709e-04, 2.312987e-01, 6.658517e-03, 3.602547e-01, -0.144771, 4.000000e+00, 1, 0.228111, 8.066927e-03 
6.955638e-02, 3.739684e-03, 3.936510e-05, 7.318992e-05, 4.607174e-05, 2.794630e-03, 7.190691e-04, 6.735805e-05, 1.102329e-01, 4.507203e-03, 5.296581e-01, -0.026484, 4.000000e+00, 1, 0.044509, 1.476636e-02 
7.363256e-02, 4.076183e-03, 3.994828e-05, 1.102223e-04, 6.560849e-05, 2.824956e-03, 8.849857e-04, 1.504621e-04, 1.091294e-01, 6.385979e-03, 1.137237e+00, -0.014585, 4.000000e+00, 0, 0.030481, 1.388868e-02 
7.794406e-02, 4.311499e-03, 3.907350e-05, 1.029324e-04, 6.415053e-05, 3.101970e-03, 8.832361e-04, 1.201364e-04, 1.123712e-01, 4.119616e-03, -1.915123e-01, 0.068129, 2.000000e+00, 1, 0.013895, 5.022760e-03 
8.198700e-02, 4.042941e-03, 4.607174e-05, 1.122634e-04, 4.752971e-05, 2.862863e-03, 7.800121e-04, 1.942011e-04, 1.123712e-01, 4.119616e-03, 1.340329e+00, -0.004828, 4.000000e+00, 1, 0.187771, 2.625235e-02 
8.591534e-02, 3.928345e-03, 3.965669e-05, 1.011829e-04, 6.677487e-05, 2.812709e-03, 7.461873e-04, 1.618343e-04, 1.274773e-01, 9.040739e-03, 1.035661e+00, -0.044726, 8.000000e+00, 1, 0.243050, 1.704462e-02 
8.989151e-02, 3.976166e-03, 4.286422e-05, 7.260673e-05, 6.502531e-05, 2.822915e-03, 8.453290e-04, 1.274263e-04, 1.172538e-01, 9.031139e-03, 1.217334e+00, -0.017514, 8.000000e+00, 0, 0.029538, 1.689759e-02 
9.390792e-02, 4.016406e-03, 9.768376e-05, 1.049736e-04, 6.881602e-05, 2.910393e-03, 7.353983e-04, 9.914172e-05, 1.339589e-01, 1.541881e-02, -4.457952e-02, -0.014437, 4.000000e+00, 1, 0.046695, 2.658219e-02 
9.789079e-02, 3.982873e-03, 7.843860e-05, 7.231514e-05, 7.260673e-05, 2.822623e-03, 8.841109e-04, 5.277839e-05, 1.339589e-01, 1.541881e-02, 7.947464e-01, -0.011394, 4.000000e+00, 0, 0.046695, 2.658219e-02 
1.017489e-01, 3.858071e-03, 5.073724e-05, 7.260673e-05, 7.464789e-05, 2.806294e-03, 6.779544e-04, 1.758308e-04, 1.137685e-01, 7.822302e-03, 2.317952e+00, -0.005827, 8.000000e+00, 1, 0.187486, 1.791269e-02 
