TRM WS=1, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=3,b_m=3, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.014239e-02, 5.014239e-02, 5.044564e-05, 8.485365e-05, 1.501706e-04, 4.613006e-03, 4.475899e-02, 4.849197e-04, 1.390250e-01, 1.091447e-02, 8.548744e-01, -0.003695, 2.000000e+00, 1, 0.108235, 1.791757e-03 
1.025907e-01, 5.244830e-02, 1.283011e-05, 7.960497e-05, 6.706646e-06, 4.859986e-03, 4.746731e-02, 2.186950e-05, 1.454068e-01, 1.237459e-02, 2.976540e-01, -0.015930, 2.000000e+00, 1, 0.105076, 2.669096e-03 
1.502956e-01, 4.770496e-02, 1.807879e-05, 1.055568e-04, 1.078895e-05, 5.384854e-03, 4.216264e-02, 2.303587e-05, 1.329582e-01, 8.210365e-03, 7.199924e-01, -0.062522, 2.000000e+00, 1, 0.144424, 2.372253e-02 
4.185070e-01, 2.682113e-01, 1.370489e-05, 7.902179e-05, 6.998239e-06, 5.345780e-03, 2.627355e-01, 3.032570e-05, 1.223545e-01, 2.710565e-03, 9.945943e-01, -0.009498, 4.000000e+00, 1, 0.099409, 1.435173e-02 
4.304384e-01, 1.193141e-02, 1.603763e-05, 9.593420e-05, 8.456206e-06, 6.056685e-03, 5.746138e-03, 8.164613e-06, 1.328686e-01, 1.007049e-02, 1.473685e-01, -0.002687, 2.000000e+00, 0, 0.089962, 5.460126e-03 
4.401770e-01, 9.738633e-03, 1.837038e-05, 8.164613e-05, 6.706646e-06, 4.745389e-03, 4.855612e-03, 3.090889e-05, 1.328686e-01, 1.007049e-02, 1.015383e+00, -0.026902, 4.000000e+00, 1, 0.165591, 1.852314e-02 
5.716398e-01, 1.314628e-01, 1.370489e-05, 9.418464e-05, 7.581426e-06, 5.244306e-03, 1.260739e-01, 2.915933e-05, 1.269925e-01, 2.505514e-03, 6.525538e-01, -0.065503, 4.000000e+00, 1, 0.102661, 1.559701e-02 
6.103896e-01, 3.874983e-02, 1.399648e-05, 8.631162e-05, 7.873019e-06, 5.651370e-03, 3.297920e-02, 1.108055e-05, 1.479939e-01, 7.928218e-03, 1.392435e-01, -0.499003, 2.000000e+00, 1, 0.176970, 2.176528e-02 
6.172179e-01, 6.828240e-03, 1.603763e-05, 8.951915e-05, 7.289833e-06, 4.584430e-03, 2.103846e-03, 2.711818e-05, 1.479939e-01, 7.928218e-03, 6.090830e-01, -0.059206, 2.000000e+00, 1, 0.162245, 8.837569e-03 
6.724512e-01, 5.523331e-02, 1.224692e-05, 9.389304e-05, 7.289833e-06, 5.397392e-03, 4.969712e-02, 2.536862e-05, 1.302366e-01, 8.765730e-03, 2.493641e-01, -0.075615, 2.000000e+00, 1, 0.126184, 2.829134e-02 
6.857537e-01, 1.330249e-02, 1.662082e-05, 1.192617e-04, 7.581426e-06, 5.109881e-03, 8.023773e-03, 2.536862e-05, 1.760054e-01, 2.049154e-02, 9.590355e-01, -0.026873, 4.000000e+00, 1, 0.139581, 7.295336e-03 
9.541548e-01, 2.684011e-01, 1.224692e-05, 8.456206e-05, 6.998239e-06, 5.131167e-03, 2.631600e-01, 6.123459e-06, 1.553201e-01, 2.077309e-02, 4.645784e+00, 0.012406, 2.000000e+00, 1, 0.199304, 3.336304e-02 
1.100131e+00, 1.459757e-01, 1.428807e-05, 7.931338e-05, 6.123459e-06, 4.591428e-03, 1.412565e-01, 2.799296e-05, 1.553201e-01, 2.077309e-02, 8.822477e-01, -0.036037, 4.000000e+00, 1, 0.113809, 9.208416e-03 
1.108458e+00, 8.327030e-03, 1.487126e-05, 8.747799e-05, 7.581426e-06, 4.629627e-03, 3.560063e-03, 2.740977e-05, 1.727689e-01, 1.236961e-02, 1.680960e+00, -0.003019, 4.000000e+00, 0, 0.167906, 6.788218e-03 
1.116441e+00, 7.983242e-03, 1.137214e-05, 8.835277e-05, 6.706646e-06, 4.300126e-03, 3.554522e-03, 2.216109e-05, 1.934004e-01, 1.440172e-02, 4.248761e-01, -0.119798, 4.000000e+00, 1, 0.162831, 3.102567e-03 
1.126849e+00, 1.040813e-02, 1.137214e-05, 8.543684e-05, 6.706646e-06, 4.707774e-03, 5.568557e-03, 2.828455e-05, 1.465020e-01, 7.719220e-03, 1.324586e+00, -0.003489, 8.000000e+00, 1, 0.185453, 1.567918e-02 
1.136177e+00, 9.328070e-03, 1.516285e-05, 9.505942e-05, 7.289833e-06, 4.636042e-03, 4.547398e-03, 2.711818e-05, 1.594908e-01, 1.021643e-02, 1.425954e+00, -0.024766, 8.000000e+00, 0, 0.202761, 1.817538e-02 
1.141839e+00, 5.662450e-03, 1.224692e-05, 8.368728e-05, 6.415053e-06, 4.334826e-03, 1.203697e-03, 2.157790e-05, 1.661760e-01, 9.854842e-03, 5.629833e-01, -0.136651, 8.000000e+00, 1, 0.167445, 7.846995e-03 
1.159444e+00, 1.760436e-02, 1.108055e-05, 1.580436e-04, 9.330986e-06, 4.370400e-03, 1.302985e-02, 2.566021e-05, 1.065263e-01, 1.060478e-02, 1.155914e+00, -0.000322, 8.000000e+00, 0, 0.098084, 3.226733e-03 
1.166693e+00, 7.248718e-03, 1.137214e-05, 8.922755e-05, 6.415053e-06, 4.296627e-03, 2.820582e-03, 2.449384e-05, 1.094043e-01, 1.181433e-02, 9.111672e-01, -0.028828, 8.000000e+00, 0, 0.139474, 1.923487e-02 
1.173226e+00, 6.533731e-03, 1.078895e-05, 8.514525e-05, 7.289833e-06, 4.422887e-03, 1.980210e-03, 2.740977e-05, 1.216862e-01, 1.433921e-02, 9.401231e-01, -0.001862, 9.597774e+00, 0, 0.081688, 8.893448e-03 
1.178797e+00, 5.570890e-03, 1.049736e-05, 8.747799e-05, 6.415053e-06, 4.461669e-03, 9.984155e-04, 6.415053e-06, 1.234462e-01, 1.553610e-02, -1.057635e+00, -0.235484, 4.798887e+00, 1, 0.079937, 9.724075e-03 
1.184412e+00, 5.614629e-03, 9.914172e-06, 8.368728e-05, 6.415053e-06, 4.233935e-03, 1.255892e-03, 2.478543e-05, 1.234462e-01, 1.553610e-02, 6.874529e+00, -0.000068, 9.597774e+00, 1, 0.079937, 9.724075e-03 
1.190619e+00, 6.207438e-03, 1.312170e-05, 8.747799e-05, 6.123459e-06, 4.190779e-03, 1.903521e-03, 6.415053e-06, 1.242234e-01, 1.657458e-02, 7.184737e-02, -0.014001, 4.798887e+00, 1, 0.114860, 8.862434e-03 
1.196850e+00, 6.230474e-03, 1.049736e-05, 8.514525e-05, 6.123459e-06, 4.219064e-03, 1.903813e-03, 5.831866e-06, 1.242234e-01, 1.657458e-02, -1.463671e-01, -0.307495, 2.399443e+00, 1, 0.151486, 2.871186e-02 
1.209786e+00, 1.293595e-02, 1.020577e-05, 9.039393e-05, 8.456206e-06, 4.206817e-03, 8.598503e-03, 2.157790e-05, 1.242234e-01, 1.657458e-02, 3.648317e-01, -0.154466, 2.399443e+00, 1, 0.151486, 2.871186e-02 
1.234345e+00, 2.455886e-02, 1.108055e-05, 8.514525e-05, 6.706646e-06, 4.332785e-03, 2.009428e-02, 2.886774e-05, 1.337480e-01, 2.290199e-02, 6.718810e-01, -0.069390, 2.399443e+00, 1, 0.176685, 3.164025e-02 
1.501137e+00, 2.667927e-01, 1.545445e-05, 9.914172e-05, 7.873019e-06, 5.553103e-03, 2.610889e-01, 2.828455e-05, 9.787465e-02, 2.368960e-02, 5.702827e-01, -0.151262, 2.399443e+00, 1, 0.130063, 3.189925e-02 
1.508059e+00, 6.922134e-03, 1.487126e-05, 9.447623e-05, 8.164613e-06, 4.792628e-03, 1.988958e-03, 2.303587e-05, 5.197671e-02, 2.381526e-02, 3.476125e-01, -0.119595, 2.399443e+00, 1, 0.043801, 2.503178e-02 
1.535657e+00, 2.759727e-02, 1.224692e-05, 8.543684e-05, 7.581426e-06, 5.074307e-03, 2.238708e-02, 3.061730e-05, 5.733398e-02, 1.570661e-02, 3.623814e-01, -0.060992, 2.399443e+00, 1, 0.076404, 2.093083e-02 
1.543605e+00, 7.948542e-03, 1.370489e-05, 8.572843e-05, 6.998239e-06, 4.789128e-03, 3.018574e-03, 3.440801e-05, 4.082422e-02, 1.119401e-02, 8.394126e-01, -0.049372, 4.798887e+00, 1, 0.051660, 1.646502e-02 
1.551315e+00, 7.709727e-03, 1.837038e-05, 1.274263e-04, 1.078895e-05, 5.395059e-03, 2.150792e-03, 7.289833e-06, 1.687946e-02, 1.066537e-02, 1.944464e-01, -0.092329, 2.399443e+00, 1, 0.020303, 1.539166e-02 
1.560485e+00, 9.170609e-03, 1.166373e-05, 8.485365e-05, 6.706646e-06, 4.512990e-03, 4.524653e-03, 2.974252e-05, 1.687946e-02, 1.066537e-02, 1.214726e+00, -0.012050, 2.399443e+00, 0, 0.020303, 1.539166e-02 
1.568766e+00, 8.280667e-03, 1.720401e-05, 1.449219e-04, 1.341329e-05, 6.200148e-03, 1.871446e-03, 3.353323e-05, 1.087281e-02, 3.113696e-03, 1.240621e+00, -0.003032, 4.798887e+00, 1, 0.005665, 4.908712e-03 
1.709405e+00, 1.406384e-01, 1.516285e-05, 1.070147e-04, 8.456206e-06, 4.828202e-03, 1.356539e-01, 2.566021e-05, 6.517966e-02, 1.486455e-02, 1.672003e+00, -0.000709, 4.798887e+00, 0, 0.001904, 1.369445e-03 
1.724218e+00, 1.481323e-02, 1.370489e-05, 8.397887e-05, 6.998239e-06, 6.013820e-03, 8.687439e-03, 7.289833e-06, 8.944256e-02, 1.179537e-02, 5.385128e+00, 0.000073, 2.399443e+00, 0, 0.000719, 4.644491e-04 
1.731803e+00, 7.584925e-03, 1.370489e-05, 9.097711e-05, 6.706646e-06, 5.237891e-03, 2.210569e-03, 2.507702e-05, 8.944256e-02, 1.179537e-02, 6.846220e-01, -0.140281, 2.399443e+00, 1, 0.119049, 1.564756e-02 
2.152896e+00, 4.210937e-01, 1.399648e-05, 1.134298e-04, 9.039393e-06, 5.386312e-03, 4.155493e-01, 2.157790e-05, 1.740505e-02, 6.502529e-03, 5.265395e-01, -0.023296, 2.399443e+00, 1, 0.023009, 8.617713e-03 
2.182086e+00, 2.918995e-02, 1.341329e-05, 7.931338e-05, 6.706646e-06, 4.863193e-03, 2.420283e-02, 2.449384e-05, 8.559438e-03, 4.219406e-03, 5.517234e+00, -0.001438, 3.016586e+00, 0, 0.010636, 6.145913e-03 
2.188107e+00, 6.020527e-03, 1.312170e-05, 8.106294e-05, 6.415053e-06, 4.501909e-03, 1.411895e-03, 6.123459e-06, 3.690601e-03, 2.461799e-03, -2.099305e+00, -0.010501, 1.508293e+00, 1, 0.002704, 1.244853e-03 
2.195044e+00, 6.937005e-03, 2.041153e-05, 8.922755e-05, 9.622579e-06, 4.468376e-03, 2.323415e-03, 2.595180e-05, 3.690601e-03, 2.461799e-03, 7.934717e+00, -0.000403, 3.016586e+00, 1, 0.004413, 3.581629e-03 
2.218483e+00, 2.343914e-02, 1.049736e-05, 7.960497e-05, 6.415053e-06, 4.436009e-03, 1.890020e-02, 6.415053e-06, 4.212634e-03, 1.997811e-03, -4.720051e-02, -0.005643, 1.508293e+00, 0, 0.005466, 2.737981e-03 
2.231451e+00, 1.296803e-02, 1.283011e-05, 7.902179e-05, 6.998239e-06, 4.854445e-03, 8.004819e-03, 9.914172e-06, 4.212634e-03, 1.997811e-03, -8.315195e+00, -0.000137, 7.541465e-01, 1, 0.001219, 1.426527e-03 
2.246399e+00, 1.494766e-02, 1.312170e-05, 8.776959e-05, 7.289833e-06, 5.283379e-03, 9.531310e-03, 2.478543e-05, 4.212634e-03, 1.997811e-03, 1.301730e+00, -0.000566, 1.148478e+00, 0, 0.001219, 1.426527e-03 
