TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.402388e-02, 4.402388e-02, 1.110970e-03, 9.861686e-04, 0, 3.173031e-02, 6.287335e-03, 3.909100e-03, 1.300610e-01, 7.439318e-03, 9.295126e-01, -0.068177, 2.000000e+00, 1, 0.079826, 2.955362e-02 
5.594597e-02, 1.192208e-02, 5.181613e-04, 1.510453e-04, 0, 8.862979e-03, 2.215526e-03, 1.743728e-04, 1.764845e-01, 1.596972e-02, 1.964192e-01, -0.168955, 1.000000e+00, 1, 0.179776, 1.614427e-02 
6.620422e-02, 1.025825e-02, 3.382482e-05, 9.010233e-05, 0, 9.125996e-03, 8.957746e-04, 1.125550e-04, 1.764845e-01, 1.596972e-02, 7.148613e-01, -0.078189, 1.000000e+00, 1, 0.176851, 1.702035e-02 
7.732821e-02, 1.112399e-02, 4.869608e-05, 1.288842e-04, 0, 9.823195e-03, 1.010371e-03, 1.128466e-04, 1.266267e-01, 4.422019e-03, 9.116795e-01, -0.020702, 2.000000e+00, 1, 0.126431, 6.234308e-03 
8.749432e-02, 1.016611e-02, 4.257262e-05, 1.067232e-04, 0, 8.872893e-03, 1.038364e-03, 1.055568e-04, 1.262567e-01, 9.841136e-04, 6.207343e-01, -0.072843, 2.000000e+00, 1, 0.117796, 6.781258e-03 
9.720292e-02, 9.708599e-03, 5.161202e-05, 1.291758e-04, 0, 8.444251e-03, 9.628411e-04, 1.207196e-04, 1.384823e-01, 8.469167e-03, 6.022552e-01, -0.336458, 2.000000e+00, 1, 0.211592, 4.389848e-02 
1.074416e-01, 1.023872e-02, 5.744388e-05, 1.332581e-04, 0, 9.183440e-03, 7.278169e-04, 1.367573e-04, 1.984505e-01, 1.430812e-02, 6.393411e-01, -0.528279, 2.000000e+00, 1, 0.387943, 3.417907e-02 
1.167817e-01, 9.340025e-03, 4.082306e-05, 9.622579e-05, 0, 8.160239e-03, 9.220180e-04, 1.207196e-04, 1.480011e-01, 1.379657e-02, 3.455739e-01, -0.128629, 2.000000e+00, 1, 0.108570, 2.066336e-02 
1.270670e-01, 1.028537e-02, 6.648327e-05, 8.864437e-05, 0, 9.058638e-03, 9.648823e-04, 1.067232e-04, 1.553194e-01, 1.104774e-02, 5.924153e-01, -0.295725, 2.000000e+00, 1, 0.180286, 5.086358e-02 
1.374909e-01, 1.042388e-02, 7.260673e-05, 1.332581e-04, 0, 9.426920e-03, 7.006987e-04, 9.039393e-05, 1.837034e-01, 1.692692e-02, 7.257779e-01, -0.093501, 2.000000e+00, 1, 0.233110, 5.492821e-03 
1.483988e-01, 1.090792e-02, 5.073724e-05, 1.099307e-04, 0, 9.397177e-03, 1.180953e-03, 1.691241e-04, 1.421198e-01, 1.207144e-02, 8.256873e-01, -0.092829, 4.000000e+00, 1, 0.183315, 1.183870e-02 
1.585209e-01, 1.012208e-02, 5.511113e-05, 1.250935e-04, 0, 9.198602e-03, 6.884518e-04, 5.481954e-05, 1.353794e-01, 1.075803e-02, -1.958661e-02, -0.469395, 2.000000e+00, 1, 0.174296, 1.357686e-02 
1.682149e-01, 9.694019e-03, 4.869608e-05, 1.003081e-04, 0, 8.357647e-03, 1.072772e-03, 1.145962e-04, 1.353794e-01, 1.075803e-02, 7.454018e-01, -0.082170, 2.000000e+00, 1, 0.096462, 1.350450e-02 
1.777806e-01, 9.565718e-03, 3.411642e-05, 1.038072e-04, 0, 8.527938e-03, 7.977993e-04, 1.020577e-04, 1.488750e-01, 7.658813e-03, 3.880899e-01, -0.413388, 2.000000e+00, 1, 0.161973, 3.556854e-02 
1.876280e-01, 9.847398e-03, 5.569432e-05, 9.389304e-05, 0, 8.834694e-03, 7.663072e-04, 9.680898e-05, 2.197529e-01, 1.101952e-02, 7.546079e-01, -0.092136, 2.000000e+00, 1, 0.235231, 5.115101e-03 
1.970853e-01, 9.457246e-03, 6.094300e-05, 8.106294e-05, 0, 8.108627e-03, 1.114761e-03, 9.185189e-05, 1.262827e-01, 2.659559e-03, 4.738397e-01, -0.122335, 2.000000e+00, 1, 0.137918, 1.577443e-02 
2.064139e-01, 9.328653e-03, 3.819872e-05, 1.373404e-04, 0, 8.230513e-03, 8.357064e-04, 8.689481e-05, 1.400521e-01, 1.253284e-02, 5.963671e-01, -0.379666, 2.000000e+00, 1, 0.234686, 4.796595e-02 
2.156691e-01, 9.255172e-03, 3.469960e-05, 1.306338e-04, 0, 8.301661e-03, 7.097381e-04, 7.843860e-05, 2.002393e-01, 1.563046e-02, 3.809764e-01, -0.179076, 2.000000e+00, 1, 0.203941, 1.291622e-02 
2.247872e-01, 9.118123e-03, 9.622579e-06, 1.134298e-04, 0, 7.841236e-03, 1.057026e-03, 9.680898e-05, 1.350379e-01, 1.126502e-02, 6.562839e-01, -0.117436, 2.000000e+00, 1, 0.156065, 1.375745e-02 
2.334957e-01, 8.708434e-03, 4.286422e-05, 1.390900e-04, 0, 7.708269e-03, 7.059474e-04, 1.122634e-04, 1.340708e-01, 8.457130e-03, 4.593612e-01, -0.283403, 2.000000e+00, 1, 0.132847, 3.956947e-02 
2.425686e-01, 9.072926e-03, 5.715229e-05, 1.350077e-04, 0, 8.190856e-03, 5.683154e-04, 1.215944e-04, 2.138776e-01, 1.238961e-02, 4.597686e-01, -0.220118, 2.000000e+00, 1, 0.226257, 1.013384e-02 
2.520151e-01, 9.446457e-03, 9.301826e-05, 1.533781e-04, 0, 8.281833e-03, 7.884683e-04, 1.297590e-04, 1.444465e-01, 1.626595e-02, 3.828582e-01, -0.182063, 2.000000e+00, 1, 0.163839, 1.784163e-02 
2.613271e-01, 9.312032e-03, 1.084727e-04, 1.000165e-04, 0, 8.125539e-03, 8.613666e-04, 1.166373e-04, 1.581517e-01, 1.479672e-02, 4.239178e-03, -0.448669, 1.000000e+00, 1, 0.153397, 3.255503e-02 
2.709365e-01, 9.609457e-03, 1.140130e-04, 1.087643e-04, 0, 8.419174e-03, 7.893431e-04, 1.781635e-04, 1.581517e-01, 1.479672e-02, 6.928182e-01, -0.287311, 1.000000e+00, 1, 0.235418, 6.185402e-02 
2.803232e-01, 9.386680e-03, 7.873019e-05, 1.630007e-04, 0, 8.251507e-03, 6.869938e-04, 2.064481e-04, 1.423515e-01, 1.229846e-02, 8.503916e-01, -0.085904, 2.000000e+00, 1, 0.206633, 1.383965e-02 
2.900324e-01, 9.709182e-03, 6.502531e-05, 7.814701e-05, 0, 8.290289e-03, 1.120593e-03, 1.551276e-04, 1.348645e-01, 9.808554e-03, 7.947491e-01, -0.077657, 2.000000e+00, 1, 0.079969, 1.545585e-02 
2.991074e-01, 9.074967e-03, 5.598591e-05, 9.330986e-05, 0, 7.994322e-03, 7.269421e-04, 2.044069e-04, 1.708205e-01, 9.296806e-03, 1.262038e-01, -0.424304, 1.000000e+00, 1, 0.183227, 2.507134e-02 
3.081054e-01, 8.997986e-03, 9.039393e-06, 7.814701e-05, 0, 7.970411e-03, 7.199439e-04, 2.204445e-04, 1.708205e-01, 9.296806e-03, 3.900693e-01, -0.193008, 1.000000e+00, 1, 0.158414, 3.440387e-02 
3.176860e-01, 9.580590e-03, 1.078895e-05, 1.481294e-04, 0, 7.926089e-03, 1.126425e-03, 3.691571e-04, 1.570546e-01, 1.632263e-02, 8.650062e-01, -0.061548, 2.000000e+00, 1, 0.083128, 2.853109e-02 
3.277946e-01, 1.010867e-02, 1.049736e-05, 1.942011e-04, 0, 7.957581e-03, 1.644586e-03, 3.017991e-04, 1.336775e-01, 2.907347e-03, 9.386615e-01, -0.016358, 4.000000e+00, 1, 0.019672, 1.066845e-02 
