TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=3,b_m=3, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.564456e-02, 4.564456e-02, 5.686069e-05, 8.864437e-05, 0, 9.322530e-03, 3.578200e-02, 3.945257e-04, 1.390250e-01, 1.091447e-02, 9.611899e-01, -0.009974, 2.000000e+00, 1, 0.108235, 1.791757e-03 
7.928364e-02, 3.363908e-02, 1.312170e-05, 8.456206e-05, 0, 9.217556e-03, 2.425065e-02, 7.318992e-05, 1.446123e-01, 1.227634e-02, 8.793073e-01, -0.036741, 4.000000e+00, 1, 0.098647, 3.271356e-03 
1.781670e-01, 9.888337e-02, 2.157790e-05, 1.213028e-04, 0, 1.063382e-02, 8.809967e-02, 6.998239e-06, 1.425120e-01, 1.139498e-02, 5.337506e-02, -0.514444, 2.000000e+00, 1, 0.180677, 1.992710e-02 
2.043273e-01, 2.616029e-02, 8.485365e-05, 1.968255e-04, 0, 9.331569e-03, 1.652430e-02, 2.274428e-05, 1.425120e-01, 1.139498e-02, 4.786309e-01, -0.140839, 2.000000e+00, 1, 0.180086, 2.071006e-02 
4.295134e-01, 2.251861e-01, 1.283011e-05, 8.368728e-05, 0, 8.228472e-03, 2.168527e-01, 8.456206e-06, 1.589040e-01, 1.581317e-02, -7.067687e-01, -0.068028, 1.000000e+00, 1, 0.117643, 6.386439e-03 
5.686589e-01, 1.391454e-01, 1.749560e-05, 1.315086e-04, 0, 8.478950e-03, 1.304906e-01, 2.682658e-05, 1.589040e-01, 1.581317e-02, 5.590893e-01, -0.020874, 1.000000e+00, 1, 0.117643, 6.386439e-03 
6.258642e-01, 5.720536e-02, 1.749560e-05, 9.622579e-05, 0, 1.074609e-02, 4.631814e-02, 2.740977e-05, 1.232183e-01, 8.143762e-03, 6.065840e-01, -0.013446, 1.000000e+00, 1, 0.105973, 5.600272e-03 
7.435125e-01, 1.176483e-01, 1.457967e-05, 9.360145e-05, 0, 9.515273e-03, 1.080015e-01, 2.332746e-05, 1.300820e-01, 1.264518e-02, 7.235145e-01, -0.100925, 1.000000e+00, 1, 0.143996, 2.931320e-02 
8.252554e-01, 8.174293e-02, 1.341329e-05, 8.514525e-05, 0, 8.233720e-03, 7.338675e-02, 2.391065e-05, 1.249061e-01, 1.074035e-02, 5.531028e-01, -0.088996, 1.000000e+00, 1, 0.145718, 2.327941e-02 
9.665274e-01, 1.412720e-01, 1.428807e-05, 8.543684e-05, 0, 8.053516e-03, 1.330919e-01, 2.682658e-05, 1.278054e-01, 1.156716e-02, 8.732421e-01, -0.012127, 2.000000e+00, 1, 0.096494, 3.125061e-03 
