TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=0.200000, lambda=0.000000, n=6, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.318169e-03, 2.318169e-03, 1.078313e-03, 8.383315e-04, 0, 3.303755e-04, 5.948509e-05, 1.166374e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.117568, 2.142740e-02 
3.606429e-03, 1.288260e-03, 3.755725e-04, 1.632924e-04, 0, 3.878194e-05, 5.656915e-05, 6.540444e-04, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.116104, 2.128904e-02 
3.807046e-03, 2.006164e-04, 2.886776e-05, 1.204281e-04, 0, 7.581433e-06, 3.557441e-05, 8.164620e-06, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.114658, 2.115089e-02 
4.027490e-03, 2.204447e-04, 3.178370e-05, 9.068560e-05, 0, 8.164620e-06, 2.274430e-05, 6.706652e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.129128, 3.127549e-03 
4.193115e-03, 1.656251e-04, 3.703238e-05, 7.727229e-05, 0, 1.545446e-05, 3.528282e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.128208, 3.233619e-03 
4.391399e-03, 1.982836e-04, 4.286425e-05, 7.843867e-05, 0, 8.747807e-07, 4.257266e-05, 3.353326e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.137409, 2.306722e-02 
4.580352e-03, 1.889526e-04, 5.132047e-05, 9.360153e-05, 0, 8.747807e-07, 2.828458e-05, 1.487127e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.128177, 3.211816e-03 
4.767263e-03, 1.869115e-04, 4.432222e-05, 9.768384e-05, 0, 1.370490e-05, 3.061732e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.121486, 3.601390e-03 
4.964089e-03, 1.968257e-04, 4.665497e-05, 8.018823e-05, 0, 1.749561e-05, 5.190365e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.122405, 3.511029e-03 
5.124757e-03, 1.606681e-04, 4.782134e-05, 6.298421e-05, 0, 8.747807e-07, 3.353326e-05, 1.545446e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.114086, 2.109381e-02 
5.293006e-03, 1.682495e-04, 5.511118e-05, 8.456213e-05, 0, 1.691243e-05, 1.108056e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.129100, 3.117063e-03 
5.537945e-03, 2.449386e-04, 5.219525e-05, 1.052653e-04, 0, 1.895358e-05, 1.166374e-05, 5.686074e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.128181, 3.218085e-03 
5.668579e-03, 1.306339e-04, 3.674079e-05, 8.164620e-05, 0, 5.831871e-07, 1.108056e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.113735, 2.105925e-02 
5.853449e-03, 1.848703e-04, 3.936513e-05, 8.689488e-05, 0, 8.747807e-07, 3.469963e-05, 2.303589e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.113558, 2.104209e-02 
6.077685e-03, 2.242354e-04, 4.636338e-05, 1.271348e-04, 0, 8.747807e-07, 3.295007e-05, 1.691243e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.137257, 2.305369e-02 
6.250600e-03, 1.729150e-04, 4.636338e-05, 8.485373e-05, 0, 8.747807e-07, 1.166374e-05, 2.915936e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.121530, 3.631100e-03 
6.430513e-03, 1.799132e-04, 5.890190e-05, 6.356740e-05, 0, 2.099474e-05, 3.586601e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.121525, 3.630578e-03 
6.611884e-03, 1.813712e-04, 6.677493e-05, 6.327580e-05, 0, 8.747807e-07, 3.149210e-05, 1.895358e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.122440, 3.537006e-03 
6.738436e-03, 1.265516e-04, 5.132047e-05, 6.269262e-05, 0, 5.831871e-07, 1.137215e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.129095, 3.116094e-03 
6.988914e-03, 2.504789e-04, 4.665497e-05, 9.214357e-05, 0, 2.011996e-05, 3.440804e-05, 5.715234e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 6.250000e-03, 0, 0.113607, 2.104691e-02 
7.136169e-03, 1.472547e-04, 2.653501e-05, 8.747807e-05, 0, 8.747807e-07, 3.178370e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 6.250000e-03, 0, 0.129093, 3.115885e-03 
7.288089e-03, 1.519202e-04, 7.873026e-06, 6.269262e-05, 0, 5.831871e-07, 3.849035e-05, 4.228107e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.125000e-03, 0, 0.137106, 2.304123e-02 
7.471502e-03, 1.834124e-04, 3.061732e-05, 9.039400e-05, 0, 2.274430e-05, 3.907354e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.125000e-03, 0, 0.128179, 3.220772e-03 
7.656081e-03, 1.845787e-04, 3.586601e-05, 8.514532e-05, 0, 8.747807e-07, 3.790716e-05, 2.478545e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.125000e-03, 0, 0.113567, 2.104299e-02 
7.784382e-03, 1.283012e-04, 3.207529e-05, 6.181784e-05, 0, 2.361908e-05, 1.020577e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.125000e-03, 0, 0.113545, 2.104085e-02 
8.026988e-03, 2.426058e-04, 4.898772e-05, 9.214357e-05, 0, 5.831871e-07, 3.878194e-05, 6.210943e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.562500e-03, 0, 0.128179, 3.221660e-03 
8.132544e-03, 1.055569e-04, 3.149210e-05, 6.269262e-05, 0, 8.747807e-07, 1.020577e-05, 2.915936e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.562500e-03, 0, 0.129092, 3.115476e-03 
8.280382e-03, 1.478379e-04, 3.149210e-05, 6.240102e-05, 0, 8.747807e-07, 9.914181e-06, 4.315585e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 7.812500e-04, 0, 0.128179, 3.221493e-03 
8.384773e-03, 1.043905e-04, 3.003414e-05, 6.298421e-05, 0, 5.831871e-07, 1.020577e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 7.812500e-04, 0, 0.122446, 3.541331e-03 
8.464086e-03, 7.931345e-05, 7.289839e-06, 6.065146e-05, 0, 8.747807e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 7.812500e-04, 0, 0.113524, 2.103875e-02 
8.544566e-03, 8.047982e-05, 7.581433e-06, 6.123465e-05, 0, 8.747807e-07, 1.020577e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 7.812500e-04, 0, 0.137106, 2.304112e-02 
8.651581e-03, 1.070148e-04, 7.581433e-06, 6.065146e-05, 0, 5.831871e-07, 9.914181e-06, 2.828458e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.122446, 3.541292e-03 
8.737601e-03, 8.602010e-05, 6.998245e-06, 6.764971e-05, 0, 8.747807e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.128179, 3.221454e-03 
8.816331e-03, 7.873026e-05, 7.289839e-06, 6.035987e-05, 0, 8.747807e-07, 9.622588e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.129091, 3.115394e-03 
8.914890e-03, 9.855862e-05, 7.581433e-06, 7.348158e-05, 0, 1.166374e-06, 1.574605e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.113525, 2.103885e-02 
8.995953e-03, 8.106301e-05, 7.581433e-06, 6.210943e-05, 0, 8.747807e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.128179, 3.221491e-03 
9.080807e-03, 8.485373e-05, 9.330994e-06, 6.385899e-05, 0, 8.747807e-07, 1.020577e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 3.906250e-04, 0, 0.129091, 3.115380e-03 
9.184614e-03, 1.038073e-04, 7.581433e-06, 6.094305e-05, 0, 8.747807e-07, 9.914181e-06, 2.449386e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.953125e-04, 0, 0.113522, 2.103858e-02 
9.264511e-03, 7.989664e-05, 7.289839e-06, 6.094305e-05, 0, 8.747807e-07, 1.020577e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.953125e-04, 0, 0.121533, 3.635174e-03 
9.369484e-03, 1.049737e-04, 7.581433e-06, 6.065146e-05, 0, 5.831871e-07, 1.020577e-05, 2.595183e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 9.765625e-05, 0, 0.122446, 3.541568e-03 
9.447923e-03, 7.843867e-05, 7.289839e-06, 5.977668e-05, 0, 8.747807e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 9.765625e-05, 0, 0.113520, 2.103834e-02 
9.526362e-03, 7.843867e-05, 7.289839e-06, 6.006827e-05, 0, 5.831871e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 9.765625e-05, 0, 0.122446, 3.541606e-03 
9.606841e-03, 8.047982e-05, 7.581433e-06, 6.152624e-05, 0, 8.747807e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 9.765625e-05, 0, 0.121533, 3.635207e-03 
9.685863e-03, 7.902186e-05, 7.289839e-06, 6.065146e-05, 0, 5.831871e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 4.882813e-05, 0, 0.128179, 3.221554e-03 
9.764885e-03, 7.902186e-05, 6.998245e-06, 6.094305e-05, 0, 8.747807e-07, 9.622588e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 4.882813e-05, 0, 0.137105, 2.304106e-02 
9.849739e-03, 8.485373e-05, 7.289839e-06, 6.735811e-05, 0, 5.831871e-07, 9.039400e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.441406e-05, 0, 0.113519, 2.103832e-02 
9.928178e-03, 7.843867e-05, 6.998245e-06, 6.035987e-05, 0, 5.831871e-07, 9.914181e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.441406e-05, 0, 0.121533, 3.635201e-03 
1.000632e-02, 7.814707e-05, 7.289839e-06, 5.919349e-05, 0, 8.747807e-07, 9.914181e-06, 8.747807e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.220703e-05, 0, 0.128179, 3.221550e-03 
1.008418e-02, 7.785548e-05, 7.289839e-06, 5.977668e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.220703e-05, 0, 0.129091, 3.115390e-03 
0.500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
