TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=3,b_m=3, lr=30.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.551606e-04, 3.551606e-04, 8.631162e-05, 8.572843e-05, 0, 2.332746e-06, 1.799131e-04, 8.747799e-07, 1.390250e-01, 1.091447e-02, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.108235, 1.791757e-03 
7.205271e-04, 3.653664e-04, 1.822458e-04, 1.673746e-04, 0, 1.457967e-06, 1.283011e-05, 1.457967e-06, 1.415587e-01, 1.160705e-02, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.106654, 2.051264e-03 
1.096974e-03, 3.764470e-04, 1.005997e-04, 1.688325e-04, 0, 8.747799e-07, 1.055568e-04, 5.831866e-07, 1.401972e-01, 1.118128e-02, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.104556, 2.386185e-03 
1.411020e-03, 3.140460e-04, 5.773547e-05, 1.320918e-04, 0, 5.831866e-07, 1.221776e-04, 1.457967e-06, 1.437018e-01, 1.196844e-02, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.176819, 2.222786e-02 
1.510745e-03, 9.972491e-05, 7.581426e-06, 7.668904e-05, 0, 1.457967e-06, 1.341329e-05, 5.831866e-07, 2.052003e-01, 9.920925e-03, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.138648, 5.709215e-03 
1.614552e-03, 1.038072e-04, 7.289833e-06, 8.222931e-05, 0, 5.831866e-07, 1.312170e-05, 5.831866e-07, 1.735267e-01, 1.297635e-02, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.121179, 6.376151e-03 
1.717776e-03, 1.032240e-04, 6.998239e-06, 8.135453e-05, 0, 8.747799e-07, 1.341329e-05, 5.831866e-07, 1.370035e-01, 9.349384e-03, 0.000000e+00, 0.000000, 3.000000e+01, 0, 0.164022, 1.896197e-02 
1.886609e-03, 1.688325e-04, 7.289833e-06, 8.106294e-05, 0, 8.747799e-07, 1.312170e-05, 6.648327e-05, 1.923855e-01, 1.190812e-02, 0.000000e+00, 0.000000, 1.500000e+01, 0, 0.125792, 7.046398e-03 
1.993623e-03, 1.070147e-04, 7.873019e-06, 8.456206e-05, 0, 5.831866e-07, 1.341329e-05, 5.831866e-07, 1.503392e-01, 1.219880e-02, 0.000000e+00, 0.000000, 1.500000e+01, 0, 0.185972, 2.181356e-02 
2.095973e-03, 1.023493e-04, 7.289833e-06, 8.077135e-05, 0, 5.831866e-07, 1.283011e-05, 8.747799e-07, 1.317530e-01, 7.073341e-03, 0.000000e+00, 0.000000, 1.500000e+01, 0, 0.110606, 3.495387e-03 
2.199197e-03, 1.032240e-04, 7.289833e-06, 8.135453e-05, 0, 5.831866e-07, 1.312170e-05, 8.747799e-07, 1.382630e-01, 9.548186e-03, 0.000000e+00, 0.000000, 1.500000e+01, 0, 0.163671, 2.020180e-02 
2.384942e-03, 1.857449e-04, 8.456206e-06, 9.622579e-05, 0, 5.831866e-07, 1.312170e-05, 6.735805e-05, 1.372896e-01, 9.379615e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.117935, 2.712262e-03 
2.487291e-03, 1.023493e-04, 7.289833e-06, 8.077135e-05, 0, 8.747799e-07, 1.283011e-05, 5.831866e-07, 1.372252e-01, 9.422223e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.106729, 2.155955e-03 
2.592264e-03, 1.049736e-04, 6.998239e-06, 8.514525e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.389180e-01, 9.914097e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.106215, 1.889406e-03 
2.695197e-03, 1.029324e-04, 7.289833e-06, 8.135453e-05, 0, 8.747799e-07, 1.283011e-05, 5.831866e-07, 1.399477e-01, 1.018345e-02, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.105795, 1.848549e-03 
2.890856e-03, 1.956591e-04, 7.581426e-06, 8.106294e-05, 0, 5.831866e-07, 1.312170e-05, 9.330986e-05, 1.406171e-01, 1.034474e-02, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.171873, 1.984276e-02 
3.086807e-03, 1.959507e-04, 7.289833e-06, 7.931338e-05, 0, 5.831866e-07, 1.283011e-05, 9.593420e-05, 1.256279e-01, 1.612203e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.132107, 1.257480e-02 
3.190614e-03, 1.038072e-04, 7.289833e-06, 8.252091e-05, 0, 5.831866e-07, 1.283011e-05, 5.831866e-07, 1.282806e-01, 5.012447e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.143576, 1.507275e-02 
3.392397e-03, 2.017826e-04, 7.289833e-06, 8.077135e-05, 0, 5.831866e-07, 1.125550e-04, 5.831866e-07, 1.261062e-01, 2.822088e-03, 0.000000e+00, 0.000000, 7.500000e+00, 0, 0.130302, 1.402755e-02 
3.616049e-03, 2.236521e-04, 7.289833e-06, 8.047975e-05, 0, 5.831866e-07, 1.344245e-04, 8.747799e-07, 1.275726e-01, 4.521954e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.118660, 6.659567e-03 
3.720731e-03, 1.046820e-04, 7.873019e-06, 8.164613e-05, 0, 8.747799e-07, 1.370489e-05, 5.831866e-07, 1.322294e-01, 7.440140e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.114622, 3.553579e-03 
3.887230e-03, 1.664998e-04, 7.289833e-06, 8.077135e-05, 0, 6.473371e-05, 1.312170e-05, 5.831866e-07, 1.337355e-01, 8.086297e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.109543, 2.359603e-03 
3.981707e-03, 9.447623e-05, 6.998239e-06, 7.435629e-05, 0, 5.831866e-07, 1.195533e-05, 5.831866e-07, 1.346512e-01, 8.441605e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.109233, 2.040804e-03 
4.076766e-03, 9.505942e-05, 6.706646e-06, 7.493948e-05, 0, 5.831866e-07, 1.224692e-05, 5.831866e-07, 1.353677e-01, 8.702615e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.108996, 1.846533e-03 
4.275341e-03, 1.985750e-04, 6.706646e-06, 1.784551e-04, 0, 8.747799e-07, 1.195533e-05, 5.831866e-07, 1.359242e-01, 8.896868e-03, 0.000000e+00, 0.000000, 3.750000e+00, 0, 0.113756, 2.094731e-03 
