TRM WS=1, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=4, lr=0.400000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.004324e-03, 5.004324e-03, 9.651738e-05, 1.510453e-04, 1.379236e-04, 4.482081e-03, 6.473371e-05, 7.202355e-05, 1.286151e-01, 5.831189e-03, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.128615, 5.831189e-03 
8.912841e-03, 3.908517e-03, 1.166373e-05, 8.951915e-05, 8.456206e-06, 3.783132e-03, 1.428807e-05, 1.457967e-06, 1.282838e-01, 5.232723e-03, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.128284, 5.232723e-03 
1.279570e-02, 3.882856e-03, 1.020577e-05, 9.447623e-05, 1.049736e-05, 3.750765e-03, 1.574604e-05, 1.166373e-06, 1.273550e-01, 4.046565e-03, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.127355, 4.046565e-03 
1.570113e-02, 2.905436e-03, 8.747799e-06, 7.377311e-05, 6.706646e-06, 2.796671e-03, 1.837038e-05, 1.166373e-06, 1.256368e-01, 5.356401e-04, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.125637, 5.356401e-04 
1.923087e-02, 3.529737e-03, 9.039393e-06, 7.873019e-05, 6.998239e-06, 3.419515e-03, 1.428807e-05, 1.166373e-06, 1.254714e-01, 4.533862e-04, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.125471, 4.533862e-04 
2.264368e-02, 3.412808e-03, 1.049736e-05, 8.864437e-05, 7.289833e-06, 3.290047e-03, 1.516285e-05, 1.166373e-06, 1.254232e-01, 4.374431e-04, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.125423, 4.374431e-04 
2.608069e-02, 3.437010e-03, 1.049736e-05, 9.710057e-05, 8.164613e-06, 3.308709e-03, 1.137214e-05, 1.166373e-06, 1.254269e-01, 4.351907e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125427, 4.351907e-04 
2.893655e-02, 2.855865e-03, 8.164613e-06, 7.231514e-05, 6.123459e-06, 2.757015e-03, 1.137214e-05, 8.747799e-07, 1.253822e-01, 4.313285e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125382, 4.313285e-04 
3.193792e-02, 3.001370e-03, 8.164613e-06, 7.202355e-05, 6.123459e-06, 2.902811e-03, 1.137214e-05, 8.747799e-07, 1.253285e-01, 5.913610e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125328, 5.913610e-04 
3.474597e-02, 2.808044e-03, 8.164613e-06, 7.260673e-05, 6.415053e-06, 2.708902e-03, 1.108055e-05, 8.747799e-07, 1.251353e-01, 3.217091e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125135, 3.217091e-04 
3.753826e-02, 2.792298e-03, 7.873019e-06, 7.260673e-05, 6.123459e-06, 2.694031e-03, 1.108055e-05, 5.831866e-07, 1.250710e-01, 2.357402e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125071, 2.357402e-04 
4.072042e-02, 3.182158e-03, 8.456206e-06, 7.202355e-05, 5.831866e-06, 3.081558e-03, 1.341329e-05, 8.747799e-07, 1.250222e-01, 2.166574e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.125022, 2.166574e-04 
4.402097e-02, 3.300545e-03, 9.622579e-06, 8.864437e-05, 7.289833e-06, 3.180700e-03, 1.312170e-05, 1.166373e-06, 1.249501e-01, 2.869143e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.124950, 2.869143e-04 
4.701038e-02, 2.989415e-03, 9.622579e-06, 8.864437e-05, 6.998239e-06, 2.872194e-03, 1.108055e-05, 8.747799e-07, 1.249431e-01, 3.162253e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.124943, 3.162253e-04 
5.005520e-02, 3.044817e-03, 8.164613e-06, 7.173195e-05, 9.914172e-06, 2.939552e-03, 1.428807e-05, 1.166373e-06, 1.249335e-01, 5.047905e-04, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.124934, 5.047905e-04 
