TRM WS=1, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=4, lr=0.400000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.766511e-03, 3.766511e-03, 1.224692e-05, 1.017661e-04, 8.456206e-06, 3.623922e-03, 1.866197e-05, 1.457967e-06, 1.507989e-01, 1.444909e-02, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.150799, 1.444909e-02 
7.103796e-03, 3.337285e-03, 9.622579e-06, 8.543684e-05, 7.581426e-06, 3.203736e-03, 2.915933e-05, 1.749560e-06, 1.477857e-01, 1.348501e-02, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.147786, 1.348501e-02 
1.068864e-02, 3.584848e-03, 9.330986e-06, 8.485365e-05, 7.581426e-06, 3.468502e-03, 1.341329e-05, 1.166373e-06, 1.399256e-01, 1.162264e-02, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.139926, 1.162264e-02 
1.371684e-02, 3.028196e-03, 9.039393e-06, 7.668904e-05, 6.415053e-06, 2.921182e-03, 1.399648e-05, 8.747799e-07, 1.384865e-01, 1.080064e-02, 0.000000e+00, 0.000000, 4.000000e-01, 0, 0.138487, 1.080064e-02 
1.665552e-02, 2.938677e-03, 9.039393e-06, 8.164613e-05, 6.706646e-06, 2.826997e-03, 1.312170e-05, 1.166373e-06, 1.376442e-01, 1.037840e-02, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.137644, 1.037840e-02 
1.970704e-02, 3.051524e-03, 8.164613e-06, 7.552267e-05, 6.123459e-06, 2.947717e-03, 1.312170e-05, 8.747799e-07, 1.364373e-01, 9.732354e-03, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.136437, 9.732354e-03 
2.307436e-02, 3.367320e-03, 8.456206e-06, 7.552267e-05, 6.123459e-06, 3.263221e-03, 1.312170e-05, 8.747799e-07, 1.335610e-01, 8.621837e-03, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.133561, 8.621837e-03 
2.592119e-02, 2.846825e-03, 8.456206e-06, 7.610585e-05, 6.123459e-06, 2.742727e-03, 1.283011e-05, 5.831866e-07, 1.319633e-01, 7.856014e-03, 0.000000e+00, 0.000000, 2.000000e-01, 0, 0.131963, 7.856014e-03 
2.898321e-02, 3.062021e-03, 7.873019e-06, 7.610585e-05, 6.123459e-06, 2.955007e-03, 1.574604e-05, 1.166373e-06, 1.317523e-01, 7.686939e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.131752, 7.686939e-03 
3.198020e-02, 2.996996e-03, 9.914172e-06, 9.126870e-05, 7.289833e-06, 2.874235e-03, 1.341329e-05, 8.747799e-07, 1.295277e-01, 6.402688e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.129528, 6.402688e-03 
3.521310e-02, 3.232895e-03, 8.456206e-06, 8.018816e-05, 6.706646e-06, 3.121215e-03, 1.487126e-05, 1.457967e-06, 1.290105e-01, 6.049775e-03, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.129011, 6.049775e-03 
3.858888e-02, 3.375776e-03, 9.914172e-06, 9.214348e-05, 6.998239e-06, 3.252723e-03, 1.312170e-05, 8.747799e-07, 1.289429e-01, 6.026729e-03, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.128943, 6.026729e-03 
4.214631e-02, 3.557438e-03, 8.164613e-06, 7.610585e-05, 6.123459e-06, 3.448966e-03, 1.662082e-05, 1.457967e-06, 1.289202e-01, 6.002691e-03, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.128920, 6.002691e-03 
4.542965e-02, 3.283341e-03, 1.049736e-05, 9.972491e-05, 7.873019e-06, 3.150374e-03, 1.341329e-05, 1.457967e-06, 1.288944e-01, 5.996989e-03, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.128894, 5.996989e-03 
0.500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
