TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=3,b_m=3, lr=3.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
8.775209e-03, 8.775209e-03, 8.776959e-05, 8.835277e-05, 0, 8.482741e-03, 1.151794e-04, 1.166373e-06, 1.390250e-01, 1.091447e-02, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.108235, 1.791757e-03 
1.844328e-02, 9.668068e-03, 2.131547e-04, 2.251100e-04, 0, 9.212307e-03, 1.632923e-05, 1.166373e-06, 1.351743e-01, 3.344952e-03, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.143340, 1.589341e-02 
2.751824e-02, 9.074967e-03, 7.085717e-05, 1.659166e-04, 0, 8.820698e-03, 1.632923e-05, 1.166373e-06, 1.238053e-01, 2.693922e-03, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.129988, 1.361952e-02 
3.675242e-02, 9.234177e-03, 4.403059e-05, 1.586268e-04, 0, 9.011691e-03, 1.749560e-05, 2.332746e-06, 1.322299e-01, 6.929612e-03, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.144239, 2.083670e-02 
4.525761e-02, 8.505194e-03, 1.166373e-05, 9.739216e-05, 0, 8.378642e-03, 1.662082e-05, 8.747799e-07, 1.905335e-01, 1.215804e-02, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.133010, 8.246343e-03 
5.420661e-02, 8.948999e-03, 9.622579e-06, 9.243508e-05, 0, 8.829445e-03, 1.662082e-05, 8.747799e-07, 1.775758e-01, 1.346061e-02, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.223411, 2.262325e-02 
6.320635e-02, 8.999736e-03, 1.166373e-05, 9.972491e-05, 0, 8.870852e-03, 1.632923e-05, 1.166373e-06, 1.888164e-01, 1.241366e-02, 0.000000e+00, 0.000000, 3.000000e+00, 0, 0.248277, 1.802589e-02 
7.262452e-02, 9.418172e-03, 1.049736e-05, 9.360145e-05, 0, 9.199477e-03, 1.720401e-05, 9.739216e-05, 1.732912e-01, 1.360023e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.215376, 2.327106e-02 
8.171815e-02, 9.093629e-03, 1.078895e-05, 1.000165e-04, 0, 8.965036e-03, 1.662082e-05, 1.166373e-06, 1.850399e-01, 1.297997e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.132043, 5.531424e-03 
9.216623e-02, 1.044808e-02, 1.078895e-05, 1.005997e-04, 0, 1.031628e-02, 1.953675e-05, 8.747799e-07, 1.398426e-01, 1.108749e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.117739, 7.319889e-03 
1.020539e-01, 9.887637e-03, 1.108055e-05, 1.160541e-04, 0, 9.742716e-03, 1.691241e-05, 8.747799e-07, 1.217920e-01, 8.370613e-03, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.141131, 1.851457e-02 
1.110950e-01, 9.041142e-03, 1.049736e-05, 9.943332e-05, 0, 8.913716e-03, 1.603763e-05, 1.457967e-06, 1.387708e-01, 1.237258e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.179897, 1.914699e-02 
1.196988e-01, 8.603752e-03, 9.914172e-06, 9.330986e-05, 0, 8.482741e-03, 1.691241e-05, 8.747799e-07, 1.295398e-01, 1.121838e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.155905, 2.109739e-02 
1.281751e-01, 8.476326e-03, 1.049736e-05, 1.000165e-04, 0, 8.350649e-03, 1.428807e-05, 8.747799e-07, 1.349770e-01, 1.225629e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.099502, 3.291177e-03 
1.363482e-01, 8.173069e-03, 9.039393e-06, 8.514525e-05, 0, 8.060805e-03, 1.720401e-05, 8.747799e-07, 1.124193e-01, 5.652345e-03, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.085659, 1.804123e-02 
1.453030e-01, 8.954830e-03, 1.049736e-05, 1.008913e-04, 0, 8.823613e-03, 1.807879e-05, 1.749560e-06, 1.242543e-01, 1.058949e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.161492, 1.572869e-02 
1.541692e-01, 8.866186e-03, 1.108055e-05, 9.914172e-05, 0, 8.739051e-03, 1.603763e-05, 8.747799e-07, 1.049393e-01, 5.017700e-03, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.136550, 8.655812e-03 
1.621617e-01, 7.992573e-03, 9.914172e-06, 9.535101e-05, 0, 7.871853e-03, 1.457967e-05, 8.747799e-07, 1.025892e-01, 2.680037e-03, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.129312, 7.606235e-03 
1.707311e-01, 8.569344e-03, 9.330986e-06, 8.485365e-05, 0, 8.457372e-03, 1.691241e-05, 8.747799e-07, 1.231319e-01, 1.479273e-02, 0.000000e+00, 0.000000, 1.500000e+00, 0, 0.148290, 2.471485e-02 
1.798679e-01, 9.136785e-03, 1.049736e-05, 9.943332e-05, 0, 8.905260e-03, 1.691241e-05, 1.046820e-04, 1.120461e-01, 1.292287e-02, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.145491, 1.972871e-02 
1.892957e-01, 9.427795e-03, 1.049736e-05, 9.943332e-05, 0, 9.299785e-03, 1.720401e-05, 8.747799e-07, 1.243852e-01, 1.758427e-02, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.161992, 2.542976e-02 
1.983374e-01, 9.041725e-03, 1.078895e-05, 9.914172e-05, 0, 8.914007e-03, 1.691241e-05, 8.747799e-07, 9.016709e-02, 3.892749e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.102416, 7.923760e-03 
2.062932e-01, 7.955832e-03, 1.020577e-05, 1.000165e-04, 0, 7.830447e-03, 1.457967e-05, 5.831866e-07, 1.132761e-01, 1.548943e-02, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.144572, 2.375540e-02 
2.140324e-01, 7.739178e-03, 9.039393e-06, 8.543684e-05, 0, 7.519900e-03, 1.457967e-05, 1.102223e-04, 8.955243e-02, 4.410898e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.105325, 1.204215e-02 
2.233686e-01, 9.336234e-03, 9.039393e-06, 8.514525e-05, 0, 9.086047e-03, 1.807879e-05, 1.379236e-04, 1.033359e-01, 1.487639e-02, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.119611, 2.590247e-02 
2.325894e-01, 9.220764e-03, 1.078895e-05, 9.943332e-05, 0, 9.092171e-03, 1.720401e-05, 1.166373e-06, 8.473758e-02, 5.821443e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.069007, 7.927650e-03 
2.417603e-01, 9.170901e-03, 1.049736e-05, 9.914172e-05, 0, 8.900594e-03, 1.597931e-04, 8.747799e-07, 8.982035e-02, 1.146401e-02, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.092844, 6.757069e-03 
2.510184e-01, 9.258087e-03, 9.914172e-06, 1.000165e-04, 0, 8.972618e-03, 1.740812e-04, 1.457967e-06, 7.066445e-02, 5.922239e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.076106, 5.860570e-03 
2.601479e-01, 9.129495e-03, 1.049736e-05, 9.943332e-05, 0, 9.001485e-03, 1.720401e-05, 8.747799e-07, 6.401014e-02, 9.412062e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.061460, 2.013847e-02 
2.682422e-01, 8.094339e-03, 1.049736e-05, 1.000165e-04, 0, 7.967787e-03, 1.516285e-05, 8.747799e-07, 6.612653e-02, 9.677749e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.075132, 9.099212e-03 
2.759785e-01, 7.736262e-03, 9.330986e-06, 8.397887e-05, 0, 7.627789e-03, 1.428807e-05, 8.747799e-07, 5.825171e-02, 9.181149e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.069468, 1.617420e-02 
2.850135e-01, 9.035019e-03, 1.078895e-05, 1.017661e-04, 0, 8.904093e-03, 1.691241e-05, 1.457967e-06, 4.938408e-02, 7.712431e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.043789, 4.866245e-03 
2.937228e-01, 8.709309e-03, 1.020577e-05, 2.580601e-04, 0, 8.425880e-03, 1.428807e-05, 8.747799e-07, 4.471267e-02, 8.820922e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.046241, 7.088559e-03 
3.014664e-01, 7.743552e-03, 9.039393e-06, 2.081976e-04, 0, 7.510860e-03, 1.457967e-05, 8.747799e-07, 3.584567e-02, 4.263542e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.037826, 4.545169e-03 
3.093863e-01, 7.919966e-03, 8.747799e-06, 8.543684e-05, 0, 7.809744e-03, 1.487126e-05, 1.166373e-06, 3.006044e-02, 5.866163e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.027842, 3.690114e-03 
3.172316e-01, 7.845318e-03, 1.035156e-04, 8.543684e-05, 0, 7.640911e-03, 1.428807e-05, 1.166373e-06, 2.520146e-02, 4.409533e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.029782, 8.121072e-03 
3.259095e-01, 8.677817e-03, 1.070147e-04, 8.485365e-05, 0, 8.467578e-03, 1.720401e-05, 1.166373e-06, 2.673856e-02, 4.315973e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.027925, 8.361752e-03 
3.350562e-01, 9.146699e-03, 1.242187e-04, 1.003081e-04, 0, 8.904676e-03, 1.662082e-05, 8.747799e-07, 2.155859e-02, 4.619194e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.021421, 8.767776e-03 
3.429855e-01, 7.929297e-03, 1.414228e-04, 1.008913e-04, 0, 7.671820e-03, 1.428807e-05, 8.747799e-07, 2.229411e-02, 3.107415e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.025663, 5.857688e-03 
3.506290e-01, 7.643535e-03, 9.039393e-06, 8.543684e-05, 0, 7.533313e-03, 1.457967e-05, 1.166373e-06, 1.906108e-02, 4.475186e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.016862, 2.499097e-03 
3.583198e-01, 7.690773e-03, 9.330986e-06, 8.456206e-05, 0, 7.581718e-03, 1.428807e-05, 8.747799e-07, 1.628431e-02, 4.903488e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.016549, 4.168592e-03 
3.659869e-01, 7.667154e-03, 9.039393e-06, 8.427047e-05, 0, 7.558682e-03, 1.428807e-05, 8.747799e-07, 1.317765e-02, 2.127019e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.011454, 4.725853e-03 
3.737879e-01, 7.800996e-03, 9.330986e-06, 2.128631e-04, 0, 7.563639e-03, 1.428807e-05, 8.747799e-07, 1.530259e-02, 3.070029e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.017233, 5.636227e-03 
3.814294e-01, 7.641494e-03, 9.039393e-06, 8.281250e-05, 0, 7.530980e-03, 1.720401e-05, 1.457967e-06, 1.358790e-02, 4.168127e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.013569, 7.188985e-03 
3.906155e-01, 9.186064e-03, 1.078895e-05, 9.943332e-05, 0, 9.058054e-03, 1.691241e-05, 8.747799e-07, 1.444239e-02, 2.195640e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.016281, 2.454502e-03 
3.998724e-01, 9.256921e-03, 1.078895e-05, 1.005997e-04, 0, 9.127454e-03, 1.720401e-05, 8.747799e-07, 1.074727e-02, 1.552152e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.013195, 2.668482e-03 
4.088800e-01, 9.007609e-03, 1.049736e-05, 1.005997e-04, 0, 8.878725e-03, 1.691241e-05, 8.747799e-07, 1.223686e-02, 2.932950e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.014366, 4.800581e-03 
4.170717e-01, 8.191731e-03, 1.020577e-05, 1.008913e-04, 0, 8.064596e-03, 1.487126e-05, 1.166373e-06, 8.736419e-03, 1.910453e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.008618, 1.320522e-03 
4.247150e-01, 7.643244e-03, 9.622579e-06, 8.514525e-05, 0, 7.533313e-03, 1.428807e-05, 8.747799e-07, 6.488678e-03, 1.552157e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.005754, 2.884496e-03 
4.322699e-01, 7.554891e-03, 9.330986e-06, 8.456206e-05, 0, 7.445835e-03, 1.428807e-05, 8.747799e-07, 8.282173e-03, 1.363174e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.009193, 2.226675e-03 
4.414110e-01, 9.141159e-03, 1.195533e-05, 9.651738e-05, 0, 9.013149e-03, 1.837038e-05, 1.166373e-06, 6.776470e-03, 2.255991e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.006813, 3.746481e-03 
4.505379e-01, 9.126870e-03, 1.166373e-05, 1.000165e-04, 0, 8.996528e-03, 1.691241e-05, 1.749560e-06, 7.812373e-03, 1.462685e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.005637, 2.969831e-03 
4.589139e-01, 8.376018e-03, 1.020577e-05, 9.855854e-05, 0, 8.249175e-03, 1.720401e-05, 8.747799e-07, 1.111669e-02, 2.240545e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.004189, 2.007901e-03 
4.679781e-01, 9.064178e-03, 1.108055e-05, 9.972491e-05, 0, 8.935294e-03, 1.691241e-05, 1.166373e-06, 1.951560e-02, 5.014969e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.024913, 7.192126e-03 
4.762494e-01, 8.271336e-03, 1.049736e-05, 9.943332e-05, 0, 8.146242e-03, 1.428807e-05, 8.747799e-07, 1.165960e-02, 2.351011e-03, 0.000000e+00, 0.000000, 7.500000e-01, 0, 0.015368, 3.267608e-03 
4.838262e-01, 7.576760e-03, 9.039393e-06, 8.456206e-05, 0, 7.467413e-03, 1.428807e-05, 1.457967e-06, 7.187242e-03, 1.102537e-03, 0.000000e+00, 0.000000, 3.750000e-01, 0, 0.007306, 1.669552e-03 
4.925040e-01, 8.677817e-03, 9.039393e-06, 8.514525e-05, 0, 8.565845e-03, 1.691241e-05, 8.747799e-07, 6.207152e-03, 2.316526e-03, 0.000000e+00, 0.000000, 3.750000e-01, 0, 0.006506, 3.676500e-03 
5.015784e-01, 9.074384e-03, 1.049736e-05, 9.855854e-05, 0, 8.942584e-03, 2.186950e-05, 8.747799e-07, 5.323783e-03, 7.990426e-04, 0.000000e+00, 0.000000, 3.750000e-01, 0, 0.006362, 1.329556e-03 
