TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=0.100000, lambda=0.000000, n=6, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
8.685406e-03, 8.685406e-03, 8.753639e-04, 6.982791e-03, 0, 3.038405e-04, 4.983334e-04, 2.507705e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.139772, 2.166828e-02 
1.036673e-02, 1.681328e-03, 5.339078e-04, 8.412474e-04, 0, 3.703238e-05, 2.458134e-04, 2.332748e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.119313, 2.228069e-02 
1.067291e-02, 3.061732e-04, 9.622588e-06, 2.583519e-04, 0, 7.581433e-06, 2.332748e-05, 7.289839e-06, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.125793, 2.472723e-02 
1.252424e-02, 1.851328e-03, 4.041487e-04, 2.373572e-04, 0, 1.312171e-05, 3.149210e-05, 1.165208e-03, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.117374, 2.139190e-02 
1.287823e-02, 3.539946e-04, 1.166374e-06, 3.169622e-04, 0, 8.747807e-07, 3.440804e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.139690, 2.166130e-02 
1.307068e-02, 1.924518e-04, 1.399649e-05, 1.180954e-04, 0, 1.108056e-05, 3.674079e-05, 1.253852e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.119395, 2.228682e-02 
1.322348e-02, 1.527950e-04, 1.603765e-05, 1.131383e-04, 0, 5.831871e-07, 2.245270e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.125704, 2.471753e-02 
1.433357e-02, 1.110097e-03, 9.622588e-06, 1.116803e-04, 0, 1.341330e-05, 3.032573e-05, 9.450547e-04, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.117454, 2.139961e-02 
1.449453e-02, 1.609596e-04, 1.166374e-06, 1.143047e-04, 0, 1.807880e-05, 2.682661e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.139609, 2.165439e-02 
1.461729e-02, 1.227609e-04, 1.807880e-05, 9.301835e-05, 0, 8.747807e-07, 1.049737e-05, 2.915936e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.119106, 2.226153e-02 
1.479138e-02, 1.740814e-04, 8.747807e-07, 1.125551e-04, 0, 1.662083e-05, 1.108056e-05, 3.295007e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.125580, 2.470529e-02 
1.498179e-02, 1.904106e-04, 3.499123e-05, 1.151795e-04, 0, 8.747807e-07, 1.108056e-05, 2.828458e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.117128, 2.136806e-02 
1.515004e-02, 1.682495e-04, 1.166374e-06, 9.243516e-05, 0, 5.831871e-07, 4.723816e-05, 2.682661e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.139568, 2.165095e-02 
1.530516e-02, 1.551278e-04, 1.982836e-05, 9.797544e-05, 0, 8.747807e-07, 3.586601e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.118962, 2.224905e-02 
1.546962e-02, 1.644588e-04, 2.420227e-05, 9.418472e-05, 0, 5.831871e-07, 4.490541e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.125517, 2.469914e-02 
1.570173e-02, 2.321085e-04, 1.778721e-05, 7.814707e-05, 0, 3.003414e-05, 3.324167e-05, 7.289839e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.116965, 2.135232e-02 
1.579154e-02, 8.981082e-05, 8.747807e-07, 7.610592e-05, 0, 8.747807e-07, 1.137215e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.139548, 2.164923e-02 
1.596241e-02, 1.708738e-04, 2.303589e-05, 4.373903e-05, 0, 2.974254e-05, 4.665497e-05, 2.770139e-05, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.118890, 2.224285e-02 
1.608168e-02, 1.192618e-04, 1.166374e-06, 8.281257e-05, 0, 5.831871e-07, 3.411645e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.250000e-02, 0, 0.125486, 2.469606e-02 
0.500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
