TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=4, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.467044e-04, 3.467044e-04, 3.499120e-06, 1.417143e-04, 0, 2.332746e-06, 1.350077e-04, 6.415053e-05, 1.251603e-01, 5.745822e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.120813, 3.661510e-02 
7.281085e-04, 3.814040e-04, 1.457967e-06, 9.622579e-05, 0, 2.799296e-05, 5.102883e-05, 2.046985e-04, 1.264130e-01, 3.737604e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.161734, 4.375526e-02 
8.021732e-04, 7.406470e-05, 1.749560e-06, 5.598591e-05, 0, 1.166373e-06, 1.428807e-05, 8.747799e-07, 1.251230e-01, 1.732480e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.126411, 3.763671e-02 
9.129786e-04, 1.108055e-04, 1.749560e-06, 5.423636e-05, 0, 5.831866e-07, 1.370489e-05, 4.053147e-05, 1.260677e-01, 3.225859e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.138750, 3.814014e-02 
9.832526e-04, 7.027399e-05, 1.166373e-06, 5.423636e-05, 0, 8.747799e-07, 1.341329e-05, 5.831866e-07, 1.251324e-01, 1.954689e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.125098, 3.721572e-02 
1.052360e-03, 6.910761e-05, 8.747799e-07, 5.306998e-05, 0, 8.747799e-07, 1.341329e-05, 8.747799e-07, 1.260374e-01, 3.147708e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.156949, 4.318060e-02 
1.116219e-03, 6.385893e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.251553e-01, 6.269173e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.130194, 3.807021e-02 
1.180370e-03, 6.415053e-05, 8.747799e-07, 4.957086e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.252213e-01, 1.065273e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.124258, 3.597111e-02 
1.243645e-03, 6.327575e-05, 8.747799e-07, 4.869608e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.251493e-01, 5.378231e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.127753, 3.756635e-02 
1.307796e-03, 6.415053e-05, 8.747799e-07, 4.957086e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.252417e-01, 1.137100e-03, 0.000000e+00, 0.000000, 2.500000e-01, 0, 0.141217, 4.112122e-02 
