TRM WS=1, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=4, lr=0.100000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.673561e-02, 2.673561e-02, 2.915933e-06, 1.437555e-04, 5.467374e-04, 2.597921e-02, 5.219520e-05, 1.078895e-05, 1.251603e-01, 5.745822e-04, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.121989, 3.717587e-02 
3.336498e-02, 6.629374e-03, 2.886774e-05, 1.344245e-04, 1.014745e-04, 5.643497e-03, 4.403059e-05, 6.770797e-04, 1.253282e-01, 1.393205e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.125117, 3.631872e-02 
3.860345e-02, 5.238474e-03, 3.411642e-05, 1.166373e-04, 2.682658e-05, 4.937841e-03, 8.893596e-05, 3.411642e-05, 1.252866e-01, 1.071151e-03, 0.000000e+00, 0.000000, 1.000000e-01, 0, 0.142183, 4.132833e-02 
4.339521e-02, 4.791753e-03, 3.324164e-05, 1.160541e-04, 3.936510e-05, 4.446215e-03, 4.082306e-05, 1.160541e-04, 1.252590e-01, 9.067324e-04, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.118492, 3.587891e-02 
4.741424e-02, 4.019031e-03, 1.749560e-06, 9.622579e-05, 4.461378e-05, 3.847865e-03, 2.740977e-05, 1.166373e-06, 1.258583e-01, 2.700979e-03, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.107950, 3.455518e-02 
5.067308e-02, 3.258847e-03, 1.837038e-05, 5.977663e-05, 2.303587e-05, 3.092639e-03, 4.519696e-05, 1.982834e-05, 1.263896e-01, 3.592096e-03, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.140938, 3.778943e-02 
5.365667e-02, 2.983583e-03, 4.140625e-05, 5.948503e-05, 3.819872e-05, 2.798421e-03, 3.236686e-05, 1.370489e-05, 1.261515e-01, 3.220857e-03, 0.000000e+00, 0.000000, 5.000000e-02, 0, 0.158223, 4.268841e-02 
5.668778e-02, 3.031112e-03, 9.622579e-06, 5.948503e-05, 6.444212e-05, 2.814459e-03, 3.674076e-05, 4.636334e-05, 1.260919e-01, 3.126809e-03, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.103427, 3.314592e-02 
5.972589e-02, 3.038111e-03, 1.457967e-06, 6.327575e-05, 7.406470e-05, 2.845367e-03, 5.306998e-05, 8.747799e-07, 1.263109e-01, 3.468688e-03, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.103569, 3.348472e-02 
6.262433e-02, 2.898437e-03, 1.166373e-06, 5.919344e-05, 7.289833e-05, 2.702195e-03, 5.423636e-05, 8.747799e-06, 1.264206e-01, 3.638662e-03, 0.000000e+00, 0.000000, 2.500000e-02, 0, 0.141595, 3.774804e-02 
