TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=3,b_m=3, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
7.056850e-03, 7.056850e-03, 2.915933e-06, 7.814701e-05, 0, 6.778378e-03, 1.160541e-04, 8.135453e-05, 1.390250e-01, 1.091447e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.231396, 4.534121e-02 
1.502347e-02, 7.966621e-03, 8.543684e-05, 2.338578e-04, 0, 7.628081e-03, 1.807879e-05, 1.166373e-06, 1.315137e-01, 7.788667e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.190713, 4.166442e-02 
2.313822e-02, 8.114750e-03, 3.324164e-05, 1.000165e-04, 0, 7.714976e-03, 1.749560e-05, 2.490207e-04, 1.389648e-01, 1.119493e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.055279, 2.221832e-02 
3.088556e-02, 7.747343e-03, 2.332746e-06, 7.318992e-05, 0, 7.653450e-03, 1.749560e-05, 8.747799e-07, 1.841952e-01, 1.519092e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.345040, 3.897766e-02 
3.840838e-02, 7.522816e-03, 1.749560e-06, 7.289833e-05, 0, 7.430964e-03, 1.662082e-05, 5.831866e-07, 1.301674e-01, 7.560487e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.193851, 4.857546e-02 
4.637004e-02, 7.961664e-03, 1.457967e-06, 7.114877e-05, 0, 7.869229e-03, 1.778719e-05, 2.041153e-06, 1.441276e-01, 1.273503e-02, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.244665, 4.498763e-02 
5.401183e-02, 7.641786e-03, 2.041153e-06, 7.756382e-05, 0, 7.544394e-03, 1.691241e-05, 8.747799e-07, 1.304123e-01, 7.989287e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.078537, 3.048101e-02 
6.203764e-02, 8.025814e-03, 2.332746e-06, 7.173195e-05, 0, 7.932504e-03, 1.837038e-05, 8.747799e-07, 1.547310e-01, 1.541417e-02, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.261367, 4.712177e-02 
7.087059e-02, 8.832944e-03, 2.041153e-06, 8.660321e-05, 0, 8.725055e-03, 1.778719e-05, 1.457967e-06, 1.303600e-01, 7.937227e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.195862, 5.013875e-02 
7.877918e-02, 7.908594e-03, 1.749560e-06, 8.310409e-05, 0, 7.805953e-03, 1.691241e-05, 8.747799e-07, 1.265710e-01, 4.289883e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.155952, 4.411991e-02 
8.915203e-02, 1.037285e-02, 1.457967e-06, 7.377311e-05, 0, 1.027954e-02, 1.720401e-05, 8.747799e-07, 1.303069e-01, 8.006196e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.079100, 3.092598e-02 
9.819638e-02, 9.044350e-03, 2.332746e-06, 7.814701e-05, 0, 8.942584e-03, 1.982834e-05, 1.457967e-06, 1.548540e-01, 1.558767e-02, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.260777, 4.761542e-02 
1.077291e-01, 9.532768e-03, 2.332746e-06, 8.864437e-05, 0, 9.421671e-03, 1.895356e-05, 1.166373e-06, 1.302539e-01, 7.952342e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.196247, 5.078840e-02 
1.153485e-01, 7.619333e-03, 1.749560e-06, 7.785541e-05, 0, 7.522233e-03, 1.662082e-05, 8.747799e-07, 1.267136e-01, 4.541943e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.157260, 4.482912e-02 
1.224954e-01, 7.146952e-03, 1.457967e-06, 7.231514e-05, 0, 7.056558e-03, 1.545445e-05, 1.166373e-06, 1.302061e-01, 8.025672e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.079606, 3.135520e-02 
1.290755e-01, 6.580095e-03, 2.332746e-06, 6.852443e-05, 0, 6.494075e-03, 1.457967e-05, 5.831866e-07, 1.549806e-01, 1.575652e-02, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.260203, 4.809248e-02 
1.359029e-01, 6.827366e-03, 1.457967e-06, 6.094300e-05, 0, 6.746011e-03, 1.778719e-05, 1.166373e-06, 1.301518e-01, 7.970513e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.196698, 5.142345e-02 
1.424602e-01, 6.557350e-03, 1.457967e-06, 6.298415e-05, 0, 6.476871e-03, 1.457967e-05, 1.457967e-06, 1.268504e-01, 4.787789e-03, 0.000000e+00, 0.000000, 2.500000e-01, 0, 0.158498, 4.552427e-02 
