TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=4, lr=1.000000, lambda=0.000000, n=6, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.017827e-01, 2.017827e-01, 0, 1.383582e-02, 0, 6.831192e-02, 1.128601e-01, 6.774885e-03, 0.125158, 6.307512e-04, 6.296919e-01, -0.000525, 1.000000e+00, 1, 0.125158, 6.307512e-04 
2.260547e-01, 2.427196e-02, 0, 2.060400e-03, 0, 8.135752e-03, 1.016145e-02, 3.914352e-03, 0.124828, 1.442196e-04, 1.013349e+00, -0.001018, 2.000000e+00, 1, 0.124828, 1.442196e-04 
2.439874e-01, 1.793271e-02, 0, 1.278346e-03, 0, 9.950339e-03, 6.587390e-03, 1.166374e-04, 0.123796, 4.645761e-04, 1.018522e+00, -0.006100, 4.000000e+00, 1, 0.123796, 4.645761e-04 
2.617003e-01, 1.771285e-02, 0, 1.286511e-03, 0, 7.041401e-03, 8.637001e-03, 7.479375e-04, 0.117583, 1.357037e-03, 5.626588e-01, -0.051598, 4.000000e+00, 1, 0.117583, 1.357037e-03 
2.874381e-01, 2.573780e-02, 0, 4.971962e-03, 0, 1.191510e-02, 8.723605e-03, 1.271348e-04, 0.088551, 2.036727e-03, 1.004734e+00, -0.018969, 8.000000e+00, 1, 0.088551, 2.036727e-03 
2.977214e-01, 1.028334e-02, 0, 2.845953e-04, 0, 5.361239e-03, 4.531364e-03, 1.061401e-04, 0.069492, 7.110656e-04, 1.234000e+00, -0.003923, 8.000000e+00, 0, 0.069492, 7.110656e-04 
3.060849e-01, 8.363487e-03, 0, 2.335664e-04, 0, 5.548442e-03, 2.480586e-03, 1.008914e-04, 0.064651, 2.425832e-04, 1.252149e+00, -0.001133, 8.000000e+00, 0, 0.064651, 2.425832e-04 
3.140378e-01, 7.952923e-03, 0, 2.440638e-04, 0, 5.348992e-03, 2.268015e-03, 9.185197e-05, 0.063232, 8.649321e-05, 1.257762e+00, -0.000377, 8.000000e+00, 0, 0.063232, 8.649321e-05 
3.213583e-01, 7.320456e-03, 0, 1.775805e-04, 0, 4.897314e-03, 2.161875e-03, 8.368735e-05, 0.062758, 3.130346e-05, 1.260323e+00, -0.000131, 8.000000e+00, 0, 0.062758, 3.130346e-05 
3.285787e-01, 7.220440e-03, 0, 1.411313e-04, 0, 4.869904e-03, 2.130383e-03, 7.902186e-05, 0.062592, 1.140868e-05, 1.261683e+00, -0.000047, 8.000000e+00, 0, 0.062592, 1.140868e-05 
3.359764e-01, 7.397729e-03, 0, 1.382153e-04, 0, 5.036404e-03, 2.159250e-03, 6.385899e-05, 0.062533, 4.173352e-06, 1.262454e+00, -0.000017, 8.000000e+00, 0, 0.062533, 4.173352e-06 
3.437801e-01, 7.803627e-03, 0, 1.615428e-04, 0, 5.367946e-03, 2.191326e-03, 8.281257e-05, 0.062512, 1.529761e-06, 1.262867e+00, -0.000006, 8.000000e+00, 0, 0.062512, 1.529761e-06 
3.514283e-01, 7.648208e-03, 0, 1.525034e-04, 0, 5.106386e-03, 2.292217e-03, 9.710066e-05, 0.062504, 5.613283e-07, 1.262954e+00, -0.000002, 8.000000e+00, 0, 0.062504, 5.613283e-07 
3.698876e-01, 1.845933e-02, 0, 1.277180e-04, 0, 5.203196e-03, 1.299633e-02, 1.320919e-04, 0.062502, 2.060072e-07, 1.262506e+00, -0.000001, 8.000000e+00, 0, 0.062502, 2.060072e-07 
3.775880e-01, 7.700403e-03, 0, 1.647504e-04, 0, 5.357157e-03, 2.053110e-03, 1.253852e-04, 0.062501, 7.550955e-08, 1.260771e+00, -0.000000, 8.000000e+00, 0, 0.062501, 7.550955e-08 
3.847449e-01, 7.156872e-03, 0, 1.679579e-04, 0, 4.932014e-03, 1.977588e-03, 7.931345e-05, 0.062500, 2.754790e-08, 1.255636e+00, -0.000000, 8.000000e+00, 0, 0.062500, 2.754790e-08 
0.500000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
