TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.118804e-02, 5.118804e-02, 0, 1.199382e-02, 5.828950e-04, 2.897504e-02, 7.003196e-03, 2.633088e-03, 1.300610e-01, 7.439318e-03, 1.114411e+00, -0.001474, 2.000000e+00, 1, 0.130061, 7.439318e-03 
6.565894e-02, 1.447090e-02, 0, 8.152949e-04, 4.093970e-04, 6.613628e-03, 3.309876e-03, 3.322706e-03, 1.284185e-01, 7.059776e-03, 1.528258e-02, -0.008441, 1.000000e+00, 1, 0.128419, 7.059776e-03 
8.170561e-02, 1.604667e-02, 0, 1.196116e-03, 9.963743e-04, 6.441588e-03, 5.047772e-03, 2.364822e-03, 1.284185e-01, 7.059776e-03, 9.241628e-01, -0.004675, 1.648526e+00, 0, 0.128419, 7.059776e-03 
8.874059e-02, 7.034980e-03, 0, 3.120048e-04, 3.907350e-05, 5.329159e-03, 1.269597e-03, 8.514525e-05, 1.240985e-01, 1.160432e-03, 7.842140e-01, -0.002866, 1.648526e+00, 1, 0.124098, 1.160432e-03 
9.402514e-02, 5.284545e-03, 0, 4.009408e-04, 6.794124e-05, 3.569394e-03, 1.158500e-03, 8.776959e-05, 1.218507e-01, 3.298384e-03, 9.588116e-01, -0.000953, 1.648526e+00, 0, 0.121851, 3.298384e-03 
9.950651e-02, 5.481371e-03, 0, 2.426056e-04, 5.306998e-05, 3.194696e-03, 1.095516e-03, 8.954830e-04, 1.209372e-01, 1.848060e-03, 1.341519e+00, -0.000751, 3.297052e+00, 1, 0.120937, 1.848060e-03 
1.043677e-01, 4.861152e-03, 0, 2.201529e-04, 6.473371e-05, 3.425930e-03, 1.049444e-03, 1.008913e-04, 1.199298e-01, 2.387715e-03, 1.000319e+00, -0.000055, 3.297052e+00, 0, 0.119930, 2.387715e-03 
1.092851e-01, 4.917430e-03, 0, 1.997414e-04, 5.919344e-05, 3.513991e-03, 1.053818e-03, 9.068552e-05, 1.198744e-01, 2.026034e-03, 9.940160e-01, -0.002969, 3.601984e+00, 0, 0.119874, 2.026034e-03 
1.144536e-01, 5.168491e-03, 0, 1.822458e-04, 4.228103e-05, 3.538193e-03, 1.311004e-03, 9.476782e-05, 1.169231e-01, 4.555079e-03, 1.147217e+00, -0.000900, 3.601984e+00, 0, 0.116923, 4.555079e-03 
1.199215e-01, 5.467958e-03, 0, 2.052817e-04, 4.927927e-05, 4.198652e-03, 8.914007e-04, 1.233440e-04, 1.158903e-01, 4.385326e-03, 6.305682e-01, -0.013824, 3.601984e+00, 1, 0.115890, 4.385326e-03 
1.252250e-01, 5.303499e-03, 0, 1.991582e-04, 5.015405e-05, 3.686614e-03, 1.220026e-03, 1.475462e-04, 1.071735e-01, 4.591634e-03, 1.236340e+00, -0.002872, 7.203969e+00, 1, 0.107173, 4.591634e-03 
1.303775e-01, 5.152454e-03, 0, 2.017826e-04, 5.277839e-05, 3.747557e-03, 1.082686e-03, 6.764965e-05, 1.036232e-01, 4.947418e-03, -6.727219e-02, 0.150531, 3.601984e+00, 1, 0.103623, 4.947418e-03 
1.350786e-01, 4.701067e-03, 0, 2.391065e-04, 5.102883e-05, 3.258264e-03, 1.117094e-03, 3.557438e-05, 1.036232e-01, 4.947418e-03, -3.665113e-01, 0.001536, 1.800992e+00, 1, 0.103623, 4.947418e-03 
1.405025e-01, 5.423927e-03, 0, 2.201529e-04, 4.111466e-05, 3.888688e-03, 1.162583e-03, 1.113886e-04, 1.036232e-01, 4.947418e-03, 4.540067e+00, -0.000118, 3.601984e+00, 1, 0.103623, 4.947418e-03 
1.453531e-01, 4.850655e-03, 0, 1.767055e-04, 2.566021e-05, 3.225897e-03, 1.292633e-03, 1.297590e-04, 1.030889e-01, 5.267835e-03, 1.174800e+00, -0.008574, 7.203969e+00, 1, 0.103089, 5.267835e-03 
1.501058e-01, 4.752679e-03, 0, 1.874945e-04, 2.799296e-05, 3.352448e-03, 1.099307e-03, 8.543684e-05, 9.301618e-02, 6.291363e-03, -2.447066e-01, -0.020234, 3.601984e+00, 0, 0.093016, 6.291363e-03 
1.547564e-01, 4.650622e-03, 0, 1.991582e-04, 2.886774e-05, 3.572893e-03, 7.275253e-04, 1.221776e-04, 9.301618e-02, 6.291363e-03, 4.838531e-01, -0.016514, 3.601984e+00, 1, 0.093016, 6.291363e-03 
1.596482e-01, 4.891769e-03, 0, 1.787467e-04, 4.053147e-05, 3.427388e-03, 1.046237e-03, 1.988666e-04, 8.502585e-02, 4.538894e-03, 9.899582e-01, -0.001602, 3.601984e+00, 0, 0.085026, 4.538894e-03 
1.642286e-01, 4.580348e-03, 0, 1.624175e-04, 4.519696e-05, 3.295296e-03, 9.578840e-04, 1.195533e-04, 8.343984e-02, 4.056013e-03, 1.017977e+00, -0.002428, 7.203969e+00, 1, 0.083440, 4.056013e-03 
1.694277e-01, 5.199109e-03, 0, 1.819542e-04, 8.222931e-05, 3.729478e-03, 1.070439e-03, 1.350077e-04, 8.096867e-02, 6.203341e-03, 1.004175e+00, -0.003335, 7.203969e+00, 0, 0.080969, 6.203341e-03 
1.741319e-01, 4.704275e-03, 0, 1.341329e-04, 9.301826e-05, 3.333495e-03, 1.039239e-03, 1.043904e-04, 7.761973e-02, 3.726326e-03, -1.657356e-01, 0.082269, 3.601984e+00, 1, 0.077620, 3.726326e-03 
1.793261e-01, 5.194152e-03, 0, 1.367573e-04, 5.102883e-05, 3.690113e-03, 1.185035e-03, 1.312170e-04, 7.761973e-02, 3.726326e-03, 1.262293e+00, -0.002311, 3.601984e+00, 0, 0.077620, 3.726326e-03 
1.843336e-01, 5.007532e-03, 0, 1.370489e-04, 5.423636e-05, 3.809667e-03, 8.686565e-04, 1.379236e-04, 7.470300e-02, 3.858848e-03, 1.047118e+00, -0.000028, 7.203969e+00, 1, 0.074703, 3.858848e-03 
1.888271e-01, 4.493453e-03, 0, 1.131382e-04, 2.624340e-05, 3.197321e-03, 9.759628e-04, 1.807879e-04, 7.467364e-02, 3.397389e-03, -3.043338e-01, 0.002440, 3.601984e+00, 1, 0.074674, 3.397389e-03 
1.937264e-01, 4.899351e-03, 0, 1.729148e-04, 1.078895e-05, 3.525071e-03, 1.102514e-03, 8.806118e-05, 7.467364e-02, 3.397389e-03, 4.868303e+00, -0.000996, 7.203969e+00, 1, 0.074674, 3.397389e-03 
1.986806e-01, 4.954170e-03, 0, 1.460882e-04, 8.747799e-06, 3.780216e-03, 9.637159e-04, 5.540273e-05, 6.982399e-02, 2.076955e-03, 1.063343e+00, -0.000014, 1.440794e+01, 1, 0.069824, 2.076955e-03 
2.044606e-01, 5.779963e-03, 0, 1.373404e-04, 3.178367e-05, 4.573641e-03, 9.756712e-04, 6.152619e-05, 6.980923e-02, 1.898856e-03, 1.009456e+00, -0.000051, 1.440794e+01, 0, 0.069809, 1.898856e-03 
2.107496e-01, 6.289084e-03, 0, 1.081811e-04, 5.102883e-05, 4.098344e-03, 1.921308e-03, 1.102223e-04, 6.975768e-02, 2.271533e-03, 9.987645e-01, -0.001188, 1.440794e+01, 0, 0.069758, 2.271533e-03 
2.177205e-01, 6.970830e-03, 0, 1.338413e-04, 3.907350e-05, 5.473206e-03, 1.214195e-03, 1.105139e-04, 6.857134e-02, 2.779573e-03, 1.149485e+00, -0.000388, 1.440794e+01, 0, 0.068571, 2.779573e-03 
2.226510e-01, 4.930551e-03, 0, 1.108055e-04, 3.994828e-05, 3.663870e-03, 9.908341e-04, 1.250935e-04, 6.812588e-02, 2.471514e-03, 1.218618e+00, -0.002323, 1.440794e+01, 0, 0.068126, 2.471514e-03 
2.274477e-01, 4.796710e-03, 0, 1.262599e-04, 3.674076e-05, 3.444592e-03, 1.066357e-03, 1.227608e-04, 6.529450e-02, 1.169850e-03, 1.126991e+00, -0.000102, 1.440794e+01, 0, 0.065295, 1.169850e-03 
2.326780e-01, 5.230309e-03, 0, 1.207196e-04, 5.277839e-05, 3.834160e-03, 1.080353e-03, 1.422975e-04, 6.518005e-02, 7.181468e-04, 1.061088e+00, -0.000030, 1.440794e+01, 0, 0.065180, 7.181468e-04 
2.382131e-01, 5.535024e-03, 0, 1.277179e-04, 8.106294e-05, 4.044399e-03, 1.143921e-03, 1.379236e-04, 6.514834e-02, 7.035451e-04, 1.179416e+00, -0.000452, 1.440794e+01, 0, 0.065148, 7.035451e-04 
2.441910e-01, 5.977954e-03, 0, 1.656250e-04, 4.286422e-05, 4.262511e-03, 1.343370e-03, 1.635838e-04, 6.461518e-02, 7.427619e-04, 1.016374e+00, -0.000019, 1.440794e+01, 0, 0.064615, 7.427619e-04 
2.487687e-01, 4.577723e-03, 0, 1.717485e-04, 5.540273e-05, 3.399978e-03, 7.954665e-04, 1.551276e-04, 6.459622e-02, 6.426291e-04, 9.080895e-01, 0.000000, 7.203969e+00, 1, 0.064596, 6.426291e-04 
2.536031e-01, 4.834325e-03, 0, 1.011829e-04, 4.490537e-05, 3.474334e-03, 1.116219e-03, 9.768376e-05, 6.459622e-02, 6.426291e-04, 1.176825e+00, -0.000317, 7.203969e+00, 0, 0.064596, 6.426291e-04 
2.586975e-01, 5.094427e-03, 0, 1.093475e-04, 1.020577e-05, 3.688655e-03, 1.165790e-03, 1.204280e-04, 6.422346e-02, 4.800480e-04, 1.090679e+00, -0.000068, 7.203969e+00, 0, 0.064223, 4.800480e-04 
2.634312e-01, 4.733726e-03, 0, 1.163457e-04, 1.137214e-05, 3.670577e-03, 8.511609e-04, 8.427047e-05, 6.414928e-02, 7.261886e-04, 1.093821e+00, -0.000100, 7.203969e+00, 0, 0.064149, 7.261886e-04 
2.679967e-01, 4.565476e-03, 0, 1.597931e-04, 9.622579e-06, 3.332328e-03, 9.981239e-04, 6.560849e-05, 6.403954e-02, 6.048570e-04, 1.249314e+00, -0.000164, 7.203969e+00, 0, 0.064040, 6.048570e-04 
2.722277e-01, 4.231019e-03, 0, 1.350077e-04, 8.164613e-06, 3.123548e-03, 9.438875e-04, 2.041153e-05, 6.383477e-02, 4.802426e-04, 1.140501e+00, -0.000090, 7.203969e+00, 0, 0.063835, 4.802426e-04 
2.763249e-01, 4.097178e-03, 0, 9.505942e-05, 8.747799e-06, 3.138127e-03, 8.257922e-04, 2.945092e-05, 6.373209e-02, 4.509009e-04, 1.271733e+00, -0.000029, 7.203969e+00, 0, 0.063732, 4.509009e-04 
2.806215e-01, 4.296627e-03, 0, 1.303422e-04, 1.020577e-05, 3.195863e-03, 9.398052e-04, 2.041153e-05, 6.369552e-02, 4.573218e-04, 9.998914e-01, -0.000011, 7.203969e+00, 0, 0.063696, 4.573218e-04 
2.893518e-01, 8.730304e-03, 0, 9.330986e-05, 7.873019e-06, 3.092347e-03, 5.508781e-03, 2.799296e-05, 6.368438e-02, 3.252212e-04, 1.035558e+00, -0.000030, 7.203969e+00, 0, 0.063684, 3.252212e-04 
2.941969e-01, 4.845114e-03, 0, 1.186785e-04, 1.195533e-05, 3.725396e-03, 9.675066e-04, 2.157790e-05, 6.365360e-02, 3.371768e-04, 1.236180e+00, -0.000282, 7.203969e+00, 0, 0.063654, 3.371768e-04 
2.984799e-01, 4.282922e-03, 0, 9.680898e-05, 8.456206e-06, 3.206068e-03, 9.500110e-04, 2.157790e-05, 6.330546e-02, 3.164953e-04, 1.039291e+00, -0.000017, 7.203969e+00, 0, 0.063305, 3.164953e-04 
3.024846e-01, 4.004742e-03, 0, 9.360145e-05, 8.164613e-06, 3.099054e-03, 7.838028e-04, 2.011994e-05, 6.328822e-02, 2.209072e-04, 1.000094e+00, -0.000010, 7.203969e+00, 0, 0.063288, 2.209072e-04 
3.064561e-01, 3.971501e-03, 0, 9.272667e-05, 8.164613e-06, 3.073977e-03, 7.768046e-04, 1.982834e-05, 6.327792e-02, 3.511044e-04, 9.977161e-01, -0.000001, 7.203969e+00, 0, 0.063278, 3.511044e-04 
3.106166e-01, 4.160453e-03, 0, 8.922755e-05, 7.581426e-06, 3.044234e-03, 9.342650e-04, 8.514525e-05, 6.327656e-02, 3.615826e-04, -3.807071e-01, 0.000587, 3.601984e+00, 1, 0.063277, 3.615826e-04 
3.147788e-01, 4.162203e-03, 0, 9.243508e-05, 8.456206e-06, 3.028488e-03, 9.637159e-04, 6.910761e-05, 6.327656e-02, 3.615826e-04, -4.337749e+00, 0.000024, 1.800992e+00, 1, 0.063277, 3.615826e-04 
3.196411e-01, 4.862318e-03, 0, 9.097711e-05, 7.873019e-06, 3.651623e-03, 1.087060e-03, 2.478543e-05, 6.327656e-02, 3.615826e-04, 1.000592e+00, -0.000011, 1.800992e+00, 0, 0.063277, 3.615826e-04 
3.246661e-01, 5.025027e-03, 0, 1.195533e-04, 9.914172e-06, 3.699444e-03, 1.169872e-03, 2.624340e-05, 6.326513e-02, 2.185646e-04, 1.009653e+00, -0.000001, 1.800992e+00, 0, 0.063265, 2.185646e-04 
3.292552e-01, 4.589095e-03, 0, 1.256767e-04, 9.622579e-06, 3.479875e-03, 9.532185e-04, 2.070312e-05, 6.326380e-02, 2.142876e-04, 1.000314e+00, -0.000001, 1.800992e+00, 0, 0.063264, 2.142876e-04 
3.334264e-01, 4.171242e-03, 0, 9.389304e-05, 8.164613e-06, 3.111884e-03, 9.365977e-04, 2.070312e-05, 6.326232e-02, 2.842214e-04, 9.997763e-01, -0.000001, 1.800992e+00, 0, 0.063262, 2.842214e-04 
3.375744e-01, 4.147915e-03, 0, 9.126870e-05, 7.581426e-06, 3.064062e-03, 9.403884e-04, 4.461378e-05, 6.326088e-02, 2.138871e-04, -2.905899e+00, 0.000181, 9.004961e-01, 1, 0.063261, 2.138871e-04 
3.416126e-01, 4.038276e-03, 0, 9.156030e-05, 7.873019e-06, 3.061147e-03, 7.561014e-04, 1.215944e-04, 6.326088e-02, 2.138871e-04, 1.218534e+00, -0.000015, 1.800992e+00, 1, 0.063261, 2.138871e-04 
3.456194e-01, 4.006784e-03, 0, 9.243508e-05, 7.289833e-06, 3.079517e-03, 8.068387e-04, 2.070312e-05, 6.324201e-02, 2.726170e-04, 9.980587e-01, -0.000003, 1.800992e+00, 0, 0.063242, 2.726170e-04 
3.505820e-01, 4.962626e-03, 0, 9.214348e-05, 1.399648e-05, 3.710233e-03, 1.122343e-03, 2.391065e-05, 6.323929e-02, 2.657192e-04, 1.004503e+00, -0.000003, 1.800992e+00, 0, 0.063239, 2.657192e-04 
3.550286e-01, 4.446506e-03, 0, 1.143046e-04, 9.622579e-06, 3.464712e-03, 8.368728e-04, 2.099472e-05, 6.323651e-02, 2.072861e-04, 1.000077e+00, -0.000009, 1.800992e+00, 0, 0.063237, 2.072861e-04 
3.594459e-01, 4.417347e-03, 0, 9.360145e-05, 8.164613e-06, 3.350990e-03, 9.010233e-04, 6.356734e-05, 6.322729e-02, 3.269510e-04, 9.479383e-01, -0.000000, 3.601984e+00, 1, 0.063227, 3.269510e-04 
3.640697e-01, 4.623795e-03, 0, 1.105139e-04, 1.049736e-05, 3.434678e-03, 1.060525e-03, 7.581426e-06, 6.322728e-02, 3.266734e-04, -1.118562e-01, 0.002583, 1.800992e+00, 1, 0.063227, 3.266734e-04 
3.686556e-01, 4.585888e-03, 0, 1.061400e-04, 9.039393e-06, 3.547524e-03, 8.983990e-04, 2.478543e-05, 6.322728e-02, 3.266734e-04, 1.264149e+00, -0.000058, 2.001360e+00, 0, 0.063227, 3.266734e-04 
