TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.695109e-03, 5.695109e-03, 0, 2.046985e-04, 1.405480e-04, 3.571435e-03, 1.510745e-03, 2.676827e-04, 1.251603e-01, 5.745822e-04, 9.524815e-01, -0.000139, 1.000000e+00, 0, 0.125160, 5.745822e-04 
1.019060e-02, 4.495494e-03, 0, 1.029324e-04, 8.456206e-06, 3.002828e-03, 1.357950e-03, 2.332746e-05, 1.250282e-01, 7.295506e-05, 9.964584e-01, -0.000001, 1.000000e+00, 0, 0.125028, 7.295506e-05 
1.504505e-02, 4.854445e-03, 0, 9.243508e-05, 7.873019e-06, 3.259138e-03, 1.471671e-03, 2.332746e-05, 1.250268e-01, 8.481985e-05, 9.776342e-01, -0.000028, 1.000000e+00, 0, 0.125027, 8.481985e-05 
1.984497e-02, 4.799917e-03, 0, 9.564260e-05, 8.164613e-06, 3.046567e-03, 1.627674e-03, 2.186950e-05, 1.249998e-01, 1.899207e-05, 8.346630e-01, -0.000165, 2.000000e+00, 1, 0.125000, 1.899207e-05 
2.420924e-02, 4.364277e-03, 0, 9.243508e-05, 7.873019e-06, 2.988831e-03, 1.257934e-03, 1.720401e-05, 1.248619e-01, 1.995397e-04, 5.903605e-01, -0.001719, 2.000000e+00, 1, 0.124862, 1.995397e-04 
2.886045e-02, 4.651205e-03, 0, 8.427047e-05, 6.998239e-06, 2.910101e-03, 1.626799e-03, 2.303587e-05, 1.238472e-01, 1.257904e-03, 9.175647e-01, -0.002669, 2.628246e+00, 0, 0.123847, 1.257904e-03 
3.337227e-02, 4.511823e-03, 0, 9.447623e-05, 8.164613e-06, 3.010992e-03, 1.376612e-03, 2.157790e-05, 1.213985e-01, 4.089828e-03, 1.234674e+00, -0.001128, 2.628246e+00, 0, 0.121399, 4.089828e-03 
3.775113e-02, 4.378857e-03, 0, 9.097711e-05, 7.581426e-06, 3.062604e-03, 1.198448e-03, 1.924516e-05, 1.200054e-01, 3.894061e-03, 3.507407e-01, -0.003786, 2.628246e+00, 1, 0.120005, 3.894061e-03 
4.220988e-02, 4.458753e-03, 0, 9.389304e-05, 7.581426e-06, 2.972794e-03, 1.362907e-03, 2.157790e-05, 1.186775e-01, 2.225968e-03, 9.759942e-01, -0.000517, 3.338153e+00, 0, 0.118678, 2.225968e-03 
4.694361e-02, 4.733726e-03, 0, 9.156030e-05, 7.581426e-06, 3.220356e-03, 1.392358e-03, 2.186950e-05, 1.181728e-01, 1.838879e-03, 1.250068e+00, -0.002901, 3.338153e+00, 0, 0.118173, 1.838879e-03 
5.147876e-02, 4.535151e-03, 0, 9.389304e-05, 8.164613e-06, 2.990289e-03, 1.364948e-03, 7.785541e-05, 1.145465e-01, 2.194829e-03, -3.744991e+00, -0.000063, 1.669076e+00, 0, 0.114547, 2.194829e-03 
5.606494e-02, 4.586180e-03, 0, 9.243508e-05, 7.581426e-06, 3.069311e-03, 1.394399e-03, 2.245268e-05, 1.145465e-01, 2.194829e-03, 2.917278e+00, -0.000104, 3.338153e+00, 1, 0.114547, 2.194829e-03 
6.090334e-02, 4.838408e-03, 0, 9.389304e-05, 7.581426e-06, 3.320956e-03, 1.410145e-03, 5.831866e-06, 1.142420e-01, 2.271325e-03, -4.390380e-01, 0.004351, 1.669076e+00, 1, 0.114242, 2.271325e-03 
6.515477e-02, 4.251430e-03, 0, 9.301826e-05, 8.164613e-06, 2.955590e-03, 1.175121e-03, 1.953675e-05, 1.142420e-01, 2.271325e-03, 5.398734e-01, -0.017798, 1.669076e+00, 1, 0.114242, 2.271325e-03 
6.991941e-02, 4.764635e-03, 0, 9.301826e-05, 7.581426e-06, 3.244850e-03, 1.396732e-03, 2.245268e-05, 1.046331e-01, 6.526283e-03, 2.943002e+00, -0.000101, 3.338153e+00, 1, 0.104633, 6.526283e-03 
7.446039e-02, 4.540983e-03, 0, 9.535101e-05, 7.873019e-06, 2.962880e-03, 1.453301e-03, 2.157790e-05, 1.043366e-01, 6.468542e-03, 1.641247e+00, -0.007781, 6.676306e+00, 1, 0.104337, 6.468542e-03 
7.895705e-02, 4.496660e-03, 0, 9.214348e-05, 7.873019e-06, 2.986499e-03, 1.388276e-03, 2.186950e-05, 9.156549e-02, 7.306083e-03, 9.827569e-01, -0.006507, 6.676306e+00, 0, 0.091565, 7.306083e-03 
8.357997e-02, 4.622920e-03, 0, 9.301826e-05, 7.581426e-06, 2.961130e-03, 1.533198e-03, 2.799296e-05, 8.517068e-02, 1.384493e-03, 1.258188e+00, -0.000811, 6.676306e+00, 0, 0.085171, 1.384493e-03 
8.819560e-02, 4.615630e-03, 0, 1.455051e-04, 1.137214e-05, 3.047733e-03, 1.388859e-03, 2.216109e-05, 8.414999e-02, 1.425277e-03, 1.231779e+00, -0.000510, 6.676306e+00, 0, 0.084150, 1.425277e-03 
9.414032e-02, 5.944713e-03, 0, 9.535101e-05, 7.581426e-06, 3.979082e-03, 1.834122e-03, 2.857614e-05, 8.352178e-02, 2.110826e-03, 1.232762e+00, -0.001431, 6.676306e+00, 0, 0.083522, 2.110826e-03 
9.864922e-02, 4.508907e-03, 0, 1.213028e-04, 9.622579e-06, 3.001953e-03, 1.369905e-03, 6.123459e-06, 8.175783e-02, 1.587678e-03, -5.194166e-02, 0.010352, 3.338153e+00, 1, 0.081758, 1.587678e-03 
1.030972e-01, 4.447964e-03, 0, 9.156030e-05, 7.581426e-06, 2.976584e-03, 1.349202e-03, 2.303587e-05, 8.175783e-02, 1.587678e-03, 2.300284e+00, -0.001552, 6.676306e+00, 1, 0.081758, 1.587678e-03 
1.075921e-01, 4.494911e-03, 0, 9.185189e-05, 7.289833e-06, 3.010409e-03, 1.363199e-03, 2.216109e-05, 7.818826e-02, 2.058674e-03, 1.205452e+00, -0.003371, 1.335261e+01, 1, 0.078188, 2.058674e-03 
1.120092e-01, 4.417055e-03, 0, 9.593420e-05, 7.581426e-06, 2.948300e-03, 1.343954e-03, 2.128631e-05, 7.412528e-02, 3.363385e-03, 1.205904e+00, -0.001294, 1.335261e+01, 0, 0.074125, 3.363385e-03 
1.161139e-01, 4.104759e-03, 0, 9.126870e-05, 7.581426e-06, 2.944218e-03, 1.040405e-03, 2.128631e-05, 7.256534e-02, 2.208712e-03, 1.004889e+00, -0.000001, 1.335261e+01, 0, 0.072565, 2.208712e-03 
1.209255e-01, 4.811581e-03, 0, 9.330986e-05, 7.581426e-06, 3.218899e-03, 1.469339e-03, 2.245268e-05, 7.256429e-02, 2.189251e-03, 8.434242e-01, -0.002116, 1.335261e+01, 0, 0.072564, 2.189251e-03 
1.253980e-01, 4.472458e-03, 0, 1.367573e-04, 9.039393e-06, 3.043068e-03, 1.263474e-03, 2.011994e-05, 7.077990e-02, 4.098574e-03, 1.099704e+00, -0.003572, 1.335261e+01, 0, 0.070780, 4.098574e-03 
1.296852e-01, 4.287296e-03, 0, 8.514525e-05, 6.998239e-06, 2.789673e-03, 1.383902e-03, 2.157790e-05, 6.685152e-02, 4.643465e-03, 1.067214e+00, -0.000398, 1.335261e+01, 0, 0.066852, 4.643465e-03 
1.343936e-01, 4.708357e-03, 0, 9.243508e-05, 7.289833e-06, 2.953257e-03, 1.632048e-03, 2.332746e-05, 6.642692e-02, 3.506712e-03, 1.182749e+00, -0.000457, 1.335261e+01, 0, 0.066427, 3.506712e-03 
1.388745e-01, 4.480914e-03, 0, 9.505942e-05, 8.164613e-06, 3.073102e-03, 1.284760e-03, 1.982834e-05, 6.588650e-02, 3.240302e-03, 1.158018e+00, -0.000789, 1.335261e+01, 0, 0.065887, 3.240302e-03 
1.428877e-01, 4.013199e-03, 0, 8.660321e-05, 7.289833e-06, 2.880650e-03, 1.017369e-03, 2.128631e-05, 6.497253e-02, 3.618705e-03, 8.781107e-01, -0.003048, 1.335261e+01, 0, 0.064973, 3.618705e-03 
1.473911e-01, 4.503367e-03, 0, 1.014745e-04, 1.662082e-05, 2.970753e-03, 1.392941e-03, 2.157790e-05, 6.229648e-02, 1.565198e-03, 6.461295e-01, -0.006010, 1.335261e+01, 0, 0.062296, 1.565198e-03 
1.517694e-01, 4.378273e-03, 0, 9.418464e-05, 7.581426e-06, 2.991747e-03, 1.264640e-03, 2.011994e-05, 5.841313e-02, 4.118282e-03, 1.053652e+00, -0.000501, 1.335261e+01, 0, 0.058413, 4.118282e-03 
1.562902e-01, 4.520863e-03, 0, 9.272667e-05, 6.998239e-06, 2.999620e-03, 1.415686e-03, 5.831866e-06, 5.788535e-02, 3.988428e-03, 1.094438e+00, 0.006612, 6.676306e+00, 0, 0.057885, 3.988428e-03 
1.604877e-01, 4.197486e-03, 0, 8.689481e-05, 6.998239e-06, 2.736603e-03, 1.345120e-03, 2.186950e-05, 5.788535e-02, 3.988428e-03, 1.436148e+00, -0.000023, 1.335261e+01, 1, 0.057885, 3.988428e-03 
1.652897e-01, 4.801959e-03, 0, 9.389304e-05, 7.581426e-06, 2.911268e-03, 1.766181e-03, 2.303587e-05, 5.785193e-02, 3.977185e-03, 1.083763e+00, -0.000772, 1.335261e+01, 0, 0.057852, 3.977185e-03 
1.698525e-01, 4.562852e-03, 0, 9.535101e-05, 8.456206e-06, 3.052982e-03, 1.400231e-03, 5.831866e-06, 5.701537e-02, 3.112614e-03, 1.213470e+00, 0.006496, 6.676306e+00, 0, 0.057015, 3.112614e-03 
1.740844e-01, 4.231894e-03, 0, 9.243508e-05, 7.581426e-06, 3.036944e-03, 1.089684e-03, 5.248680e-06, 5.701537e-02, 3.112614e-03, -3.837883e-01, -0.056869, 3.338153e+00, 1, 0.057015, 3.112614e-03 
1.782834e-01, 4.198944e-03, 0, 8.776959e-05, 7.289833e-06, 3.007785e-03, 1.091434e-03, 4.665493e-06, 5.701537e-02, 3.112614e-03, -5.487839e-01, -0.022899, 1.669076e+00, 1, 0.057015, 3.112614e-03 
1.839823e-01, 5.698900e-03, 0, 8.981074e-05, 7.581426e-06, 4.072975e-03, 1.502580e-03, 2.595180e-05, 5.701537e-02, 3.112614e-03, 1.264955e+00, -0.000005, 1.988863e+00, 0, 0.057015, 3.112614e-03 
1.882106e-01, 4.228395e-03, 0, 1.017661e-04, 9.039393e-06, 2.833995e-03, 1.265807e-03, 1.778719e-05, 5.700862e-02, 3.111145e-03, 4.474601e-01, -0.023697, 1.988863e+00, 1, 0.057009, 3.111145e-03 
1.923096e-01, 4.098927e-03, 0, 8.543684e-05, 6.998239e-06, 2.774510e-03, 1.214195e-03, 1.778719e-05, 4.640502e-02, 7.841456e-03, 7.888149e-01, -0.021570, 1.988863e+00, 1, 0.046405, 7.841456e-03 
1.967150e-01, 4.405392e-03, 0, 8.922755e-05, 7.289833e-06, 2.942468e-03, 1.343954e-03, 2.245268e-05, 2.939046e-02, 8.701585e-03, 1.242011e+00, -0.001103, 1.988863e+00, 0, 0.029390, 8.701585e-03 
2.007917e-01, 4.076766e-03, 0, 9.389304e-05, 7.581426e-06, 2.990581e-03, 9.645907e-04, 2.011994e-05, 2.802029e-02, 9.320676e-03, 1.039844e+00, -0.001107, 3.977726e+00, 1, 0.028020, 9.320676e-03 
2.049743e-01, 4.182614e-03, 0, 8.660321e-05, 7.289833e-06, 2.719691e-03, 1.348619e-03, 2.041153e-05, 2.686942e-02, 6.185431e-03, 1.881254e+00, -0.003730, 7.955452e+00, 1, 0.026869, 6.185431e-03 
2.088310e-01, 3.856613e-03, 0, 8.514525e-05, 6.998239e-06, 2.801045e-03, 9.433043e-04, 2.011994e-05, 1.985161e-02, 5.221033e-03, 1.262192e+00, -0.000017, 7.955452e+00, 0, 0.019852, 5.221033e-03 
2.126677e-01, 3.836785e-03, 0, 8.543684e-05, 6.998239e-06, 2.759931e-03, 9.645907e-04, 1.982834e-05, 1.982987e-02, 5.212143e-03, 1.034233e+00, -0.000052, 7.955452e+00, 0, 0.019830, 5.212143e-03 
2.169574e-01, 4.289629e-03, 0, 8.456206e-05, 7.289833e-06, 2.921182e-03, 1.271347e-03, 5.248680e-06, 1.977601e-02, 5.954062e-03, -1.966174e+00, 0.000005, 3.977726e+00, 1, 0.019776, 5.954062e-03 
2.210569e-01, 4.099510e-03, 0, 8.660321e-05, 6.998239e-06, 2.728439e-03, 1.257350e-03, 2.011994e-05, 1.977601e-02, 5.954062e-03, 1.726278e+00, -0.000007, 7.955452e+00, 1, 0.019776, 5.954062e-03 
2.255016e-01, 4.444757e-03, 0, 8.572843e-05, 6.998239e-06, 2.822915e-03, 1.507246e-03, 2.186950e-05, 1.976419e-02, 5.949543e-03, 9.868588e-01, -0.004970, 7.955452e+00, 0, 0.019764, 5.949543e-03 
2.301537e-01, 4.652080e-03, 0, 1.163457e-04, 9.039393e-06, 2.899312e-03, 1.595890e-03, 3.149208e-05, 1.485921e-02, 3.176975e-03, 1.014722e+00, -0.000051, 7.955452e+00, 0, 0.014859, 3.176975e-03 
2.345069e-01, 4.353196e-03, 0, 1.084727e-04, 9.622579e-06, 2.949466e-03, 1.265223e-03, 2.041153e-05, 1.480707e-02, 3.059049e-03, 1.004608e+00, -0.000012, 7.955452e+00, 0, 0.014807, 3.059049e-03 
2.387225e-01, 4.215564e-03, 0, 8.631162e-05, 6.706646e-06, 2.826122e-03, 1.276595e-03, 1.982834e-05, 1.479540e-02, 3.102194e-03, 1.262163e+00, -0.000001, 7.955452e+00, 0, 0.014795, 3.102194e-03 
2.428564e-01, 4.133918e-03, 0, 8.631162e-05, 6.998239e-06, 3.086807e-03, 9.482614e-04, 5.540273e-06, 1.479452e-02, 3.102799e-03, -1.133038e-02, 0.000042, 3.977726e+00, 1, 0.014795, 3.102799e-03 
2.477342e-01, 4.877773e-03, 0, 9.593420e-05, 7.873019e-06, 3.433220e-03, 1.317710e-03, 2.303587e-05, 1.479452e-02, 3.102799e-03, 8.459679e+00, -0.000000, 7.955452e+00, 1, 0.014795, 3.102799e-03 
2.518611e-01, 4.126920e-03, 0, 8.835277e-05, 7.581426e-06, 2.747101e-03, 1.264057e-03, 1.982834e-05, 1.479419e-02, 3.102948e-03, 1.263220e+00, -0.000000, 7.955452e+00, 0, 0.014794, 3.102948e-03 
2.564630e-01, 4.601926e-03, 0, 8.543684e-05, 6.998239e-06, 3.285673e-03, 1.202822e-03, 2.099472e-05, 1.479405e-02, 3.103048e-03, 1.145228e+00, -0.001717, 7.955452e+00, 0, 0.014794, 3.103048e-03 
2.619047e-01, 5.441714e-03, 0, 9.068552e-05, 7.289833e-06, 3.439635e-03, 1.875237e-03, 2.886774e-05, 1.282806e-02, 3.773901e-03, 1.215129e+00, -0.003889, 7.955452e+00, 0, 0.012828, 3.773901e-03 
2.659421e-01, 4.037401e-03, 0, 1.472546e-04, 9.039393e-06, 2.910976e-03, 9.503026e-04, 1.982834e-05, 8.102990e-03, 2.777196e-03, 1.291182e+00, -0.000000, 7.955452e+00, 0, 0.008103, 2.777196e-03 
2.704542e-01, 4.512115e-03, 0, 8.572843e-05, 6.998239e-06, 2.963754e-03, 1.450094e-03, 5.540273e-06, 8.102935e-03, 2.777188e-03, -4.189153e-02, 0.000000, 3.977726e+00, 1, 0.008103, 2.777188e-03 
2.742931e-01, 3.838826e-03, 0, 8.689481e-05, 7.581426e-06, 2.765471e-03, 9.573008e-04, 2.157790e-05, 8.102935e-03, 2.777188e-03, 1.264015e+00, -0.000000, 3.977726e+00, 0, 0.008103, 2.777188e-03 
2.786964e-01, 4.403351e-03, 0, 8.543684e-05, 6.998239e-06, 3.014492e-03, 1.275721e-03, 2.070312e-05, 8.102895e-03, 2.777182e-03, 1.263426e+00, -0.000000, 3.977726e+00, 0, 0.008103, 2.777182e-03 
2.828840e-01, 4.187571e-03, 0, 1.154709e-04, 7.873019e-06, 2.788507e-03, 1.255892e-03, 1.982834e-05, 8.102880e-03, 2.777180e-03, 1.287300e+00, -0.000000, 3.977726e+00, 0, 0.008103, 2.777180e-03 
2.874428e-01, 4.558770e-03, 0, 8.543684e-05, 6.998239e-06, 3.189156e-03, 1.271638e-03, 5.540273e-06, 8.102876e-03, 2.777180e-03, -8.182318e-01, 0.000000, 1.988863e+00, 1, 0.008103, 2.777180e-03 
2.912524e-01, 3.809667e-03, 0, 8.631162e-05, 7.581426e-06, 2.756432e-03, 9.389304e-04, 2.041153e-05, 8.102876e-03, 2.777180e-03, 1.004532e+00, -0.000485, 1.988863e+00, 0, 0.008103, 2.777180e-03 
2.956914e-01, 4.438925e-03, 0, 9.622579e-05, 7.289833e-06, 3.153582e-03, 1.160250e-03, 2.157790e-05, 7.615636e-03, 1.832068e-03, 1.058400e+00, -0.003331, 3.977726e+00, 1, 0.007616, 1.832068e-03 
2.995337e-01, 3.842325e-03, 0, 9.156030e-05, 7.289833e-06, 2.738353e-03, 9.847106e-04, 2.041153e-05, 4.089716e-03, 1.149506e-03, 1.152211e+00, -0.000402, 7.955452e+00, 1, 0.004090, 1.149506e-03 
3.039233e-01, 4.389646e-03, 0, 8.660321e-05, 6.998239e-06, 2.943051e-03, 1.333165e-03, 1.982834e-05, 3.626896e-03, 2.237940e-03, 1.040068e+00, -0.000525, 7.955452e+00, 0, 0.003627, 2.237940e-03 
3.079074e-01, 3.984039e-03, 0, 8.456206e-05, 6.998239e-06, 2.710360e-03, 1.160250e-03, 2.186950e-05, 3.080386e-03, 9.169005e-04, 9.892853e-01, -0.000020, 7.955452e+00, 0, 0.003080, 9.169005e-04 
3.134287e-01, 5.521319e-03, 0, 9.272667e-05, 7.581426e-06, 3.845241e-03, 1.570230e-03, 5.540273e-06, 3.060467e-03, 1.176570e-03, -6.368081e-02, 0.000000, 3.977726e+00, 1, 0.003060, 1.176570e-03 
3.178259e-01, 4.397227e-03, 0, 9.010233e-05, 7.289833e-06, 3.227355e-03, 1.049444e-03, 2.303587e-05, 3.060467e-03, 1.176570e-03, 1.003072e+00, -0.000001, 3.977726e+00, 0, 0.003060, 1.176570e-03 
3.219826e-01, 4.156663e-03, 0, 8.835277e-05, 7.289833e-06, 2.797838e-03, 1.257934e-03, 5.248680e-06, 3.059662e-03, 1.111598e-03, -2.046277e-01, 0.000000, 1.988863e+00, 1, 0.003060, 1.111598e-03 
3.269236e-01, 4.941049e-03, 0, 8.543684e-05, 6.998239e-06, 3.183907e-03, 1.641962e-03, 2.274428e-05, 3.059662e-03, 1.111598e-03, 1.219063e+00, -0.000000, 3.039692e+00, 0, 0.003060, 1.111598e-03 
3.313322e-01, 4.408599e-03, 0, 1.154709e-04, 7.873019e-06, 2.877151e-03, 1.385068e-03, 2.303587e-05, 3.059661e-03, 1.111598e-03, 1.227932e+00, -0.001610, 6.079384e+00, 1, 0.003060, 1.111598e-03 
3.357516e-01, 4.419388e-03, 0, 9.593420e-05, 7.289833e-06, 3.047733e-03, 1.263182e-03, 5.248680e-06, 1.082136e-03, 5.011318e-04, -2.931509e-02, 0.000000, 3.039692e+00, 1, 0.001082, 5.011318e-04 
3.406017e-01, 4.850071e-03, 0, 8.602003e-05, 6.998239e-06, 2.873360e-03, 1.862115e-03, 2.157790e-05, 1.082136e-03, 5.011318e-04, 9.969985e-01, -0.000000, 3.039692e+00, 0, 0.001082, 5.011318e-04 
3.452855e-01, 4.683863e-03, 0, 8.689481e-05, 7.581426e-06, 3.212483e-03, 1.356492e-03, 2.041153e-05, 1.082082e-03, 5.078516e-04, 1.048293e+00, -0.000013, 3.039692e+00, 0, 0.001082, 5.078516e-04 
3.499610e-01, 4.675407e-03, 0, 9.418464e-05, 7.873019e-06, 3.238435e-03, 1.329082e-03, 5.831866e-06, 1.067947e-03, 4.144483e-04, -2.021292e+00, 0.000244, 1.519846e+00, 1, 0.001068, 4.144483e-04 
3.539873e-01, 4.026320e-03, 0, 9.505942e-05, 7.289833e-06, 2.832246e-03, 1.070731e-03, 2.099472e-05, 1.067947e-03, 4.144483e-04, 9.998962e-01, -0.000000, 1.519846e+00, 0, 0.001068, 4.144483e-04 
3.583597e-01, 4.372442e-03, 0, 8.543684e-05, 7.289833e-06, 2.868112e-03, 1.392066e-03, 1.953675e-05, 1.067947e-03, 4.151514e-04, 1.003509e+00, -0.000000, 1.519846e+00, 0, 0.001068, 4.151514e-04 
3.626718e-01, 4.312082e-03, 0, 8.602003e-05, 6.998239e-06, 3.170202e-03, 1.028158e-03, 2.070312e-05, 1.067869e-03, 4.110410e-04, 2.142800e+00, -0.000000, 3.039692e+00, 1, 0.001068, 4.110410e-04 
3.665689e-01, 3.897145e-03, 0, 8.747799e-05, 7.289833e-06, 2.758181e-03, 1.022909e-03, 2.128631e-05, 1.067869e-03, 4.110412e-04, 9.846089e-01, -0.000009, 3.039692e+00, 0, 0.001068, 4.110412e-04 
3.706443e-01, 4.075308e-03, 0, 9.885013e-05, 7.289833e-06, 2.903395e-03, 1.041280e-03, 2.449384e-05, 1.058909e-03, 5.408670e-04, 1.009402e+00, -0.000002, 3.039692e+00, 0, 0.001059, 5.408670e-04 
3.746327e-01, 3.988413e-03, 0, 9.593420e-05, 8.164613e-06, 2.869570e-03, 9.946248e-04, 2.011994e-05, 1.057331e-03, 4.716515e-04, 1.059755e+00, -0.000050, 3.039692e+00, 0, 0.001057, 4.716515e-04 
3.792057e-01, 4.573058e-03, 0, 8.689481e-05, 7.289833e-06, 3.413683e-03, 1.043321e-03, 2.186950e-05, 1.004061e-03, 4.200329e-04, 9.830501e-01, -0.000031, 3.039692e+00, 0, 0.001004, 4.200329e-04 
3.830308e-01, 3.825121e-03, 0, 9.010233e-05, 7.581426e-06, 2.754390e-03, 9.532185e-04, 1.982834e-05, 9.734619e-04, 3.715264e-04, 1.044632e+00, -0.000028, 3.039692e+00, 0, 0.000973, 3.715264e-04 
3.870047e-01, 3.973834e-03, 0, 8.543684e-05, 6.706646e-06, 2.907477e-03, 9.543849e-04, 1.982834e-05, 9.439450e-04, 4.177732e-04, 1.002386e+00, -0.000000, 3.039692e+00, 0, 0.000944, 4.177732e-04 
3.916763e-01, 4.671616e-03, 0, 8.602003e-05, 6.998239e-06, 3.067853e-03, 1.487126e-03, 2.361906e-05, 9.438122e-04, 4.374117e-04, 1.264218e+00, -0.000000, 3.039692e+00, 0, 0.000944, 4.374117e-04 
