TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=2,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.972881e-01, 2.972881e-01, 0, 1.119718e-04, 0, 7.960497e-03, 2.890410e-01, 1.746644e-04, 1.251603e-01, 5.745822e-04, 5.732338e-02, -0.000394, 5.000000e-01, 1, 0.125160, 5.745822e-04 
5.932929e-01, 2.960048e-01, 0, 1.422975e-04, 0, 7.981492e-03, 2.877842e-01, 9.680898e-05, 1.251603e-01, 5.745822e-04, 6.153714e-01, -0.000212, 5.000000e-01, 1, 0.125160, 5.745822e-04 
8.891094e-01, 2.958165e-01, 0, 1.073063e-04, 0, 7.749675e-03, 2.878423e-01, 1.172205e-04, 1.250298e-01, 3.311991e-04, 3.231771e-01, -0.000276, 5.000000e-01, 1, 0.125030, 3.311991e-04 
1.150764e+00, 2.616548e-01, 0, 1.073063e-04, 0, 8.066637e-03, 2.533657e-01, 1.151794e-04, 1.249404e-01, 1.533338e-04, 6.993218e-01, -0.000426, 5.000000e-01, 1, 0.124940, 1.533338e-04 
1.216603e+00, 6.583914e-02, 0, 1.067232e-04, 0, 7.823157e-03, 5.781566e-02, 9.360145e-05, 1.246424e-01, 3.633312e-04, 7.637037e-01, -0.000896, 5.000000e-01, 1, 0.124642, 3.633312e-04 
1.266549e+00, 4.994585e-02, 0, 9.680898e-05, 0, 7.661906e-03, 4.201510e-02, 1.720401e-04, 1.239582e-01, 7.297307e-04, 9.469750e-01, -0.001774, 1.000000e+00, 1, 0.123958, 7.297307e-04 
1.320874e+00, 5.432500e-02, 0, 9.272667e-05, 0, 7.426298e-03, 4.664035e-02, 1.656250e-04, 1.222782e-01, 1.301539e-03, 8.902871e-01, -0.006719, 2.000000e+00, 1, 0.122278, 1.301539e-03 
1.551663e+00, 2.307891e-01, 0, 9.476782e-05, 0, 7.438837e-03, 2.231316e-01, 1.239272e-04, 1.162960e-01, 2.284421e-03, 7.414761e-01, -0.022822, 2.000000e+00, 1, 0.116296, 2.284421e-03 
1.609692e+00, 5.802882e-02, 0, 1.248019e-04, 0, 8.310992e-03, 4.948251e-02, 1.105139e-04, 9.937382e-02, 2.835218e-03, 7.443773e-01, -0.019270, 2.000000e+00, 1, 0.099374, 2.835218e-03 
1.662870e+00, 5.317816e-02, 0, 1.035156e-04, 0, 7.582884e-03, 4.527394e-02, 2.178202e-04, 8.502979e-02, 2.725114e-03, 1.013666e+00, -0.020588, 4.000000e+00, 1, 0.085030, 2.725114e-03 
1.806965e+00, 1.440949e-01, 0, 1.151794e-04, 0, 7.537104e-03, 1.363537e-01, 8.893596e-05, 6.416023e-02, 5.608307e-03, 4.090051e-01, -0.058072, 4.000000e+00, 1, 0.064160, 5.608307e-03 
