TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=125, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.035865e-01, 3.035865e-01, 2.740977e-04, 6.205106e-04, 0, 3.009992e-01, 8.502861e-04, 8.424131e-04, 7.302594e-01, 1.026246e-03, 6.950809e-01, -0.171883, 1.000000e+00, 1, 0.728998, 1.026202e-03, 0.409836, 0.000000 
5.324091e-01, 2.288226e-01, 8.397887e-05, 8.202520e-04, 0, 2.266975e-01, 8.741967e-04, 3.467044e-04, 6.106400e-01, 9.188079e-04, 5.897841e-01, -0.172882, 1.000000e+00, 1, 0.608024, 9.181323e-04, 0.000000, 0.000000 
7.528866e-01, 2.204775e-01, 7.202355e-05, 6.374230e-04, 0, 2.185979e-01, 8.689481e-04, 3.012159e-04, 5.090022e-01, 6.762808e-04, 6.224733e-01, -0.133437, 1.000000e+00, 1, 0.512592, 6.803902e-04, 0.000000, 0.000000 
9.540752e-01, 2.011886e-01, 7.435629e-05, 6.937005e-04, 0, 1.991725e-01, 8.354148e-04, 4.126045e-04, 4.304655e-01, 3.682472e-04, 5.950863e-01, -0.088864, 1.000000e+00, 1, 0.429857, 4.063686e-04, 0.000000, 0.000000 
1.157244e+00, 2.031691e-01, 8.222931e-05, 6.517110e-04, 0, 2.010854e-01, 8.709892e-04, 4.787962e-04, 3.834239e-01, 2.175774e-04, 7.788005e-01, -0.058547, 1.000000e+00, 1, 0.382883, 2.392690e-04, 0.000000, 0.000000 
1.385297e+00, 2.280528e-01, 7.318992e-05, 7.289833e-04, 0, 2.258344e-01, 9.540933e-04, 4.621754e-04, 3.397864e-01, 1.459771e-04, 9.341625e-01, -0.040764, 2.000000e+00, 1, 0.355336, 1.547791e-04, 0.000000, 0.000000 
1.598307e+00, 2.130104e-01, 6.590009e-05, 6.006822e-04, 0, 2.110278e-01, 8.663237e-04, 4.496369e-04, 3.026812e-01, 1.701401e-04, 3.358995e-01, -0.122300, 2.000000e+00, 1, 0.314456, 1.342197e-04, 0.000000, 0.000000 
1.799707e+00, 2.014000e-01, 7.231514e-05, 6.482119e-04, 0, 1.995032e-01, 7.496864e-04, 4.266010e-04, 2.715819e-01, 4.662589e-04, 4.717016e-02, -0.387208, 1.000000e+00, 1, 0.275310, 4.402442e-04, 0.000000, 0.000000 
2.001295e+00, 2.015872e-01, 6.852443e-05, 6.350902e-04, 0, 1.996796e-01, 7.549351e-04, 4.490537e-04, 2.715819e-01, 4.662589e-04, 3.576420e-01, -0.128287, 1.000000e+00, 1, 0.275268, 4.047634e-04, 0.000000, 0.000000 
2.216177e+00, 2.148824e-01, 7.260673e-05, 6.671655e-04, 0, 2.123470e-01, 1.213903e-03, 5.817286e-04, 2.235338e-01, 1.370912e-04, 9.889252e-01, -0.039032, 2.000000e+00, 1, 0.216254, 1.469279e-04, 0.000000, 0.000000 
2.437708e+00, 2.215313e-01, 7.727223e-05, 6.610420e-04, 0, 2.191257e-01, 1.185910e-03, 4.814205e-04, 1.861246e-01, 9.297510e-05, 4.252613e-01, -0.068142, 2.000000e+00, 1, 0.181894, 1.007736e-04, 0.811475, 0.000000 
2.702878e+00, 2.651697e-01, 4.636334e-05, 9.158946e-04, 0, 2.624870e-01, 1.206322e-03, 5.140790e-04, 1.585964e-01, 1.284017e-04, 1.204991e-01, -0.067825, 1.000000e+00, 1, 0.167812, 1.475344e-04, 0.000000, 0.000000 
2.947731e+00, 2.448532e-01, 5.715229e-05, 6.648327e-04, 0, 2.416177e-01, 1.816043e-03, 6.974912e-04, 1.585964e-01, 1.284017e-04, 9.154164e-01, -0.027433, 2.000000e+00, 1, 0.154212, 1.335031e-04, 0.000000, 0.000000 
3.224424e+00, 2.766923e-01, 7.260673e-05, 7.447293e-04, 0, 2.743015e-01, 1.124384e-03, 4.490537e-04, 1.349863e-01, 6.612846e-05, 7.717832e-01, -0.049292, 2.000000e+00, 1, 0.155094, 8.064370e-05, 0.000000, 0.000000 
3.481015e+00, 2.565913e-01, 7.464789e-05, 6.476287e-04, 0, 2.543988e-01, 1.080936e-03, 3.892771e-04, 1.050844e-01, 8.113781e-05, 7.221803e-02, -0.061165, 1.000000e+00, 1, 0.103435, 1.135195e-04, 0.000000, 0.000000 
3.714580e+00, 2.335654e-01, 8.047975e-05, 7.400638e-04, 0, 2.314370e-01, 1.032532e-03, 2.752641e-04, 1.050844e-01, 8.113781e-05, 8.490650e-01, -0.022695, 2.000000e+00, 1, 0.126277, 8.667812e-05, 0.000000, 0.000000 
3.961002e+00, 2.464214e-01, 9.097711e-05, 7.179027e-04, 0, 2.437271e-01, 1.441346e-03, 4.440966e-04, 8.819105e-02, 7.131103e-05, 8.141777e-01, -0.031638, 4.000000e+00, 1, 0.071145, 8.491753e-05, 0.000000, 0.000000 
4.227587e+00, 2.665851e-01, 8.660321e-05, 6.969080e-04, 0, 2.639538e-01, 1.536988e-03, 3.108385e-04, 6.587853e-02, 4.831845e-05, -1.054721e+00, -0.065465, 2.000000e+00, 1, 0.067846, 6.587501e-05, 0.000000, 0.000000 
4.495561e+00, 2.679742e-01, 6.473371e-05, 6.336323e-04, 0, 2.653554e-01, 1.560607e-03, 3.598261e-04, 6.587853e-02, 4.831845e-05, 7.263257e-01, -0.020997, 2.000000e+00, 1, 0.060059, 4.866598e-05, 0.000000, 0.000000 
4.732037e+00, 2.364763e-01, 5.161202e-05, 7.065306e-04, 0, 2.343369e-01, 1.095224e-03, 2.860530e-04, 5.667002e-02, 8.815258e-05, 1.517098e-01, -0.028967, 1.000000e+00, 1, 0.052359, 9.843601e-05, 0.000000, 0.000000 
4.954378e+00, 2.223405e-01, 7.814701e-05, 7.021567e-04, 0, 2.200760e-01, 1.122051e-03, 3.621589e-04, 5.667002e-02, 8.815258e-05, 7.070621e-01, -0.014178, 1.000000e+00, 1, 0.054450, 7.919000e-05, 0.934426, 0.000000 
5.365408e+00, 2.055153e-01, 7.581426e-05, 6.735805e-04, 0, 2.034601e-01, 9.920004e-04, 3.137544e-04, 4.747480e-02, 1.144654e-04, 6.414253e-01, -0.014428, 1.000000e+00, 1, 0.047496, 4.700156e-05, 0.986339, 0.000000  
0.986339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
