TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=300, lr=1.000000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
9.138418e-02, 9.138418e-02, 1.711653e-04, 9.412632e-04, 0, 8.510821e-02, 4.807207e-03, 3.563270e-04, 7.302594e-01, 1.026246e-03, 7.341112e-01, -0.109720, 1.000000e+00, 1, 0.730966, 1.030257e-03 
1.519329e-01, 6.054877e-02, 1.236356e-04, 1.085893e-03, 0, 5.512601e-02, 4.188155e-03, 2.507702e-05, 6.497196e-01, 9.148141e-04, 6.717423e-01, -0.194143, 1.000000e+00, 1, 0.650877, 9.142525e-04 
2.472548e-01, 9.532185e-02, 1.073063e-04, 1.012412e-03, 0, 9.004256e-02, 4.133044e-03, 2.653499e-05, 5.191224e-01, 6.671283e-04, 6.607424e-01, -0.098360, 1.000000e+00, 1, 0.520647, 6.662901e-04 
3.709128e-01, 1.236580e-01, 1.134298e-04, 9.943332e-04, 0, 1.184956e-01, 4.028362e-03, 2.624340e-05, 4.533430e-01, 4.530741e-04, 5.815405e-01, -0.055120, 1.000000e+00, 1, 0.452702, 4.530797e-04 
4.089797e-01, 3.806692e-02, 1.078895e-04, 9.485530e-04, 0, 3.298241e-02, 4.002701e-03, 2.536862e-05, 4.214200e-01, 2.987886e-04, 5.896156e-01, -0.079053, 1.000000e+00, 1, 0.421367, 3.078700e-04 
4.939538e-01, 8.497408e-02, 7.668904e-05, 8.797370e-04, 0, 7.979917e-02, 4.190487e-03, 2.799296e-05, 3.761787e-01, 1.783531e-04, 3.421050e-01, -0.030527, 1.000000e+00, 1, 0.373194, 1.764353e-04 
5.787115e-01, 8.475772e-02, 1.294674e-04, 1.019119e-03, 0, 7.946676e-02, 4.109133e-03, 3.324164e-05, 3.659883e-01, 1.808319e-04, 9.323203e-01, -0.048549, 2.000000e+00, 1, 0.367231, 1.821739e-04 
6.322953e-01, 5.358377e-02, 1.180953e-04, 9.960827e-04, 0, 4.916817e-02, 3.293255e-03, 8.164613e-06, 3.202208e-01, 1.372763e-04, 5.788660e-02, -0.145871, 1.000000e+00, 1, 0.317218, 1.411217e-04 
6.883054e-01, 5.601012e-02, 1.122634e-04, 9.683814e-04, 0, 5.165838e-02, 3.246308e-03, 2.478543e-05, 3.202208e-01, 1.372763e-04, 6.615071e-01, -0.049857, 1.000000e+00, 1, 0.323150, 1.352062e-04 
8.081631e-01, 1.198577e-01, 1.108055e-04, 9.354313e-04, 0, 1.138086e-01, 4.977789e-03, 2.507702e-05, 2.859124e-01, 1.551837e-04, 6.773129e-01, -0.029604, 1.000000e+00, 1, 0.286923, 1.583660e-04 
8.960260e-01, 8.786290e-02, 1.163457e-04, 9.573008e-04, 0, 8.157702e-02, 5.179572e-03, 3.265845e-05, 2.660772e-01, 1.488587e-04, 9.606692e-01, -0.043771, 2.000000e+00, 1, 0.266437, 1.494161e-04 
9.808700e-01, 8.484403e-02, 1.075979e-04, 9.669234e-04, 0, 7.891098e-02, 4.831701e-03, 2.682658e-05, 2.242071e-01, 1.067647e-04, 6.663377e-01, -0.082839, 2.000000e+00, 1, 0.226818, 1.081108e-04 
1.068155e+00, 8.728525e-02, 1.201364e-04, 1.033698e-03, 0, 7.964696e-02, 6.456459e-03, 2.799296e-05, 1.691055e-01, 2.158726e-04, 3.712719e-01, -0.066388, 2.000000e+00, 1, 0.168757, 2.191186e-04 
1.108585e+00, 4.043000e-02, 8.077135e-05, 8.394971e-04, 0, 3.512096e-02, 4.382064e-03, 6.706646e-06, 1.454483e-01, 1.272089e-04, -1.025659e-01, -0.091320, 1.000000e+00, 1, 0.143398, 1.340579e-04 
1.148449e+00, 3.986372e-02, 1.242187e-04, 1.022618e-03, 0, 3.425609e-02, 4.437467e-03, 2.332746e-05, 1.454483e-01, 1.272089e-04, 4.684498e-01, -0.032833, 1.000000e+00, 1, 0.145088, 1.237196e-04 
1.226779e+00, 7.832954e-02, 1.113886e-04, 9.701309e-04, 0, 7.080410e-02, 6.410096e-03, 3.382482e-05, 1.294568e-01, 1.133441e-04, 1.024135e+00, -0.018989, 2.000000e+00, 1, 0.127762, 1.127841e-04 
1.319314e+00, 9.253509e-02, 1.484210e-04, 1.064607e-03, 0, 8.717211e-02, 4.122546e-03, 2.740977e-05, 1.101018e-01, 5.819785e-05, 4.382260e-01, -0.043373, 2.000000e+00, 1, 0.107987, 5.437253e-05 
1.359993e+00, 4.067931e-02, 1.294674e-04, 9.852938e-04, 0, 3.623426e-02, 3.321831e-03, 8.456206e-06, 9.214579e-02, 2.102194e-04, 2.139235e-02, -0.134107, 1.000000e+00, 1, 0.093228, 1.896060e-04 
1.398457e+00, 3.846436e-02, 7.873019e-05, 8.625330e-04, 0, 3.418494e-02, 3.310459e-03, 2.770136e-05, 9.214579e-02, 2.102194e-04, 2.210525e-01, -0.052099, 1.000000e+00, 1, 0.090023, 1.991707e-04 
1.436668e+00, 3.821068e-02, 1.055568e-04, 9.640075e-04, 0, 3.415549e-02, 2.979792e-03, 5.831866e-06, 7.862806e-02, 7.312030e-05, -1.095690e-01, -0.029504, 5.000000e-01, 1, 0.074588, 6.723725e-05 
1.477227e+00, 4.055859e-02, 1.087643e-04, 1.008038e-03, 0, 3.603918e-02, 3.376067e-03, 2.653499e-05, 7.862806e-02, 7.312030e-05, 6.192706e-01, -0.013937, 5.000000e-01, 1, 0.071110, 7.556221e-05 
1.538414e+00, 6.118765e-02, 1.125550e-04, 1.018827e-03, 0, 4.989657e-02, 1.013316e-02, 2.653499e-05, 7.017130e-02, 6.197946e-05, 1.007865e+00, -0.006939, 1.000000e+00, 1, 0.069515, 5.231095e-05 
1.624944e+00, 8.652944e-02, 1.110970e-04, 1.012704e-03, 0, 7.597843e-02, 9.396594e-03, 3.061730e-05, 6.331194e-02, 4.311385e-05, 1.008064e+00, -0.010075, 2.000000e+00, 1, 0.068526, 3.747607e-05 
