TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=45,b_m=340, lr=1.700000, decay=0.010000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.882347e-01, 3.882347e-01, 2.959675e-04, 1.018245e-03, 0, 1.258191e-01, 2.609068e-01, 1.944929e-04, 0.781450, 1.113962e-03, 4.798490e-01, -0.783875, 1.700000e+00, 1, 0.780978, 1.113123e-03 
1.102756e+00, 7.145209e-01, 2.146129e-04, 1.117095e-03, 0, 1.570759e-01, 5.560033e-01, 1.099308e-04, 0.404740, 1.199437e-04, 4.741447e-01, -0.090057, 1.700000e+00, 1, 0.404306, 1.206425e-04 
1.511523e+00, 4.087678e-01, 1.332583e-04, 1.037490e-03, 0, 1.196557e-01, 2.878475e-01, 9.389313e-05, 0.362242, 1.438041e-04, 2.169054e-01, -0.119252, 1.700000e+00, 1, 0.361831, 1.448902e-04 
2.311424e+00, 7.999003e-01, 1.355910e-04, 1.033408e-03, 0, 1.246778e-01, 6.739687e-01, 8.485373e-05, 0.336917, 2.672768e-04, 1.197862e-01, -0.164369, 8.500000e-01, 1, 0.335630, 2.606143e-04 
2.935603e+00, 6.241796e-01, 1.309255e-04, 1.029325e-03, 0, 1.198003e-01, 5.030461e-01, 1.729150e-04, 0.336917, 2.672768e-04, 5.024246e-01, -0.064126, 8.500000e-01, 1, 0.336342, 2.664140e-04 
3.861509e+00, 9.259061e-01, 1.352994e-04, 1.064317e-03, 0, 1.931455e-01, 7.313572e-01, 2.038239e-04, 0.304829, 9.576149e-05, 9.260858e-01, -0.020295, 1.700000e+00, 1, 0.307616, 1.015206e-04 
4.405762e+00, 5.442524e-01, 1.490043e-04, 1.042739e-03, 0, 1.199759e-01, 4.230087e-01, 7.610592e-05, 0.286143, 7.642410e-05, 1.590018e-01, -0.099952, 8.500000e-01, 1, 0.285592, 8.033220e-05 
4.945554e+00, 5.397925e-01, 1.227609e-04, 1.047112e-03, 0, 1.280300e-01, 4.105008e-01, 9.185197e-05, 0.286143, 7.642410e-05, 7.018450e-01, -0.032507, 8.500000e-01, 1, 0.285887, 7.842265e-05 
5.387233e+00, 4.416785e-01, 1.329667e-04, 1.033699e-03, 0, 1.545930e-01, 2.858308e-01, 8.806126e-05, 0.263738, 1.039030e-04, 8.679410e-01, -0.031454, 1.700000e+00, 1, 0.262942, 1.039248e-04 
5.997330e+00, 6.100968e-01, 1.376322e-04, 1.094934e-03, 0, 1.964781e-01, 4.123556e-01, 3.061732e-05, 0.236521, 8.444452e-05, 5.772444e-01, -0.049336, 1.700000e+00, 1, 0.232502, 8.548618e-05 
