TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=50, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.769060e-01, 1.769060e-01, 1.178038e-04, 3.469963e-04, 0, 3.672067e-02, 1.391890e-01, 5.315751e-04, 0.345745, 4.973862e-04, 2.571998e-01, -0.069176, 1.000000e+00, 1, 0.345808, 5.110446e-04 
2.742315e-01, 9.732547e-02, 2.536864e-05, 4.913352e-04, 0, 1.719119e-02, 7.948141e-02, 1.361742e-04, 0.331485, 3.670303e-04, 2.436772e-01, -0.053577, 1.000000e+00, 1, 0.329519, 3.232486e-04 
4.585944e-01, 1.843629e-01, 2.332748e-05, 4.175620e-04, 0, 1.927638e-02, 1.646358e-01, 9.914181e-06, 0.311488, 7.033243e-04, 6.084956e-02, -0.206930, 5.000000e-01, 1, 0.314469, 8.136258e-04 
6.774876e-01, 2.188932e-01, 2.857617e-05, 3.478711e-04, 0, 1.532091e-02, 2.031147e-01, 8.106301e-05, 0.311488, 7.033243e-04, 4.103548e-01, -0.106254, 5.000000e-01, 1, 0.325426, 1.161883e-03 
9.379582e-01, 2.604706e-01, 3.994832e-05, 4.131881e-04, 0, 1.840334e-02, 2.415789e-01, 3.528282e-05, 0.290832, 5.708570e-04, 9.036026e-01, -0.026753, 1.000000e+00, 1, 0.288098, 4.349741e-04 
1.072446e+00, 1.344882e-01, 2.799298e-05, 3.776137e-04, 0, 2.583052e-02, 1.082293e-01, 2.274430e-05, 0.267595, 6.520142e-04, 7.178883e-01, -0.063967, 1.000000e+00, 1, 0.267923, 5.567136e-04 
1.453737e+00, 3.812904e-01, 2.857617e-05, 2.936347e-04, 0, 2.610346e-02, 3.548422e-01, 2.245270e-05, 0.215935, 5.378741e-04, 5.286465e-01, -0.061132, 1.000000e+00, 1, 0.243313, 6.781248e-04 
1.553953e+00, 1.002166e-01, 2.857617e-05, 3.041321e-04, 0, 1.541393e-02, 8.444725e-02, 2.274430e-05, 0.218047, 8.259351e-04, 4.724844e-01, -0.081044, 1.000000e+00, 1, 0.220271, 8.732395e-04 
1.647775e+00, 9.382169e-02, 2.770139e-05, 3.225025e-04, 0, 2.766465e-02, 6.578409e-02, 2.274430e-05, 0.185518, 3.052872e-04, 2.990442e-01, -0.058770, 1.000000e+00, 1, 0.210907, 6.607825e-04 
1.773566e+00, 1.257908e-01, 3.120051e-05, 3.557441e-04, 0, 1.609305e-02, 1.092884e-01, 2.245270e-05, 0.201151, 9.928137e-04, 2.316926e-01, -0.103824, 1.000000e+00, 1, 0.194535, 1.036409e-03 
1.861725e+00, 8.815923e-02, 3.586601e-05, 3.507871e-04, 0, 1.758659e-02, 7.017636e-02, 9.622588e-06, 0.183358, 3.803838e-04, 1.023905e-01, -0.073410, 5.000000e-01, 1, 0.207960, 7.897369e-04 
