TRM WS=0, MS=2, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=2, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.579735e-02, 4.579735e-02, 7.400638e-04, 9.147282e-04, 0, 1.041571e-02, 2.828951e-02, 5.437340e-03, 1.267624e-01, 4.678925e-03, 8.010713e-01, -0.152208, 2.000000e+00, 1, 0.156808, 4.335828e-02 
8.752873e-02, 4.173138e-02, 1.283011e-04, 1.854533e-04, 0, 9.452872e-03, 2.900216e-02, 2.962588e-03, 1.527512e-01, 1.488155e-02, 5.892216e-01, -0.431823, 2.000000e+00, 1, 0.270624, 4.638918e-02 
1.125025e-01, 2.497380e-02, 4.257262e-05, 1.017661e-04, 0, 8.473118e-03, 1.625720e-02, 9.914172e-05, 1.766647e-01, 1.528069e-02, 6.878091e-01, -0.437140, 2.000000e+00, 1, 0.337145, 3.909379e-02 
2.165401e-01, 1.040376e-01, 5.277839e-05, 1.385068e-04, 0, 9.563677e-03, 9.419164e-02, 9.097711e-05, 1.513688e-01, 1.462359e-02, 7.757221e-01, -0.026324, 2.000000e+00, 1, 0.036476, 1.712227e-02 
3.493865e-01, 1.328464e-01, 7.814701e-05, 1.172205e-04, 0, 8.954830e-03, 1.235495e-01, 1.466714e-04, 1.785897e-01, 1.647304e-02, 6.059984e-01, -0.110886, 2.000000e+00, 1, 0.187122, 1.526618e-02 
4.750892e-01, 1.257027e-01, 6.502531e-05, 1.271347e-04, 0, 1.098519e-02, 1.144037e-01, 1.215944e-04, 1.249402e-01, 1.438805e-03, 7.038730e-01, -0.047852, 2.000000e+00, 1, 0.119925, 3.379398e-03 
5.604423e-01, 8.535315e-02, 6.240097e-05, 1.285926e-04, 0, 9.130078e-03, 7.590990e-02, 1.221776e-04, 1.280936e-01, 2.160056e-03, 6.984571e-01, -0.063219, 2.000000e+00, 1, 0.086244, 7.753557e-03 
6.915631e-01, 1.311208e-01, 4.957086e-05, 1.017661e-04, 0, 8.062847e-03, 1.227894e-01, 1.172205e-04, 1.467741e-01, 5.314288e-03, 4.620242e-01, -0.258335, 2.000000e+00, 1, 0.121982, 3.587382e-02 
1.039513e+00, 3.479498e-01, 6.998239e-05, 8.602003e-05, 0, 8.476326e-03, 3.392347e-01, 8.281250e-05, 2.046328e-01, 1.217537e-02, 6.560094e-01, -0.202718, 2.000000e+00, 1, 0.172866, 2.114520e-02 
1.357055e+00, 3.175416e-01, 6.969080e-05, 8.427047e-05, 0, 7.961955e-03, 3.089656e-01, 4.601342e-04, 1.408992e-01, 5.815064e-03, 4.118451e-03, -0.257751, 1.000000e+00, 1, 0.176947, 1.605810e-02 
