TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=10, lr=10.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
2.908584e-02, 2.908584e-02, 1.116802e-04, 2.259847e-04, 0, 2.870269e-02, 3.586597e-05, 9.622576e-06, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.740682, 1.052468e-03, 0.207650, 0.000000 
6.624007e-02, 3.715423e-02, 2.332746e-05, 1.930347e-04, 0, 3.691191e-02, 2.507702e-05, 8.747797e-07, 0, 6.963671e-01, 8.238217e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.701284, 8.979584e-04, 0.000000, 0.000000 
9.412833e-02, 2.788827e-02, 2.886773e-05, 1.874944e-04, 0, 2.764974e-02, 2.128631e-05, 8.747797e-07, 0, 6.729922e-01, 7.016956e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.684311, 7.990278e-04, 0.000000, 0.000000 
1.067164e-01, 1.258808e-02, 3.236685e-05, 2.630171e-04, 0, 1.226966e-02, 2.216108e-05, 8.747797e-07, 0, 6.575210e-01, 6.159777e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.659475, 6.311648e-04, 0.000000, 0.000000 
1.423920e-01, 3.567556e-02, 3.615756e-05, 2.181117e-04, 0, 3.539942e-02, 2.099471e-05, 8.747797e-07, 0, 4.623697e-01, 3.302914e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.513937, 4.388263e-04, 0.000000, 0.000000 
1.726290e-01, 3.023705e-02, 2.361905e-05, 1.930347e-04, 0, 2.999853e-02, 2.099471e-05, 8.747797e-07, 0, 4.598763e-01, 3.406515e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.349445, 1.684093e-04, 0.000000, 0.000000 
2.007742e-01, 2.814516e-02, 2.828454e-05, 2.498954e-04, 0, 2.784511e-02, 2.070312e-05, 1.166373e-06, 0, 4.621852e-01, 3.309464e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.525628, 5.544296e-04, 0.000000, 0.000000 
2.324931e-01, 3.171893e-02, 2.420224e-05, 2.227772e-04, 0, 3.144396e-02, 2.711817e-05, 8.747797e-07, 0, 4.597946e-01, 3.411030e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.520517, 5.836783e-04, 0.000000, 0.000000 
2.607415e-01, 2.824838e-02, 2.303586e-05, 1.947843e-04, 0, 2.800899e-02, 2.070312e-05, 8.747797e-07, 0, 4.582316e-01, 3.540318e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.424924, 2.212675e-04, 0.000000, 0.000000 
2.892310e-01, 2.848953e-02, 3.236685e-05, 2.930512e-04, 0, 2.814166e-02, 2.157790e-05, 8.747797e-07, 0, 4.597576e-01, 3.413122e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.491975, 4.519293e-04, 0.000000, 0.000000 
3.196847e-01, 3.045370e-02, 2.216108e-05, 2.076144e-04, 0, 3.019944e-02, 2.303586e-05, 1.457966e-06, 0, 4.582038e-01, 3.544365e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.484995, 4.855487e-04, 0.196721, 0.000000 
3.484548e-01, 2.877005e-02, 2.361905e-05, 1.924515e-04, 0, 2.853006e-02, 2.274427e-05, 1.166373e-06, 0, 4.566260e-01, 3.825687e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.434974, 2.754113e-04, 0.000000, 0.000000 
3.767708e-01, 2.831603e-02, 3.440800e-05, 2.950923e-04, 0, 2.796525e-02, 2.041153e-05, 8.747797e-07, 0, 4.581677e-01, 3.549896e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.490491, 4.821639e-04, 0.000000, 0.000000 
4.085530e-01, 3.178220e-02, 3.382481e-05, 2.746808e-04, 0, 3.144920e-02, 2.361905e-05, 8.747797e-07, 0, 4.566279e-01, 3.836134e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.417789, 2.406086e-04, 0.000000, 0.000000 
4.390064e-01, 3.045341e-02, 3.265844e-05, 2.551441e-04, 0, 3.014082e-02, 2.361905e-05, 1.166373e-06, 0, 4.581407e-01, 3.554180e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.529715, 6.393266e-04, 0.000000, 0.000000 
4.678327e-01, 2.882632e-02, 3.236685e-05, 2.796379e-04, 0, 2.849274e-02, 2.070312e-05, 8.747797e-07, 0, 4.566294e-01, 3.839069e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.425524, 2.601531e-04, 0.000000, 0.000000 
4.976350e-01, 2.980229e-02, 3.178366e-05, 2.437719e-04, 0, 2.949932e-02, 2.624339e-05, 1.166373e-06, 0, 4.581278e-01, 3.556383e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.457117, 3.739013e-04, 0.000000, 0.000000 
5.293228e-01, 3.168773e-02, 2.770136e-05, 1.965338e-04, 0, 3.144075e-02, 2.157790e-05, 1.166373e-06, 0, 4.566329e-01, 3.849900e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.499321, 5.270776e-04, 0.000000, 0.000000 
5.572361e-01, 2.791334e-02, 2.128631e-05, 1.959506e-04, 0, 2.767424e-02, 2.099471e-05, 8.747797e-07, 0, 4.580790e-01, 3.564501e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.487038, 5.396877e-04, 0.000000, 0.000000 
5.848713e-01, 2.763516e-02, 3.557437e-05, 2.644751e-04, 0, 2.731179e-02, 2.245268e-05, 8.747797e-07, 0, 4.566377e-01, 3.862979e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.460854, 3.720787e-04, 0.000000, 0.000000 
6.222197e-01, 3.734843e-02, 1.953675e-05, 1.959506e-04, 0, 3.711049e-02, 2.157790e-05, 8.747797e-07, 0, 4.580476e-01, 3.570122e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.496726, 4.989591e-04, 0.196721, 0.000000 
6.787981e-01, 2.828921e-02, 2.274427e-05, 1.880776e-04, 0, 2.805593e-02, 2.157790e-05, 8.747797e-07, 4.580237e-01, 3.574619e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.432603, 2.776030e-04, 0.196721, 0.000000  
0.196721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
