TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=45,b_m=12, lr=1.700000, decay=0.010000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
9.740712e-02, 9.740712e-02, 3.324167e-05, 2.481461e-04, 0, 9.680031e-02, 2.851785e-04, 4.023991e-05, 0.781450, 1.113962e-03, 0.000000e+00, 0.000000, 1.683168e+00, 0, 0.831019, 1.241535e-03 
2.157903e-01, 1.183832e-01, 1.895358e-05, 1.816628e-04, 0, 1.180773e-01, 1.046821e-04, 5.831871e-07, 0.440649, 5.020974e-04, 0.000000e+00, 0.000000, 1.666667e+00, 0, 0.473309, 7.173974e-04 
3.442116e-01, 1.284213e-01, 2.099474e-05, 2.143213e-04, 0, 1.280766e-01, 1.084728e-04, 8.747807e-07, 0.527662, 8.253384e-04, 0.000000e+00, 0.000000, 1.650485e+00, 0, 0.426515, 5.284024e-04 
4.406305e-01, 9.641891e-02, 3.411645e-05, 3.137547e-04, 0, 9.604130e-02, 2.886776e-05, 8.747807e-07, 0.407911, 2.100637e-04, 0.000000e+00, 0.000000, 1.634615e+00, 0, 0.416211, 2.998069e-04 
5.365835e-01, 9.595294e-02, 3.557441e-05, 2.472713e-04, 0, 9.564036e-02, 2.857617e-05, 1.166374e-06, 0.480318, 8.908672e-04, 0.000000e+00, 0.000000, 1.619048e+00, 0, 0.478969, 9.249437e-04 
6.332543e-01, 9.667085e-02, 3.761557e-05, 2.463966e-04, 0, 9.635622e-02, 2.974254e-05, 8.747807e-07, 0.351037, 1.849088e-04, 0.000000e+00, 0.000000, 1.603774e+00, 0, 0.393517, 4.010248e-04 
7.296753e-01, 9.642095e-02, 1.807880e-05, 1.816628e-04, 0, 9.619380e-02, 2.682661e-05, 5.831871e-07, 0.645761, 5.305428e-04, 0.000000e+00, 0.000000, 1.588785e+00, 0, 0.718850, 7.119273e-04 
8.255492e-01, 9.587392e-02, 3.499123e-05, 3.464132e-04, 0, 9.546598e-02, 2.566023e-05, 8.747807e-07, 0.335169, 1.096802e-04, 0.000000e+00, 0.000000, 1.574074e+00, 0, 0.252954, 2.967877e-04 
9.227277e-01, 9.717851e-02, 2.361908e-05, 2.933431e-04, 0, 9.683472e-02, 2.566023e-05, 1.166374e-06, 0.321160, 2.374483e-04, 0.000000e+00, 0.000000, 1.559633e+00, 0, 0.311415, 3.075016e-04 
1.021206e+00, 9.847844e-02, 3.469963e-05, 2.545612e-04, 0, 9.816002e-02, 2.857617e-05, 5.831871e-07, 0.324947, 4.250241e-04, 0.000000e+00, 0.000000, 1.545455e+00, 0, 0.282467, 3.789191e-04 
