TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=5, lr=0.500000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
9.969604e-02, 9.969604e-02, 1.096391e-03, 1.743436e-03, 0, 9.671829e-02, 1.040988e-04, 3.382482e-05, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.732746, 1.150447e-03, 0.196721, 0.000000 
1.872251e-01, 8.752902e-02, 5.012489e-04, 8.429962e-04, 0, 8.606697e-02, 8.193772e-05, 3.586598e-05, 6.162630e-01, 9.763603e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.636102, 1.303016e-03, 0.000000, 0.000000 
2.737204e-01, 8.649532e-02, 7.027399e-05, 1.460882e-04, 0, 8.621219e-02, 5.365317e-05, 1.312170e-05, 5.674213e-01, 8.808394e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.612354, 1.055222e-03, 0.000000, 0.000000 
3.742131e-01, 1.004927e-01, 7.289833e-05, 2.026573e-04, 0, 1.000509e-01, 1.277179e-04, 3.849032e-05, 4.826519e-01, 6.725818e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.495153, 9.294252e-04, 0.000000, 0.000000 
4.832354e-01, 1.090224e-01, 7.289833e-05, 1.772887e-04, 0, 1.086739e-01, 7.873019e-05, 1.953675e-05, 4.237004e-01, 4.353835e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.381486, 7.505787e-04, 0.000000, 0.000000 
5.811924e-01, 9.795698e-02, 9.739216e-05, 1.997414e-04, 0, 9.756858e-02, 9.010233e-05, 1.166373e-06, 4.060410e-01, 4.428362e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.409047, 6.065640e-04, 0.000000, 0.000000 
6.779288e-01, 9.673637e-02, 1.492958e-04, 2.181118e-04, 0, 9.625378e-02, 9.330986e-05, 2.186950e-05, 4.063960e-01, 4.505397e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.425772, 6.497514e-04, 0.000000, 0.000000 
7.723368e-01, 9.440800e-02, 1.551276e-04, 1.866197e-04, 0, 9.400677e-02, 5.802707e-05, 1.457967e-06, 3.796755e-01, 2.617964e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.357252, 3.467844e-04, 0.000000, 0.000000 
8.680852e-01, 9.574845e-02, 1.382152e-04, 2.673911e-04, 0, 9.526995e-02, 7.173195e-05, 1.166373e-06, 3.650680e-01, 2.546202e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.433108, 6.484276e-04, 0.000000, 0.000000 
9.579878e-01, 8.990259e-02, 8.689481e-05, 2.603928e-04, 0, 8.949290e-02, 6.152619e-05, 8.747799e-07, 3.747326e-01, 3.744380e-04, 0.000000e+00, 0.000000, 5.000000e-01, 0, 0.453356, 8.053068e-04, 0.000000, 0.000000 
