TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=8, lr=0.800000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
6.952611e-02, 6.952611e-02, 1.548362e-04, 1.758309e-04, 0, 6.917212e-02, 2.216111e-05, 1.166374e-06, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.344828, 9.568910e-04 
8.645458e-02, 1.692846e-02, 3.090892e-05, 1.670831e-04, 0, 1.671181e-02, 1.749561e-05, 1.166374e-06, 0.357752, 7.638563e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.375399, 1.069626e-03 
1.003805e-01, 1.392593e-02, 2.653501e-05, 2.087810e-04, 0, 1.366991e-02, 1.953677e-05, 1.166374e-06, 0.328536, 2.507616e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.304906, 1.615455e-03 
1.152022e-01, 1.482170e-02, 2.828458e-05, 2.347328e-04, 0, 1.453652e-02, 2.099474e-05, 1.166374e-06, 0.429939, 1.509030e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.542076, 2.338586e-03 
1.305998e-01, 1.539760e-02, 1.632924e-05, 1.647504e-04, 0, 1.518969e-02, 2.566023e-05, 1.166374e-06, 0.328949, 3.553996e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.327292, 5.282990e-04 
1.505603e-01, 1.996045e-02, 2.711820e-05, 1.630008e-04, 0, 1.974992e-02, 1.953677e-05, 8.747807e-07, 0.336708, 9.728807e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.364783, 1.549102e-03 
1.642077e-01, 1.364745e-02, 2.041155e-05, 1.790384e-04, 0, 1.342672e-02, 2.011996e-05, 1.166374e-06, 0.318349, 5.543950e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.322733, 1.336235e-03 
1.775376e-01, 1.332991e-02, 1.807880e-05, 1.627092e-04, 0, 1.312842e-02, 1.982836e-05, 8.747807e-07, 0.343898, 1.741740e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.241108, 1.656163e-03 
1.922777e-01, 1.474005e-02, 2.216111e-05, 1.685411e-04, 0, 1.452923e-02, 1.924518e-05, 8.747807e-07, 0.313626, 1.131460e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.228726, 1.078449e-03 
2.096152e-01, 1.733757e-02, 2.653501e-05, 2.493125e-04, 0, 1.704277e-02, 1.837039e-05, 5.831871e-07, 0.299594, 2.127211e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.308500, 2.148587e-03 
2.272027e-01, 1.758747e-02, 3.761557e-05, 1.831208e-04, 0, 1.734573e-02, 2.011996e-05, 8.747807e-07, 0.240463, 4.821882e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.201051, 1.384163e-03 
2.418136e-01, 1.461088e-02, 3.586601e-05, 2.907188e-04, 0, 1.426213e-02, 2.099474e-05, 1.166374e-06, 0.257680, 1.274524e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.211683, 1.424164e-03 
2.573214e-01, 1.550782e-02, 3.090892e-05, 2.880944e-04, 0, 1.516695e-02, 2.070314e-05, 1.166374e-06, 0.238800, 7.371218e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.334722, 2.090133e-03 
2.747736e-01, 1.745217e-02, 3.090892e-05, 2.592267e-04, 0, 1.714016e-02, 2.099474e-05, 8.747807e-07, 0.267224, 1.344653e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.233919, 6.863879e-04 
2.924316e-01, 1.765803e-02, 2.566023e-05, 2.014912e-04, 0, 1.741076e-02, 1.924518e-05, 8.747807e-07, 0.231961, 8.239090e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.195008, 7.503214e-04 
3.165242e-01, 2.409263e-02, 2.624342e-05, 2.020743e-04, 0, 2.384302e-02, 2.011996e-05, 1.166374e-06, 0.202719, 3.569379e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.134029, 1.319640e-03 
3.330462e-01, 1.652198e-02, 1.953677e-05, 1.606681e-04, 0, 1.631728e-02, 2.332748e-05, 1.166374e-06, 0.217278, 1.078168e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.105738, 6.324496e-04 
3.834076e-01, 5.036142e-02, 3.149210e-05, 2.802214e-04, 0, 5.002900e-02, 1.953677e-05, 1.166374e-06, 0.193452, 6.511155e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.176092, 6.963699e-04 
3.965661e-01, 1.315845e-02, 2.682661e-05, 2.006164e-04, 0, 1.290972e-02, 2.011996e-05, 1.166374e-06, 0.185993, 4.536201e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.183712, 6.731102e-04 
4.232440e-01, 2.667789e-02, 3.295007e-05, 2.003248e-04, 0, 2.642392e-02, 1.953677e-05, 1.166374e-06, 0.192956, 6.334511e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.202954, 1.015789e-03 
4.391352e-01, 1.589127e-02, 2.740979e-05, 2.291925e-04, 0, 1.561396e-02, 1.982836e-05, 8.747807e-07, 0.183808, 5.070862e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.199384, 4.670872e-04 
4.573333e-01, 1.819806e-02, 2.711820e-05, 2.612678e-04, 0, 1.786506e-02, 4.344744e-05, 1.166374e-06, 0.187206, 1.105524e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.232421, 1.185528e-03 
4.823689e-01, 2.503564e-02, 2.536864e-05, 3.096724e-04, 0, 2.468106e-02, 1.866199e-05, 8.747807e-07, 0.184129, 4.934446e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.145449, 7.907327e-04 
5.002672e-01, 1.789830e-02, 2.157792e-05, 1.994500e-04, 0, 1.765657e-02, 1.953677e-05, 1.166374e-06, 0.197419, 7.610886e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.205510, 1.091533e-03 
5.145903e-01, 1.432308e-02, 3.120051e-05, 2.598099e-04, 0, 1.400699e-02, 2.391067e-05, 1.166374e-06, 0.183818, 7.018802e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.214275, 6.056646e-04 
5.309546e-01, 1.636423e-02, 3.353326e-05, 2.764307e-04, 0, 1.603298e-02, 2.011996e-05, 1.166374e-06, 0.225824, 9.881276e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.230643, 1.704810e-03 
5.454371e-01, 1.448258e-02, 1.749561e-05, 3.449552e-04, 0, 1.410176e-02, 1.778721e-05, 5.831871e-07, 0.278261, 1.685024e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.242074, 1.775559e-03 
5.595549e-01, 1.411779e-02, 2.624342e-05, 2.236523e-04, 0, 1.384720e-02, 1.982836e-05, 8.747807e-07, 0.215702, 1.206949e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.201921, 1.321778e-03 
5.748379e-01, 1.528300e-02, 3.703238e-05, 2.289009e-04, 0, 1.499695e-02, 1.924518e-05, 8.747807e-07, 0.199360, 1.277194e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.131079, 1.088382e-03 
5.908945e-01, 1.605660e-02, 2.420227e-05, 1.956593e-04, 0, 1.581166e-02, 2.128633e-05, 3.790716e-06, 0.194141, 7.830160e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.156207, 7.426608e-04 
6.045099e-01, 1.361538e-02, 2.624342e-05, 2.837205e-04, 0, 1.328384e-02, 2.070314e-05, 8.747807e-07, 0.179877, 3.687517e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.164941, 1.016737e-03 
6.298987e-01, 2.538876e-02, 2.915936e-05, 2.189868e-04, 0, 2.511320e-02, 2.653501e-05, 8.747807e-07, 0.209595, 1.127380e-03, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.176298, 6.914068e-04 
6.469213e-01, 1.702265e-02, 2.974254e-05, 2.568939e-04, 0, 1.671181e-02, 2.274430e-05, 1.457968e-06, 0.164560, 7.879040e-04, 0.000000e+00, 0.000000, 8.000000e-01, 0, 0.114529, 1.313263e-03 
