TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=10, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
5.741472e-04, 5.741472e-04, 1.323834e-04, 3.117132e-04, 0, 5.132042e-05, 7.756382e-05, 1.166373e-06, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.753456, 1.121577e-03, 0.306011, 0.000000 
7.916758e-04, 2.175286e-04, 2.041153e-05, 1.723316e-04, 0, 2.332746e-06, 2.186950e-05, 5.831866e-07, 6.049288e-01, 7.920061e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.606925, 8.659765e-04, 0.000000, 0.000000 
1.038655e-03, 2.469795e-04, 3.178367e-05, 1.886609e-04, 0, 2.332746e-06, 2.332746e-05, 8.747799e-07, 5.279607e-01, 6.473108e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.533664, 6.821616e-04, 0.000000, 0.000000 
1.250935e-03, 2.122799e-04, 1.516285e-05, 1.732064e-04, 0, 1.749560e-06, 2.128631e-05, 8.747799e-07, 4.802188e-01, 5.269473e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.505255, 6.038997e-04, 0.000000, 0.000000 
1.466131e-03, 2.151959e-04, 1.487126e-05, 1.764140e-04, 0, 1.457967e-06, 2.157790e-05, 8.747799e-07, 4.511332e-01, 4.207237e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.440132, 5.361732e-04, 0.000000, 0.000000 
1.684243e-03, 2.181118e-04, 1.516285e-05, 1.793299e-04, 0, 1.457967e-06, 2.157790e-05, 5.831866e-07, 4.299839e-01, 3.327770e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.443624, 4.421846e-04, 0.000000, 0.000000 
1.904104e-03, 2.198614e-04, 1.516285e-05, 1.816626e-04, 0, 1.749560e-06, 2.041153e-05, 8.747799e-07, 4.170724e-01, 2.591650e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.413137, 3.091970e-04, 0.000000, 0.000000 
2.120467e-03, 2.163622e-04, 1.574604e-05, 1.772887e-04, 0, 1.457967e-06, 2.099472e-05, 8.747799e-07, 4.094193e-01, 2.135525e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.401569, 3.600625e-04, 0.000000, 0.000000 
2.372986e-03, 2.525198e-04, 1.837038e-05, 2.079060e-04, 0, 1.749560e-06, 2.361906e-05, 8.747799e-07, 4.068556e-01, 2.039960e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.408102, 3.838894e-04, 0.000000, 0.000000 
2.597513e-03, 2.245268e-04, 1.691241e-05, 1.828290e-04, 0, 1.749560e-06, 2.216109e-05, 8.747799e-07, 3.999389e-01, 1.511114e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.404882, 2.868924e-04, 0.000000, 0.000000 
2.819416e-03, 2.219025e-04, 1.457967e-05, 1.848702e-04, 0, 1.457967e-06, 2.041153e-05, 5.831866e-07, 3.992411e-01, 1.527335e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.391222, 3.917985e-04, 0.306011, 0.000000 
3.039569e-03, 2.201529e-04, 1.632923e-05, 1.603763e-04, 0, 2.624340e-06, 3.965669e-05, 1.166373e-06, 3.986985e-01, 1.514796e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.399047, 3.508620e-04, 0.000000, 0.000000 
3.289756e-03, 2.501871e-04, 1.837038e-05, 2.041153e-04, 0, 2.624340e-06, 2.391065e-05, 1.166373e-06, 3.962865e-01, 1.393482e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.421798, 3.779844e-04, 0.000000, 0.000000 
3.511658e-03, 2.219025e-04, 1.545445e-05, 1.828290e-04, 0, 1.457967e-06, 2.128631e-05, 8.747799e-07, 4.003518e-01, 1.775103e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.392047, 1.827751e-04, 0.000000, 0.000000 
3.726271e-03, 2.146127e-04, 1.487126e-05, 1.746644e-04, 0, 2.041153e-06, 2.216109e-05, 8.747799e-07, 3.984592e-01, 1.640765e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.435439, 4.412067e-04, 0.000000, 0.000000 
3.970918e-03, 2.446468e-04, 1.924516e-05, 1.997414e-04, 0, 1.749560e-06, 2.274428e-05, 1.166373e-06, 3.992309e-01, 1.744533e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.372775, 3.320625e-04, 0.000000, 0.000000 
4.195153e-03, 2.242353e-04, 1.603763e-05, 1.839954e-04, 0, 1.457967e-06, 2.186950e-05, 8.747799e-07, 3.993872e-01, 1.965113e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.392283, 2.711257e-04, 0.000000, 0.000000 
4.413848e-03, 2.186950e-04, 1.545445e-05, 1.799131e-04, 0, 1.457967e-06, 2.099472e-05, 8.747799e-07, 3.981560e-01, 1.866662e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.412165, 4.922477e-04, 0.000000, 0.000000 
4.638958e-03, 2.251100e-04, 1.691241e-05, 1.845786e-04, 0, 1.457967e-06, 2.157790e-05, 5.831866e-07, 3.924409e-01, 1.479243e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.426933, 2.183033e-04, 0.000000, 0.000000 
4.856778e-03, 2.178202e-04, 1.574604e-05, 1.799131e-04, 0, 1.457967e-06, 1.982834e-05, 8.747799e-07, 3.914086e-01, 1.425930e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.378204, 2.199369e-04, 0.000000, 0.000000 
5.085970e-03, 2.291923e-04, 1.632923e-05, 1.889525e-04, 0, 1.749560e-06, 2.128631e-05, 8.747799e-07, 3.914547e-01, 1.533182e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.371378, 2.728861e-04, 0.527322, 0.000000 
5.319245e-03, 2.332746e-04, 2.070312e-05, 1.866197e-04, 0, 2.624340e-06, 2.245268e-05, 8.747799e-07, 3.905897e-01, 1.604145e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.353966, 3.967318e-04, 0.000000, 0.000000 
5.593051e-03, 2.738061e-04, 2.274428e-05, 2.169454e-04, 0, 3.207526e-06, 3.003411e-05, 8.747799e-07, 3.864871e-01, 1.473082e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.398462, 3.296965e-04, 0.000000, 0.000000 
5.813787e-03, 2.207361e-04, 1.603763e-05, 1.819542e-04, 0, 1.457967e-06, 2.070312e-05, 5.831866e-07, 3.847554e-01, 1.298723e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.438302, 2.824002e-04, 0.000000, 0.000000 
6.053185e-03, 2.393981e-04, 1.662082e-05, 1.979919e-04, 0, 1.457967e-06, 2.274428e-05, 5.831866e-07, 3.833793e-01, 1.271017e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.369874, 3.939560e-04, 0.000000, 0.000000 
6.272172e-03, 2.189866e-04, 1.545445e-05, 1.810794e-04, 0, 1.457967e-06, 2.041153e-05, 5.831866e-07, 3.820654e-01, 1.232884e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.380300, 3.485199e-04, 0.000000, 0.000000 
6.496990e-03, 2.248184e-04, 1.574604e-05, 1.860365e-04, 0, 1.457967e-06, 2.070312e-05, 8.747799e-07, 3.807730e-01, 1.264704e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.380781, 3.038829e-04, 0.000000, 0.000000 
6.725016e-03, 2.280260e-04, 1.487126e-05, 1.904104e-04, 0, 1.457967e-06, 2.041153e-05, 8.747799e-07, 3.778638e-01, 1.167242e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.399127, 3.465146e-04, 0.000000, 0.000000 
