TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=40, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
9.007315e-04, 9.007315e-04, 3.117132e-04, 5.018319e-04, 0, 3.586597e-05, 4.169783e-05, 9.622576e-06, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.721419, 1.044631e-03, 0.297814, 0.000000 
1.389442e-03, 4.887102e-04, 3.732393e-05, 4.114380e-04, 0, 2.624339e-06, 3.586597e-05, 1.457966e-06, 0, 6.069637e-01, 8.020222e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.608197, 8.249104e-04, 0.000000, 0.000000 
1.828581e-03, 4.391394e-04, 3.469959e-05, 3.749889e-04, 0, 1.749559e-06, 2.682658e-05, 8.747797e-07, 0, 5.278236e-01, 6.531593e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.533938, 6.854395e-04, 0.000000, 0.000000 
2.295422e-03, 4.668407e-04, 2.478542e-05, 4.088137e-04, 0, 2.624339e-06, 2.974251e-05, 8.747797e-07, 0, 4.755640e-01, 5.157885e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.486086, 5.475549e-04, 0.000000, 0.000000 
2.771594e-03, 4.761717e-04, 2.566020e-05, 4.085221e-04, 0, 2.332746e-06, 3.878190e-05, 8.747797e-07, 0, 4.457926e-01, 4.067510e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.453497, 4.528207e-04, 0.000000, 0.000000 
3.227645e-03, 4.560518e-04, 2.391064e-05, 3.854862e-04, 0, 2.624339e-06, 4.257261e-05, 1.457966e-06, 0, 4.279553e-01, 3.232030e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.440931, 3.633424e-04, 0.000000, 0.000000 
3.749306e-03, 5.216603e-04, 2.449383e-05, 4.519695e-04, 0, 2.624339e-06, 4.111464e-05, 1.457966e-06, 0, 4.165533e-01, 2.555667e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.414372, 3.161328e-04, 0.000000, 0.000000 
4.369233e-03, 6.199272e-04, 2.711817e-05, 5.234098e-04, 0, 3.499119e-06, 6.502529e-05, 8.747797e-07, 0, 4.078614e-01, 2.010769e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.408599, 2.302946e-04, 0.000000, 0.000000 
4.924135e-03, 5.549019e-04, 3.353322e-05, 4.720894e-04, 0, 2.332746e-06, 4.519695e-05, 1.749559e-06, 0, 4.031640e-01, 1.703640e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.383062, 3.115921e-04, 0.000000, 0.000000 
5.395349e-03, 4.712146e-04, 3.295003e-05, 4.009407e-04, 0, 1.749559e-06, 3.440800e-05, 1.166373e-06, 0, 3.989611e-01, 1.480114e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.383981, 2.085832e-04, 0.000000, 0.000000 
5.909137e-03, 5.137873e-04, 2.624339e-05, 4.440965e-04, 0, 2.624339e-06, 3.936508e-05, 1.457966e-06, 0, 3.961442e-01, 1.352586e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.400473, 2.027929e-04, 0.306011, 0.000000 
