TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=3, lr=0.300000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
8.421506e-03, 8.421506e-03, 8.543684e-05, 1.702905e-04, 0, 8.051183e-03, 1.040988e-04, 1.049736e-05, 1.267624e-01, 4.678925e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.117113, 8.253516e-03 
1.641845e-02, 7.996946e-03, 1.078895e-05, 9.855854e-05, 0, 7.868937e-03, 1.807879e-05, 5.831866e-07, 1.340342e-01, 9.820852e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.154927, 2.219396e-02 
2.461310e-02, 8.194647e-03, 1.078895e-05, 9.943332e-05, 0, 8.066929e-03, 1.691241e-05, 5.831866e-07, 1.259129e-01, 3.468776e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.118767, 9.755088e-03 
3.247708e-02, 7.863980e-03, 1.020577e-05, 9.914172e-05, 0, 7.736845e-03, 1.691241e-05, 8.747799e-07, 1.327585e-01, 9.190074e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.112271, 3.380038e-03 
4.048073e-02, 8.003653e-03, 1.020577e-05, 9.768376e-05, 0, 7.878268e-03, 1.691241e-05, 5.831866e-07, 1.382069e-01, 1.149291e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.112037, 1.763720e-03 
4.840070e-02, 7.919966e-03, 1.049736e-05, 9.826694e-05, 0, 7.789332e-03, 2.099472e-05, 8.747799e-07, 1.392402e-01, 1.175872e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.166060, 2.358990e-02 
5.638831e-02, 7.987615e-03, 1.020577e-05, 8.368728e-05, 0, 7.875935e-03, 1.691241e-05, 8.747799e-07, 1.282348e-01, 6.242249e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.140028, 1.929937e-02 
6.441646e-02, 8.028147e-03, 1.049736e-05, 1.003081e-04, 0, 7.899554e-03, 1.691241e-05, 8.747799e-07, 1.250367e-01, 9.867378e-04, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.125105, 1.251978e-02 
7.247027e-02, 8.053807e-03, 9.914172e-06, 9.914172e-05, 0, 7.926964e-03, 1.691241e-05, 8.747799e-07, 1.301322e-01, 7.888656e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.147420, 2.058749e-02 
8.066666e-02, 8.196396e-03, 1.049736e-05, 9.826694e-05, 0, 8.069262e-03, 1.778719e-05, 5.831866e-07, 1.249848e-01, 6.577296e-04, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.125939, 1.435398e-02 
8.884440e-02, 8.177734e-03, 1.049736e-05, 9.826694e-05, 0, 8.051183e-03, 1.720401e-05, 5.831866e-07, 1.283763e-01, 6.369659e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.143505, 1.924414e-02 
9.688450e-02, 8.040102e-03, 1.078895e-05, 9.885013e-05, 0, 7.914717e-03, 1.516285e-05, 5.831866e-07, 1.250300e-01, 9.131504e-04, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.126155, 1.467387e-02 
1.048421e-01, 7.957581e-03, 1.078895e-05, 8.572843e-05, 0, 7.843568e-03, 1.691241e-05, 5.831866e-07, 1.281384e-01, 6.128216e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.113352, 7.310952e-03 
1.128469e-01, 8.004819e-03, 1.020577e-05, 9.855854e-05, 0, 7.878268e-03, 1.691241e-05, 8.747799e-07, 1.356336e-01, 1.044942e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.114361, 2.799729e-03 
1.210273e-01, 8.180359e-03, 1.049736e-05, 9.943332e-05, 0, 8.052349e-03, 1.720401e-05, 8.747799e-07, 1.379708e-01, 1.147500e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.111495, 2.215805e-03 
1.294036e-01, 8.376309e-03, 1.078895e-05, 9.914172e-05, 0, 8.248591e-03, 1.691241e-05, 8.747799e-07, 1.377721e-01, 1.150252e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.113269, 2.395296e-03 
1.372378e-01, 7.834237e-03, 1.049736e-05, 9.885013e-05, 0, 7.707394e-03, 1.691241e-05, 5.831866e-07, 1.393899e-01, 1.195782e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.111579, 2.445740e-03 
1.451458e-01, 7.908010e-03, 1.020577e-05, 9.885013e-05, 0, 7.780584e-03, 1.749560e-05, 8.747799e-07, 1.377203e-01, 1.151775e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.113372, 2.550638e-03 
1.529424e-01, 7.796622e-03, 1.020577e-05, 9.914172e-05, 0, 7.669779e-03, 1.662082e-05, 8.747799e-07, 1.393952e-01, 1.199858e-02, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.168557, 2.375624e-02 
1.614678e-01, 8.525314e-03, 1.049736e-05, 9.797535e-05, 0, 8.398762e-03, 1.720401e-05, 8.747799e-07, 1.281629e-01, 6.337075e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.142175, 1.973198e-02 
1.702351e-01, 8.767336e-03, 1.108055e-05, 9.943332e-05, 0, 8.637285e-03, 1.866197e-05, 8.747799e-07, 1.250178e-01, 1.213400e-03, 0.000000e+00, 0.000000, 3.000000e-01, 0, 0.122863, 1.220775e-02 
