TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=45,b_m=0, lr=0.000000, decay=0.000000, lambda=0.000000, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
9.330936e-02, 9.330936e-02, 0, 1.092893e-03, 1.939097e-04, 4.065135e-02, 5.119508e-02, 1.761225e-04, 0.781450, 1.113962e-03, 9.545962e-01, -0.126220, 2.000000e+00, 1, 0.781450, 1.113962e-03 
1.320924e+00, 1.227615e+00, 0, 9.666327e-04, 2.186952e-05, 4.084526e-02, 1.185752e+00, 2.945095e-05, 0.660961, 1.009779e-03, 7.318574e-01, -0.200615, 2.000000e+00, 1, 0.660961, 1.009779e-03 
1.549067e+00, 2.281425e-01, 0, 1.101932e-03, 2.566023e-05, 5.739086e-02, 1.695867e-01, 3.732398e-05, 0.514139, 7.158178e-04, 7.229994e-01, -0.139045, 2.000000e+00, 1, 0.514139, 7.158178e-04 
1.708002e+00, 1.589357e-01, 0, 1.097850e-03, 2.595183e-05, 4.128527e-02, 1.164931e-01, 3.353326e-05, 0.413610, 3.322154e-04, 8.441257e-01, -0.054161, 4.000000e+00, 1, 0.413610, 3.322154e-04 
1.855176e+00, 1.471740e-01, 0, 1.134299e-03, 2.449386e-05, 3.931089e-02, 1.066979e-01, 6.415058e-06, 0.367891, 2.659326e-04, 1.133704e-01, -0.230610, 2.000000e+00, 1, 0.367891, 2.659326e-04 
2.221554e+00, 3.663777e-01, 0, 1.131966e-03, 2.245270e-05, 4.056475e-02, 3.246282e-01, 3.032573e-05, 0.367891, 2.659326e-04, 4.771646e-01, -0.049122, 2.000000e+00, 1, 0.367891, 2.659326e-04 
2.604049e+00, 3.824952e-01, 0, 1.146837e-03, 2.332748e-05, 4.053325e-02, 3.407580e-01, 3.382485e-05, 0.344452, 2.960875e-04, 7.516799e-01, -0.049172, 2.000000e+00, 1, 0.344452, 2.960875e-04 
2.740128e+00, 1.360788e-01, 0, 1.132258e-03, 2.478545e-05, 4.065922e-02, 9.422963e-02, 3.295007e-05, 0.307490, 2.215667e-04, 7.779558e-01, -0.032363, 2.000000e+00, 1, 0.307490, 2.215667e-04 
3.709260e+00, 9.691322e-01, 0, 1.125551e-03, 7.056564e-05, 4.115260e-02, 9.267494e-01, 3.411645e-05, 0.282313, 2.553939e-04, 6.890918e-01, -0.031307, 2.000000e+00, 1, 0.282313, 2.553939e-04 
3.987723e+00, 2.784631e-01, 0, 1.180662e-03, 1.968257e-04, 3.788529e-02, 2.391924e-01, 7.873026e-06, 0.260740, 2.022183e-04, 1.877157e-01, -0.055649, 1.000000e+00, 1, 0.260740, 2.022183e-04 
