TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=5,b_m=100, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.928073e-02, 1.928073e-02, 0, 2.014910e-03, 1.817793e-03, 9.057763e-03, 8.561179e-04, 5.534149e-03, 7.302594e-01, 1.026246e-03, 8.298778e-01, -0.006439, 2.000000e+00, 1, 0.730259, 1.026246e-03, 0.289617, 0.000000 
3.127017e-02, 1.198944e-02, 0, 1.324417e-03, 5.604423e-04, 8.972909e-03, 3.924846e-04, 7.391890e-04, 7.249158e-01, 1.057526e-03, 9.435967e-01, -0.111474, 4.000000e+00, 1, 0.724916, 1.057526e-03, 0.000000, 0.000000 
3.958467e-02, 8.314492e-03, 0, 8.957746e-04, 4.927927e-05, 6.720059e-03, 2.379401e-04, 4.114382e-04, 6.197290e-01, 9.016647e-04, 6.005070e-01, -0.089836, 4.000000e+00, 1, 0.619729, 9.016647e-04, 0.000000, 0.000000 
4.803242e-02, 8.447750e-03, 0, 9.357229e-04, 6.298415e-05, 6.714811e-03, 3.321248e-04, 4.021072e-04, 5.657821e-01, 8.561190e-04, -4.940585e-01, -0.010942, 2.000000e+00, 1, 0.565782, 8.561190e-04, 0.000000, 0.000000 
5.569549e-02, 7.663072e-03, 0, 0, 4.694652e-05, 6.865856e-03, 2.965504e-04, 4.537192e-04, 5.657821e-01, 8.561190e-04, 8.597956e-01, -0.005888, 4.000000e+00, 1, 0.565782, 8.561190e-04, 0.000000, 0.000000 
6.410067e-02, 8.405177e-03, 0, 9.444707e-04, 5.452795e-05, 6.574554e-03, 3.262929e-04, 5.053312e-04, 5.607197e-01, 8.150756e-04, 8.051682e-01, -0.004528, 8.000000e+00, 1, 0.560720, 8.150756e-04, 0.000000, 0.000000 
7.446068e-02, 1.036002e-02, 0, 8.998569e-04, 7.493948e-05, 7.765421e-03, 3.869443e-04, 1.232857e-03, 5.570742e-01, 8.044922e-04, 9.581970e-01, -0.125654, 8.300886e+00, 0, 0.557074, 8.044922e-04, 0.000000, 0.000000 
8.425064e-02, 9.789954e-03, 0, 1.097266e-03, 1.134298e-04, 7.667446e-03, 3.930678e-04, 5.187445e-04, 4.366727e-01, 6.630866e-04, 4.488632e-01, -0.004542, 8.300886e+00, 1, 0.436673, 6.630866e-04, 0.000000, 0.000000 
9.279315e-02, 8.542518e-03, 0, 1.073063e-03, 1.148878e-04, 6.496407e-03, 3.417474e-04, 5.164117e-04, 4.346341e-01, 6.858604e-04, 2.752725e-01, -0.094855, 8.300886e+00, 1, 0.434634, 6.858604e-04, 0.000000, 0.000000 
1.016897e-01, 8.896512e-03, 0, 1.075105e-03, 1.192617e-04, 6.738138e-03, 3.464128e-04, 6.175946e-04, 4.085232e-01, 1.235464e-03, 8.027593e-01, -0.071480, 1.660177e+01, 1, 0.408523, 1.235464e-03, 0.000000, 0.000000 
1.103506e-01, 8.660904e-03, 0, 1.075688e-03, 1.612511e-04, 6.500198e-03, 3.169619e-04, 6.068057e-04, 3.511422e-01, 4.034760e-04, 9.586647e-01, -0.002485, 1.660177e+01, 0, 0.351142, 4.034760e-04, 0.508197, 0.000000 
1.203951e-01, 1.004451e-02, 0, 1.131965e-03, 1.694157e-04, 7.864563e-03, 3.490372e-04, 5.295334e-04, 3.487596e-01, 4.054817e-04, -2.407042e-02, -0.289041, 8.300886e+00, 1, 0.348760, 4.054817e-04, 0.000000, 0.000000 
1.278777e-01, 7.482576e-03, 0, 0, 5.831866e-05, 6.617710e-03, 3.467044e-04, 4.598426e-04, 3.487596e-01, 4.054817e-04, 7.093204e-03, -0.379990, 4.150443e+00, 1, 0.348760, 4.054817e-04, 0.000000, 0.000000 
1.365771e-01, 8.699395e-03, 0, 0, 9.039393e-05, 7.431255e-03, 4.589679e-04, 7.187775e-04, 3.487596e-01, 4.054817e-04, 1.214347e+00, -0.007582, 4.150443e+00, 0, 0.348760, 4.054817e-04, 0.000000, 0.000000 
